,BLEU,,Chrf,,COMET,
,O,G,O,G,O,G
PT,69.74 ,85.99 ,81.12 ,91.60 ,90.71 ,92.31 
FR,88.39 ,89.40 ,91.18 ,91.32 ,88.39 ,89.91 
DE,68.07 ,90.68 ,77.17 ,94.83 ,86.35 ,87.98 
ZH,70.34 ,75.32 ,59.08 ,65.10 ,84.19 ,85.73 
IT,56.14 ,69.32 ,67.97 ,82.04 ,87.53 ,90.11 
ES,60.00 ,84.07 ,74.45 ,91.26 ,86.91 ,91.24 
RU,44.99 ,69.18 ,70.15 ,81.81 ,86.12 ,87.83 
AR,67.52 ,70.99 ,80.70 ,87.20 ,85.24 ,86.14 
HI,46.85 ,49.37 ,58.20 ,57.06 ,62.31 ,63.18 
JA,49.48 ,45.28 ,49.43 ,46.40 ,64.15 ,64.37 
KO,45.28 ,57.53 ,58.36 ,68.94 ,29.34 ,29.48 
