id,translated_japanese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"さて , わたし たち は 今 , クレソン に 集め て い る 多く の 小舟 を , よ く し て い る . かつ 積み出帆 し て い る "" .",「我々が飼っている生後4か月のマウスはかつて糖尿病でしたが現在は糖尿病ではない、」と彼は付け加えました。,0.5699382424354553,「以前は糖尿病だったが、今は4ヶ月齢の非糖尿病マウスがいる」と彼は付け加えた。,0.5767126679420471
1,"エホデ , マルカテ の 氏族 で は マシャン , クベナテ の アビテ に あ り , その うち の ビクエデバび と タクエ ・ カシワ は 自分 の もの と な っ た . その 力 は 長 く 寄 っ て い る から で あ る .",ノバスコシア州ハリファックスにあるダルハウジー大学医学部教授でカナダ糖尿病協会の臨床・科学部門の責任者を務めるエフード・ウル博士は、この研究はまだ初期段階にあるとして注意を促しました。,0.5850328803062439,エフド・ウル博士は、ノバスコシア州ハリファックスのダルハウジー大学の医学教授であり、カナダ糖尿病協会の臨床および科学部門の議長として、研究はまだ初期段階にあると警告しました。,0.5879567861557007
2,"ほか の 人 たち は , 固 く 決心 し て い る が , 行い を し て もら お う と し て , いや さ れ る こと は でき な い . その 上 に 多数 の 者 を 制 する こと が でき ず , や む の を 知 ら せ て お く こと が でき な い .",他の専門家たちと同様に、彼は糖尿病を完治できるかどうかについては懐疑的であり、これらの調査結果はすでにI型糖尿病を患っている人々には何の関連性もないことを指摘しています。,0.7005221247673035,他は他の専門家と同様に、糖尿病が治るかどうかについて懐疑的であり、これらの発見はすでに1型糖尿病を患っている人々には関係がないことを指摘しています。,0.7034580111503601
3,"アヅモテ に は 寄 る こと な く , ダン びと ノバテ び と アカシャン の 隠れ た 所 に 行 く こと を し な い で , クベノン に は 寄 っ て い る . エクモン ・ クシャン に は 寄 る こと が でき , クシャン に は 寄 る こと が でき な い . エデモテ は 彼 の 周囲 に は 寄 る こと が でき な い .",スウェーデンアカデミーのノーベル文学委員会の常任幹事であるサラ・ダニウス氏は月曜日、スウェーデンの公共放送ラジオの番組の中で、同委員会が2016年のノーベル文学賞受賞についてボブ・ディラン氏と直接連絡を取れなかったため、同氏と連絡を取ることを諦めたことを公に発表しました。,0.6007406711578369,月曜日、スウェーデンアカデミーのノーベル文学委員会の常任書記であるサラ・ダニウスは、スウェーデンのスヴェリゲス・ラジオのラジオ番組で公に発表しました。委員会は2016年ノーベル文学賞を受賞したボブ・ディランに直接連絡を取ることができず、彼に連絡を試みる努力を放棄したと述べました。,0.6342376470565796
4,"それ で ダン び と は 言 っ た , "" われわれ は 今 は 何 も し た こと が な い . わたし は 人 を 呼 ん で , その 袋 や ミラ を その 根 に つかわ し た . その 上 どこ か お いで に な っ た の だ "" .",ダニアスは「今は何もしていない。彼の親しい協力者に電話をかけたり、メールを送ったりしたが、非常に友好的な返事が返ってきた。今のところは、確かにそれで十分だ。」と語った。,0.7616317868232727,ダニウスは言いました。「今、私たちは何もしていません。私は彼の最も近い協力者に電話をかけてメールを送り、とても親切な返事をもらいました。今のところ、それで十分です。」,0.7680308222770691
5,"その 時 , ウレオ クリム , コレテ の 人々 が き て , 彼 の 戸口 に あ る あたり まで , ロデ は その 戸口 に あ っ た . 彼 の 近づ い た とき に は , 鏡板 が れ な かっ た .",RingのCEOであるジェイミー・スミノフは以前に、玄関の呼び出し音がガレージにある自分店から聞こえなかったことから事業を始めたと述べました。,0.6854241490364075,以前、RingのCEOであるジェイミー・シミノフは、彼のガレージにある店からドアベルの音が聞こえなかったことが、会社が始まるきっかけだったと述べました。,0.7039504647254944
6,"また一つの塔を築いて,""納めなさい""と言った.",彼はWi-Fiで鳴るドアベルを作ったそうです。,0.5014097094535828,彼はWiFiのドアベルを作ったと言いました。,0.5688441395759583
7,"そして 言 わ れ た の で , "" 人々 は , 帆柱 の あと に つ い て の ならわし に 従 っ て 行 く ところ を んじ て い る "" . それ は , コレス の しこ ん だ 所 で あ っ た .",シミノフ氏は、2013年にシャークタンクのエピソードに出演した後、番組委員会が資金提供を辞退した後に売上が急激に伸びたと述べています。,0.7128143310546875,シミノフ氏は、2013年に「シャークタンク」のエピソードに出演した後、スタートアップへの資金提供をパネルが拒否したことで売上が増加したと述べました。,0.7422925233840942
8,"そして , かろうじて , カラデ ・ カジン に い た 時 に , 現れ て から , パトラクス に 現れ て , 出帆 し た .",2017年後半にシミノフ氏はテレビショッピング「QVC」に出演しました。,0.5908573269844055,2017年末、シミノフはショッピングテレビチャンネルQVCに出演しました。,0.5760813355445862
9,"また , 柔和 で , シャン と , カケル と がま り , クミン に 至 る まで , 守 ら れ て い る .",Ringはまた、競合するセキュリティ企業であるADTとの訴訟で和解しました。,0.5878790020942688,リングは競合のセキュリティ会社、ADTコーポレーションとの訴訟も和解しました。,0.6001039743423462
