id,translated_chinese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"他补充说:「现在有四个月大的老鼠, 这些老鼠是非糖尿病的,",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,0.74007648229599,“我们现在有4个月大的老鼠，它们曾经是糖尿病鼠，现在已经不再糖尿病了，”他补充道。,0.7870128154754639
1,"加拿大糖尿病协会临床和科学系主席、新斯科舍省哈利法克斯Dalhousie大学医学教授Ehud Ur博士告诫说,这项研究仍处于初期。",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,0.8746549487113953,埃胡德·乌尔博士是位于新斯科舍省哈利法克斯的达尔豪斯大学医学教授，还是加拿大糖尿病协会临床和科学部门的主席，他警告说这项研究仍处于早期阶段。,0.8734771609306335
2,"与其他专家一样,他对糖尿病是否可以治愈持怀疑态度,指出这些调查结果与已经患有1型糖尿病的人无关。",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,0.9258397221565247,像其他一些专家一样，他对糖尿病是否能被治愈持怀疑态度，并指出这些发现与已经患有1型糖尿病的人没有关系。,0.9224984645843506
3,"瑞典科学院诺贝尔文学委员会常任秘书Sara Danius在瑞典斯韦里盖斯电台的一个广播节目中公开宣布, 无法直接联系鲍勃·迪伦,",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,0.7665674090385437,在周一，瑞典学院诺贝尔文学委员会的常任秘书萨拉·达纽斯在瑞典的瑞典电台的一个广播节目中公开宣布，由于委员会无法直接联系到鲍勃·迪伦有关他获得2016年诺贝尔文学奖的事宜，已放弃了与他的联系努力。,0.7767678499221802
4,"达尼乌斯说:现在,我们什么都不做,我已打电话和发电子邮件给他最亲密的合作者,我收到了非常友好的答复。现在,这已足够了。",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,0.858681857585907,达尼乌斯说：“现在我们什么都不做。我已经给他最亲近的合作者打过电话和发过邮件，得到了非常友好的回复。现在这已经足够了。”,0.9030171036720276
5,"之前,Ring的首席执行官Jamie Siminoff, 说公司开始于他的门铃 在他的车库的店里听不见时。",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,0.5846185684204102,之前，Ring的首席执行官Jamie Siminoff提到，公司的起点是因为他的门铃在他车库里的商店中听不见。,0.7482487559318542
6,"他说,他建造了一个无线网门铃。",他称，他制作了一个 WiFi 门铃。,0.9353365898132324,他说他做了一个WiFi门铃。,0.9477752447128296
7,"Siminoff说, 2013年他出现在鲨鱼坦克节目中, 展台拒绝资助启动活动,",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,0.5822709202766418,Siminoff说，2013年他在《创业公司大赛》的一期节目中亮相后，销售额大幅提升，尽管节目中的评审团拒绝为这家初创公司提供资金。,0.5477284789085388
8,"2017年底,Siminoff出现在购物电视频道QVC上。",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,0.8481265902519226,在2017年末，Siminoff出现在购物电视台QVC上。,0.9369935393333435
9,Ring还解决了与相互竞争的安保公司ADT公司的一项诉讼。,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,0.8224498629570007,Ring还与竞争对手安全公司ADT公司达成了和解。,0.8788837790489197
10,"虽然一种实验疫苗似乎能够降低埃博拉的死亡率,但直到现在为止,显然没有任何药物适合治疗现有感染。",虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,0.9290212988853455,虽然一种实验疫苗似乎能够降低埃博拉的死亡率，但到目前为止，还没有药物被明确证实适合用于治疗现有感染。,0.9352323412895203
11,"一种抗体鸡尾酒,Zmapp, 最初在实地表现出了希望, 但正式研究表明,在防止死亡方面,它的好处比寻求的要小。",一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,0.7343353629112244,一种抗体鸡尾酒，ZMapp，最初在这一领域显示出希望，但正式研究表明，它在预防死亡方面的益处不如预期。,0.8010483384132385
