Date,Art,Bio,Chem,CS,Phy,Math,Philosophy,simple,Sports,Featured
2020010100,84.21,100.2,88.9,95.35,96.62,87.38,144.75,21.84,123.67,764.55
2020010200,95.96,119.7,115.37,122.55,116.5,103.82,165.65,25.79,131.5,792.01
2020010300,95.43,119.1,109.15,120.17,113.9,99.2,167.86,26.96,121.6,778.31
2020010400,93.59,113.5,101.09,106.51,113.65,96.51,165.34,31.43,127.71,810.55
2020010500,105.29,124.77,108.84,110.01,121.12,104.21,174.36,33.09,148.33,854.82
2020010600,104.39,135.98,124.18,130.55,129.29,114.55,184.65,30.68,137.16,920.11
2020010700,108.48,139.06,132.34,135.22,137.58,118.51,181.98,28.76,131.63,834.76
2020010800,104.54,137.41,132.62,130.72,139.46,117.51,176.15,30.31,126.11,824.46
2020010900,108.1,140.26,129.07,131.35,136.13,122.0,180.45,31.53,126.7,835.58
2020011000,122.22,140.27,117.8,125.74,137.6,129.3,218.16,27.76,125.94,854.84
2020011100,106.55,120.61,100.78,100.66,113.96,108.95,197.95,26.83,124.01,844.23
2020011200,110.48,124.33,108.89,107.96,115.71,104.38,184.68,29.52,144.08,871.82
2020011300,121.36,140.15,130.21,133.55,138.43,124.76,188.62,32.89,149.51,873.91
2020011400,120.16,145.81,132.73,138.54,137.9,121.34,183.63,30.88,152.33,827.56
2020011500,115.83,144.63,131.94,136.58,137.83,122.8,186.12,31.31,144.5,793.14
2020011600,115.77,145.95,132.2,138.58,139.61,126.95,187.08,33.89,147.25,815.25
2020011700,103.87,129.21,118.53,124.12,126.23,114.5,171.3,30.2,139.05,792.43
2020011800,93.55,115.89,100.91,99.14,105.08,94.08,153.91,25.8,134.85,814.87
2020011900,102.06,124.33,108.38,109.21,118.79,112.69,166.2,30.46,160.1,842.03
2020012000,107.08,137.22,126.63,134.67,132.73,122.88,174.77,33.04,155.93,860.15
2020012100,109.37,150.45,134.59,138.14,138.4,128.72,178.07,31.88,141.79,824.28
2020012200,106.45,150.23,133.08,135.0,137.64,127.3,178.5,32.06,136.43,802.52
2020012300,104.76,150.53,135.07,137.59,138.12,123.97,172.8,31.09,133.88,789.3
2020012400,100.51,137.11,118.48,121.13,121.77,112.33,166.88,26.73,124.96,875.92
2020012500,89.55,121.51,97.84,96.28,101.43,95.19,150.01,23.82,121.77,765.91
2020012600,96.32,129.36,106.46,101.54,108.31,102.25,158.12,30.61,139.35,830.99
2020012700,107.18,153.07,132.14,137.56,130.8,120.51,237.85,33.18,142.31,889.63
2020012800,108.41,164.1,134.6,141.88,135.74,122.81,201.54,33.54,136.09,851.63
2020012900,108.38,155.9,133.18,134.05,133.67,123.42,182.91,32.39,137.04,797.11
2020013000,105.58,153.93,129.03,136.24,131.32,123.82,177.74,32.27,136.76,804.41
2020013100,95.64,135.23,114.51,128.19,118.47,110.07,164.61,27.85,126.12,808.65
2020020100,86.52,116.09,94.71,97.85,97.84,96.49,153.01,25.38,126.47,845.1
2020020200,101.39,133.09,106.21,112.12,113.79,107.43,165.99,31.51,155.88,847.03
2020020300,106.59,147.31,128.05,131.19,131.87,124.16,176.82,32.08,180.41,816.18
2020020400,108.91,154.93,136.25,166.24,139.12,125.36,180.64,33.79,141.5,794.1
