Date,CS,Art,Bio,Sports,Phy,Philosophy,Chem,Math
20180101,193.5619324608176,163.04873311955197,198.1715384259045,212.440072859745,167.70444983418304,224.59874048806088,166.48915592028135,147.83317069031355
20180102,256.5399903053805,175.59893410415066,240.213508129893,233.04602307225258,209.20972132851557,268.58771975859355,207.28769783118406,188.2790529933387
20180103,268.573113588625,175.45720608825258,251.8550516514569,207.2445051608986,216.755234371133,273.8795591708213,216.65093786635404,200.92910178624464
20180104,265.6269187267733,178.49126055733706,249.0101913188493,208.8817850637523,216.4118200267287,273.8526895827867,228.75956184056272,202.37048665620094
20180105,258.50489578284055,175.97493338150943,243.0033816648909,206.96709168184577,204.42033361381974,266.0187877197586,218.47472157092614,193.81284738427595
20180106,219.77311358862497,175.1055507881306,228.18983647565665,226.31384335154826,191.53665297233084,266.76872212017844,194.53887016412662,180.29958844244558
20180107,221.03208919049928,182.0011742920374,240.253624866818,251.2548876745598,201.12349651041924,268.9288375754395,202.78059056271982,184.2402308116594
20180108,276.89626757149784,187.98017253059933,270.2093852781767,238.18208864602306,236.78334900757312,295.4265022303857,238.72424531066824,219.05333276761849
20180109,277.6002585231863,183.87448624723365,278.3043961643582,225.88227079538555,237.3376231252784,291.6779847808974,244.75329718640094,225.69820526963383
20180110,285.46928421392795,187.813919877151,280.8450456293139,212.06369156041288,238.02281839330792,301.47614799265284,246.24029161781945,232.1382324239467
20180111,282.73575698820486,186.946885867847,279.02330106082366,232.63673345476624,239.1280007919616,306.8692731566518,243.3163833528722,226.98387712673426
20180112,260.55262562611085,178.19624226548032,255.80983925510725,223.71032179720703,219.8981339405039,282.6437155602204,220.91617819460726,204.9434002291145
20180113,238.94958797867184,170.8717311774536,227.2565896141196,216.9591985428051,184.4274612681285,252.07772238257675,196.46131301289566,168.81891467605755
20180114,248.7039263208919,182.54771690528884,243.74998841895587,275.6782027929569,202.2531802207593,274.1441616373655,206.72497801875733,181.86520429377572
20180115,302.61780578445627,186.34709362720744,269.177097327095,236.36247723132968,231.98574469138248,296.47672526895826,235.90716588511137,219.36751665323095
20180116,303.19773792211987,186.48737636059798,282.9153657293742,227.25840922890103,243.1409691629956,300.9683022828654,251.4308323563892,228.08905766048622
20180117,276.4719663919858,185.73411318368636,290.4808912771575,216.71177899210687,246.60342523387615,301.55554972448175,254.12294841735053,234.89401332258475
20180118,439.36244950719015,193.89503635788807,303.4213647102423,220.78949605343047,246.6018908082958,316.61626869588036,252.77121189917938,237.56489456489456
20180119,327.540604297948,184.22510275055328,265.6196785102145,218.086642380085,233.8031480473197,295.7529782209394,226.1646028722157,216.08260851117993
20180120,220.13811601227985,175.9649970642699,231.77129754018623,223.16891317547055,182.9836162946097,268.50595644187877,199.053157971864,173.75964190249906
20180121,232.4068508644369,188.07822591572196,260.6706814286376,268.7264723740134,205.90991436915309,296.8499606402519,213.041398007034,190.88463659892233
20180122,274.9632250767491,206.90470168465743,289.1118728864594,269.2282938676381,251.1429985645696,370.5747572815534,252.83715562719811,237.52989095846237
20180123,294.73963483599937,199.6995618987399,290.6638254505026,230.11536126290224,250.16269860911746,317.81332983468906,258.69354484173505,242.12380669523526
20180124,304.4453708191953,190.03843548168555,286.21628758048826,253.89307832422585,245.57427114784932,308.09162949357125,255.2676949003517,240.12541898256185
20180125,261.9288414929714,184.2302064044081,284.0116273683235,263.8127504553734,235.7980002969856,299.5799527683023,258.7663027549824,235.04378632950062
20180126,241.5336888027145,174.99336073348087,266.3656367258072,225.7237401335762,217.64158788298766,280.42387824717923,233.789786049238,216.1020832449404
20180127,208.1969300371627,174.97272029266972,233.91545837772733,246.22161505768062,184.15284858684353,250.52379952768302,203.3558396834701,184.5299758156901
20180128,218.19951526902568,187.9143218463484,258.4015379626627,288.04414086217366,206.55417512250656,278.3200734715298,221.32253810082062,198.4388815817387
20180129,267.0750040394248,209.7542116435572,292.13123639227314,236.00085003035824,246.97752808988764,307.78861191288377,263.49267291910905,243.16415630701346
20180130,268.9125545322346,191.92809719524863,292.3729096215315,235.02204007285974,258.5051724991338,309.50411965363423,265.7094812426729,245.68199753914038
20180131,263.8171271610923,181.02466013278533,282.8875248992449,223.62987249544628,265.156560906796,309.35360797690896,253.23281799531065,240.75289575289574
20180201,264.28143480368396,181.06539903346732,281.3473850002316,220.54741955069824,245.9342671880414,301.9573340330622,252.13291324736224,235.1949170520599
20180202,251.52564226854096,173.29813468226368,258.6312595543614,229.39241044323012,233.8314606741573,276.97979532930987,226.228092028136,222.67957910815053
20180203,216.38445629342382,169.95253150264216,231.6070783341826,238.5632058287796,186.8531406226798,256.67730254526373,195.33224648300117,173.71377657091944
20180204,223.71885603490063,184.0965629375367,250.22759067957568,302.97510625379476,206.02836212443697,276.36489110469694,212.6159144196952,189.60278331706903
20180205,270.5970592987559,201.63253692245155,289.11594941399915,364.5280510018215,260.51051823986535,305.3171346103385,255.60338511137164,235.61317832746406
20180206,289.85193084504766,192.08612980443522,301.10279334784826,235.42665452337584,260.44077612235805,314.17916557334036,260.16082942555687,243.41783698926557
20180207,303.4256261108418,193.3449257034461,291.0646222263399,221.39544626593806,257.748750185616,308.010495932826,258.89720105509963,239.39454368025795
20180208,282.6121829051543,191.99814823178718,289.13600778246166,230.59489981785063,253.4448844231055,308.9904487011283,259.195633059789,242.8986380414952
20180209,257.04734205849087,174.46592294837632,263.2044749154584,256.35913782635095,222.27020739494134,281.78593545001314,229.8403429073857,218.70028427171283
20180210,217.6238810793343,165.03468678018157,226.25070644369296,296.46867030965393,184.55867940404892,251.00320125951194,192.37866354044547,178.6360049217192
20180211,228.6193569235741,178.18206043087486,263.8717746792051,323.4844565877353,202.42300648418552,282.26727892941483,210.63137456037515,192.1850311850312
20180212,281.3646146388754,188.23368411544195,285.42863760596657,318.03837279902854,246.57506310943918,314.86224088165835,252.2074662954279,240.71301285587
20180213,277.2391339473259,184.416647847884,298.2714133506277,281.84559805707346,240.31713111914073,303.880241406455,252.6302022274326,239.3694259408545
20180214,262.92460817579575,175.0140463393704,280.8341594478158,269.5262902246509,230.0181656189675,290.0207294673314,240.19523007034,230.74907717764862
20180215,263.40720633381807,169.4426629330202,286.77240932042434,300.59380692167576,232.95911498292332,286.3874573602729,236.01725527549823,229.13246213246214
20180216,241.0529003069963,168.29474730138656,265.74558762218004,297.9482088646023,217.15116566846507,268.61259511939124,228.8020222743259,209.4934023505452
20180217,204.26020358700922,162.2956506029538,233.55890119053134,294.6004857316333,178.86353511854676,248.40320125951195,188.23380715123096,176.9194280622852
20180218,218.21916303118437,185.52472788040288,251.68003891230833,312.50868245294475,202.14482997574618,275.35523484649696,210.66148886283705,188.46853918282488
20180219,265.32066569720473,188.907772909986,281.8194283596609,303.2584699453552,249.54561203781617,304.89965888218313,249.5226406799531,240.2336543765115
20180220,265.97550492809825,187.45639311684207,288.17950618427756,277.3964784456588,251.0668217591447,310.6357386512726,259.25344372801874,253.52064152064153
20180221,264.6895136532558,183.51424958222302,287.861444387826,270.1799635701275,248.1982873830619,302.4265022303857,258.30334114888626,240.48907463193177
20180222,265.42407497172405,184.59175285669122,289.51725575577893,275.27601700060717,246.59827748354203,305.57554447651535,254.93720691676435,243.83096440239296
20180223,247.1750848279205,181.57219637776072,261.14689396395977,270.0618700667881,218.9467900806811,284.1817370768827,229.40145076201642,216.44248801391657
20180224,205.86721602843755,162.6920644957319,227.74799647936257,260.2252580449302,181.02281839330792,251.69404355812122,196.324662954279,173.83605583605583
20180225,217.66918726773307,182.40314348945395,252.33640617038031,290.60686095932,206.22961936346087,285.33429546050905,215.91702080890974,193.91336077050363
20180226,274.09135563095816,197.76459961158034,300.1111780238106,267.8734669095325,258.2964906202049,323.45589084229863,265.24904747948415,249.88052102337818
20180227,270.1454192922928,188.9634614516056,298.49525177189975,221.40103217972072,260.27010839974264,317.2440829178693,263.6031286635404,254.67559081844797
20180228,262.24356115689125,184.90939885280702,289.7427618474082,214.02416514875532,248.84522100678117,308.657675150879,259.128626905041,244.77657091942805
20180301,256.812376797544,190.53836773406803,280.6997730115347,209.10467516697025,246.54957184576548,307.3368669640514,259.3742672919109,252.13937799652086
20180302,239.88738083696882,179.20504945576081,256.1439292166582,206.82683667273832,220.22283819234767,277.97696142744684,228.6961825908558,217.79846408417836
20180303,225.27306511552754,171.1221715369676,227.56821235002548,207.29046751669702,184.42350146017918,253.57591183416426,194.29769929660023,179.90432347575205
20180304,245.95773145904025,193.65439682037848,255.87761152545514,240.97055251973285,213.58679404048902,297.71996851220155,219.12624560375147,214.89388603674317
