id,translated_korean,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"그는 ""지금 우리는 당뇨병을 앓고 있던 비 당뇨병 쥐 4개월의 쥐를 가지고 있습니다"".라고 덧붙였다.","""그는 """"현재 4개월 된 당뇨병에서 치료된 생쥐가 있다""""고 덧붙였다.""",7.881926575633942,"그는 ""우리는 이제 4개월 된 비당뇨 쥐를 보유하고 있으며, 이 쥐는 이전에 당뇨병을 앓고 있었습니다.""라고 덧붙였다.",23.65686893034302
1,노바스코샤의 할리팩스 의 달하우시 대학교 의 의학 교수이자 캐나다 당뇨병 협회 의 임상 및 과학 부문 의 회장 인 에후드 우르 박사 는 연구 는 아직 초기 단계 에 있다고 경고 하였다.,노바스코샤주 핼리팩스의 댈하우지대학교 의과 교수이자 캐나다 당뇨 협회 임상과학부 의장인 Ehud Ur 박사는 이 연구가 아직 초기 단계라고 경고했습니다.,10.433382009908051,다르하우지 대학교의 의학 교수인 에후드 우르 박사는 캐나다 당뇨병 협회의 임상 및 과학 부서 위원장으로서 이 연구가 아직 초기 단계에 있음을 경고했습니다.,37.81992689475777
2,"다른 전문가들처럼 그는 당뇨병이 치료될 수 있는지에 대해 회의적으로 생각하고 있으며, 이 연구결과들은 이미 1형 당뇨병을 앓고 있는 사람들에게는 아무런 관련이 없다고 지적했습니다.","다른 전문가들과 마찬가지로, 그는 당뇨병의 치료 여부에 회의적이며, 이러한 결과는 제1형 당뇨병 환자에게는 관련이 없음을 지적합니다.",9.555383603768254,"다른 일부 전문가들처럼, 그는 당뇨병이 치료될 수 있는지에 대해 회의적이며, 이러한 발견이 이미 제1형 당뇨병을 앓고 있는 사람들과는 관련이 없다고 지적했습니다.",57.79644126587269
3,"월요일 스웨덴 아카데미 노벨 문학위원회 상임 비서자 사라 다니우스는 스웨덴 스베르게스 라디오에서 라디오 프로그램에서 공개적으로 발표했습니다. 위원회는 2016년 노벨 문학상을 수상하는 것에 대해 밥 딜런에게 직접 연락할 수 없었고, 그를 찾아가는 노력을 포기했습니다.",월요일 스웨덴 한림원 노벨상 문학위원회 사무총장 사라 다니우스는 스웨덴 스베리예스 라디오의 라디오 프로그램에서 위원회는 2016년 노벨 문학상 수상 소식을 밥 딜런에게 직접 전달하는 것이 불가능하여 그에게 연락을 취하려는 노력을 포기했다고 공개적으로 발표했습니다.,37.22519679665504,"다음 텍스트를 한국어로 번역해 드리겠습니다:

""월요일에, 스웨덴 아카데미의 노벨 문학 위원회 영구비서인 사라 다니우스는 스웨덴의 Sveriges Radio 방송 프로그램에서 공개적으로, 2016년 노벨 문학상을 수상한 밥 Dylan에게 직접 연락할 수 없었기 때문에 그와의 연락을 시도하는 것을 포기했다고 발표했습니다.""",31.47183858016601
4,"다니우스는 ""지금은 아무것도 하지 않고 있다. 나는 그의 가장 가까운 동료에게 전화를 걸어 이메일을 보냈고 매우 친절한 답변을 받았습니다.","""대니어스(Danius)는 """"지금 우리는 아무것도 하지는 않고 있다. 그의 가장 가까운 협력자에게 전화를 걸어 이메일을 보냈고 매우 친절한 답장을 받았다. 현재로서는 확실히 그것으로 충분하다.""""""",36.662873289184425,"다니우스는 ""지금 우리는 아무것도 하지 않고 있습니다. 나는 그의 가장 가까운 협력자에게 전화하고 이메일을 보냈고, 매우 친근한 답변을 받았습니다. 지금은 그게 확실히 충분합니다.""라고 말했습니다.",41.947920432335415
5,앞서 링의 CEO 제이미 시미노프는 그의 가라지에 있는 가게에서 그의 문 벨이 들리지 않을 때 회사를 시작했다고 언급했습니다.,링의 CEO인 제이미 시미노프 (Jamie Siminoff)는 차고에 있던 그의 숍에서 초인종 소리를 들을 수 없었을 때 회사를 시작했다고 말했습니다.,26.545370956148968,"이전에, 링(Ring)의 CEO인 제이미 시미노프(Jamie Siminoff)는 회사가 그의 차고에 있는 가게에서 초인종 소리가 들리지 않을 때 시작되었다고 언급했습니다.",29.02904184688881
6,그는 WiFi 문 벨을 만들었습니다.,그는 무선 도어벨(Wi-Fi doorbell)을 만들었다고 말했다.,8.686096640104807,그는 WiFi 초인종을 만들었다고 말했다.,22.35233909919704
7,시미노프는 2013년 쇼 패널이 스타트업을 지원하지 않는 샤크 탱크 에피소드에서 출연한 후 매출이 증가했다고 말했습니다.,"Siminoff는 2013년, 쇼 출연자가 스타트업의 자금 지원을 거절했었던 Shark Tank 에피소드에 출연한 이후 매출이 증가했다고 말했습니다.",31.82864406460369,시미노프는 2013년 샤크탱크 에피소드에 출연한 후 패널이 스타트업에 대한 자금 지원을 거부했지만 판매가 증가했다고 말했다.,33.70497896629132
8,"2017년 말, Siminoff는 쇼핑 텔레비전 채널 QVC에 출연했다.","2017년 말, 시미노프는 쇼핑 텔레비젼 채널인 QVC에 출연했다.",44.300069361967545,"2017년 말, 시미노프는 쇼핑텔레비전 채널 QVC에 출연했습니다.",61.802665844182364
9,링은 경쟁 보안 회사인 ADT 코퍼레이션과 소송을 해결했습니다.,Ring은 경쟁 보안회사인 ADT 사와의 소송 또한 합의를 보았다.,30.448675453278828,링은 경쟁 보안 회사인 ADT 코퍼레이션과의 소송도 해결했습니다.,69.01228050062707
