id,translated_arabian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""لدينا الآن فأر عمرها أربعة أشهر غير مرضى السكري وكانوا مرضى السكري""، أضاف.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",24.156115638482525,"قال: ""لدينا الآن فئران تبلغ من العمر 4 أشهر كانت مصابة بالسكري ولكنها الآن غير مصابة بالسكري.""",32.248386953866046
1,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس القسم السريري والعلمي لجمعية السكري الكندية من أن البحث لا يزال في أوائل أيامه.,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,70.00680293996851,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوشا ورئيس القسم السريري والعلمي في الجمعية الكندية للسكري، من أن البحث لا يزال في مراحله الأولى.,80.33769570714591
2,مثل بعض الخبراء الآخرين، هو متشكك فيما إذا كان يمكن علاج مرض السكري، مشيرا إلى أن هذه النتائج ليست ذات صلة للأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,60.57691365023955,مثل بعض الخبراء الآخرين، فهو متشكك بشأن ما إذا كان يمكن علاج مرض السكري، مشيرًا إلى أن هذه النتائج لا تتعلق بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,82.93855336939554
3,يوم الاثنين، أعلنت سارة دانيوس، الأمين الدائم لجنة نوبل للأدب في الأكاديمية السويدية، علناً خلال برنامج راديوي على راديو سويفيرجيز في السويد، أن اللجنة، بعد عدم قدرتها على الاتصال بوب ديلان مباشرة حول الفوز بجائزة نوبل للأدب في عام 2016، قد تركت جهودها للوصول إليه.,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,60.66209619497338,في يوم الاثنين، أعلنت سارة دانياس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، علنًا خلال برنامج إذاعي على إذاعة سويدن، أن اللجنة، التي لم تتمكن من التواصل مع بوب ديلان مباشرة بشأن فوزه بجائزة نوبل للأدب لعام 2016، قد تخلت عن جهودها للتواصل معه.,59.47699877063341
4,"وقال دانيوس: ""في الوقت الحالي لا نفعل شيئاً. اتصلت وأرسل رسائل إلكترونية إلى أقرب موظف له وحصل على إجابات ودية للغاية.","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",34.22273403837382,"قال دانياس: ""الآن نحن لا نقوم بشيء. لقد اتصلت وأرسلت رسائل بريد إلكتروني إلى أقرب متعاون له وتلقيت ردودًا ودية جدًا. في الوقت الحالي، ذلك بالتأكيد يكفي.""",37.66402470631182
5,"في وقت سابق، قال الرئيس التنفيذي لـ ""رينغ""، جيمي سيمينوف، إن الشركة بدأت عندما لم يسمع جرس الباب من متجر في المرآب.",في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,52.97820985971086,سبق أن علق الرئيس التنفيذي لشركة رينغ، جيمي سيمي نوف، بأن الشركة بدأت عندما لم يكن جرس الباب مسموعاً من متجره في المرآب.,62.92883069449123
6,"لقد قام ببناء جرس الباب على شبكة ""وايفاي"" قال",قال إنه صنع جرس باب يعمل بتقنية واي فاي.,24.536044531023922,قال إنه صنع جرس باب يعمل بالواي فاي.,27.680759202155613
7,"قال سيمينوف أن المبيعات ارتفعت بعد ظهوره في 2013 في حلقة ""شارك تانك"" حيث رفضت لجنة العرض تمويل الشركة الناشئة.",قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,78.25229699221062,"قال سيمينوف إن المبيعات زادت بعد ظهوره في حلقة من برنامج ""شارك تانك"" في عام 2013 حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.",63.81446981662435
8,في أواخر عام 2017، ظهر سيمينوف على قناة التلفزيون التسوق QVC.,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",66.41520833255514,في أواخر عام 2017، ظهر سيمينووف على قناة التسوق التلفزيونية QVC.,81.16282647525139
9,"كما حلّ رينغ دعوى قضائية مع شركة أمن منافسة، شركة ""إد تي""",كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,49.86644280721752,توصلت شركة رينغ أيضًا إلى تسوية في دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,42.81765706981151
10,في حين أنّ لقاحًا تجريبيًا واحدًا يبدو قادرًا على تقليل وفيات الإيبولا، لم يثبت حتى الآن أنّه لا يوجد أيّ أدوية مناسبة لعلاج العدوى الحالية.,بينما يبدو أن هناك لقاحاً واحداً تجريبياً قادراً على الحد من وفيات الإيبولا، حتى الآن، لم يتم إثبات أي عقاقير مناسبة لعلاج العدوى الموجودة.,46.67675892209977,بينما يبدو أن لقاحاً تجريبياً واحداً قادر على تقليل معدل وفيات الإيبولا، وحتى الآن، لم يتم إثبات فعالية أي أدوية لعلاج العدوى الحالية بشكل واضح.,50.262696764336646
11,كان كوكتيل واحد من الأجسام المضادة، ZMapp، في البداية أظهر الوعد في المجال، ولكن الدراسات الرسمية أظهرت أنه كان له فائدة أقل من المطلوب في منع الموت.,كان كوكتيل واحد من الأجسام المضادة، وهو ZMapp، واعداً في البداية في هذا المجال، ولكن الدراسات الرسمية أشارت إلى أن الفائدة المترتبة على هذا الكوكتيل كانت أقل من الفوائد التي تم السعي إليها في منع الموت.,53.3931073797546,أظهر مزيج الأجسام المضادة المعروف باسم زيماب في البداية وعداً في هذا المجال، لكن الدراسات الرسمية أظهرت أنه كان له فائدة أقل مما تم السعي إليه في الحيلولة دون الوفاة.,53.985774855612654
