id,translated_france,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques"", a- t- il ajouté.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",71.36536263763944,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",95.66590808475803
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche est encore à ses débuts.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",91.05786917126852,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",98.36111266017593
2,"Comme certains autres experts, il est sceptique quant à savoir si le diabète peut être guéri, notant que ces résultats n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",52.53659716815711,"Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",80.53408590963419
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature de l'Académie suédoise, a annoncé publiquement lors d'un programme de radio sur Sveriges Radio en Suède que le comité, incapable de contacter directement Bob Dylan sur le prix Nobel de littérature 2016, avait abandonné ses efforts pour le rejoindre.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",78.79957306052317,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",83.14546532680073
4,"Danius a déclaré: ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales.","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",73.48393039959153,"Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",76.93501870451377
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé quand sa sonnette de porte n'était pas audible depuis son magasin dans son garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",72.15763537357458,"Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",89.37943352214923
6,"Il a construit une cloche de porte Wi-Fi, dit-il.",Il dit avoir conçu une sonnette de porte Wi-Fi.,41.136828012208476,Il a dit qu'il avait construit une sonnette WiFi.,37.33516645904323
7,Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de l'émission a refusé de financer la startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,90.15297739047912,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,86.3585196538146
8,"Fin 2017, Siminoff est apparu sur la chaîne de télévision de shopping QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",80.12826769673633,"Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",94.89988230797194
9,"Ring a également réglé une action en justice avec une société de sécurité concurrente, la ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",70.60619800567564,"Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",77.84766196608636
