id,translated_russian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""У нас теперь есть четырехмесячные мыши, которые не страдают диабетом, а раньше были диабетом"", - добавил он.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",54.27848761441864,"«Теперь у нас есть четырехмесячные мыши, которые не являются диабетиками, но раньше были диабетиками», - добавил он.",64.48948373804502
1,"Доктор Эхуд Ур, профессор медицины в университете Дальхузи в Галифаксе (Новая Шотландия) и председатель клинического и научного отделения канадской ассоциации диабета, предупредил, что исследования еще на ранних стадиях.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.",59.25451786413119,"Доктор Эхуд Ур, профессор медицины в Университете Далхауси в Галифаксе, Новая Шотландия, и председатель клинического и научного отдела Канадской ассоциации диабета, предостерег, что исследование все еще находится на ранней стадии.",74.49159037451155
2,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отметив, что эти результаты не имеют никакого отношения к людям, у которых уже есть диабет 1 типа.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",58.964661288139666,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отмечая, что эти выводы не имеют отношения к людям, у которых уже есть диабет 1 типа.",88.41192849649323
3,"В понедельник Сара Даниес, постоянный секретарь Нобелевского комитета по литературе в Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не смог напрямую связаться с Бобом Диланом о том, как он получил Нобелевскую премию по литературе 2016 года, отказался от своих усилий по достижению его.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.",61.84795236245309,"В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не сумев связаться напрямую с Бобом Диланом по поводу вручения ему Нобелевской премии по литературе 2016 года, прекратил усилия по установлению контакта с ним.",74.31770233545507
4,"Даниев сказал: ""В данный момент мы ничего не делаем. Я позвонил и отправил электронные письма ближайшему сотруднику и получил очень дружелюбные ответы.","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",64.84952320572326,"Даниус сказал: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получил очень дружелюбные ответы. На данный момент этого, безусловно, достаточно.""",67.7927960528893
5,"Ранее генеральный директор Ring Джейми Симинофф отметил, что компания началась, когда его звонок не был слышен из его магазина в гараже.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",62.12287495630684,"Ранее генеральный директор Ring, Джейми Симинофф, отметил, что компания начала свою деятельность, когда его дверной звонок не был слышен из его магазина в гараже.",78.39791890517319
6,"Он сказал, что построил дверный звонок WiFi.","Он сказал, что создал дверной звонок, работающий от WiFi.",47.119368713184706,"Он построил дверной звонок с WiFi, сказал он.",58.68795376535315
7,"Симинофф сказал, что продажи увеличились после его появления в 2013 году в эпизоде ""Айковый танк"", где панель шоу отказалась финансировать стартап.","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",59.5129532507774,"Симинофф заявил, что продажи возросли после его появления в эпизоде ""Шарк Танк"" в 2013 году, когда панель шоу отказалась финансировать стартап.",70.59153464536921
8,В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симинофф появился на торговом телеканале QVC.,100.0,В конце 2017 года Симинофф появился на торговом телевизионном канале QVC.,83.37681233279054
9,"Ring также урегулировал судебный процесс с конкурирующей компанией по охране, корпорацией ADT.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",46.38655035507446,Ring также урегулировала иск с конкурирующей охранной компанией ADT Corporation.,61.31383055555798
10,"Хотя одна экспериментальная вакцина, по-видимому, способна снизить смертность от Эболы, до сих пор не было доказано, что никакие лекарства подходят для лечения существующей инфекции.","Несмотря на то, что нашлась экспериментальная вакцина, способная снизить смертность от вируса Эбола, пока еще ни одно лекарство не продемонстрировало явного эффекта в лечении существующей инфекции.",53.26756831131531,"Хотя одна экспериментальная вакцина, похоже, способна снизить смертность от Эбола, до сих пор ни одно лекарство не было четко продемонстрировано как подходящее для лечения существующей инфекции.",71.11585857609603
11,"Один антител коктейль, ZMapp, изначально показал перспективы в этой области, но официальные исследования показали, что он приносит меньшую пользу, чем ожидается в предотвращении смерти.","Коктейль из антител ZMapp изначально показал многообещающие результаты в этой области, но официальные исследования показали, что он обладает меньшей пользой в предотвращении смерти, чем ожидалось ранее.",65.09682861152282,"Один коктейль антител, ZMapp, изначально показал многообещающие результаты в этой области, но формальные исследования показали, что он менее эффективен, чем ожидалось, в предотвращении смерти.",66.59672289514856
12,"В исследовании PALM ZMapp служил контрольным средством, а это означает, что ученые использовали его в качестве основной линии и сравнивали с ним три других метода лечения.","В испытании PALM, ZMapp служил в качестве контрольного уровня, то есть учёные использовали его в качестве основы и сравнили с ним три других варианта лечения.",60.7912273109437,"В испытании PALM ZMapp использовался в качестве контроля, что означает, что ученые использовали его в качестве базового уровня и сравнивали три других лечения с ним.",61.23277413299901
13,США Гимнастика поддерживает письмо Олимпийского комитета США и принимает абсолютную необходимость Олимпийской семьи способствовать безопасной среде для всех наших спортсменов.,Федерация гимнастики США поддерживает письмо Олимпийского комитета США и соглашается с абсолютной необходимостью создания безопасной среды для всех наших спортсменов.,68.44694875154383,Союз гимнастики США поддерживает письмо Олимпийского комитета Соединенных Штатов и признает абсолютную необходимость создания безопасной среды для всех наших спортсменов в Олимпийской семье.,71.22164209620378
14,"Мы согласны с заявлением USOC, что интересы наших спортсменов и клубов, и их спорт, могут быть лучше обслуживаются, если мы двигаемся вперед с значительными изменениями в нашей организации, а не дискредитация.","Мы согласны с заявлением USOC о том, что интересам наших спортсменов, клубов, а также их видов спорта, больше соответствует проведение реформ внутри нашей организации, а не аннулирование ее сертификации.",48.023066810412345,"Мы согласны с заявлением USOC о том, что интересы наших спортсменов и клубов, а также их спорта могут быть лучше защищены путем реализации значительных изменений в нашей организации, а не путем лишения лицензии.",63.53240915212538
15,"USA Gymnastics поддерживает независимое расследование, которое может пролить свет на то, как злоупотребление пропорцией, описанной так смело выжившими Ларри Нассар, могло остаться незамеченным так долго и включает любые необходимые и соответствующие изменения.","USA Gymnastics поддерживает независимое расследование, которое бы могло пролить свет на то, каким образом насилие в таких масштабах, столь храбро описанных выжившими жертвами Ларри Наскара, могло продолжаться незамеченным так долго, и поддерживает все необходимые и уместные в данном случае изменения.",59.09262537415039,"USA Gymnastics поддерживает независимое расследование, которое может пролить свет на то, как злоупотребления в такой степени, как это смело описали выжившие после Ларри Нассара, могли оставаться незамеченными так долго, и поддерживает любые необходимые и уместные изменения.",71.62995080823495
16,"США гимнастика и USOC имеют одну и ту же цель  сделать спорт гимнастики и других, как можно безопаснее для спортсменов, чтобы следовать своим мечтам в безопасной, позитивной и укрепленной среде.","Федерация гимнастики США и Олимпийский комитет США имеют одинаковую цель — сделать гимнастику и другие виды спорта настолько безопасными для спортсменов, насколько это возможно, чтобы они могли стремиться к своим целям в безопасной, позитивной среде и были наделены всеми правами.",41.568455973445076,"Всё в гимнастике и Олимпийский комитет США преследуют одну и ту же цель — сделать спорт гимнастики, а также другие виды спорта, максимально безопасными для спортсменов, чтобы они могли следовать своим мечтам в безопасной, позитивной и вдохновляющей обстановке.",55.017414204117706
17,"В течение 1960-х Бжезинский работал для Джона Кеннеди в качестве его советника, а затем в администрации Линдона Б. Джонсона.","В 1960-х гг. Бжезинский занимал должность советника при Джоне Ф. Кеннеди, затем в администрации Линдона Б. Джонсона.",62.40978831446642,"На протяжении 1960-х годов Бжезинский работал в качестве советника у Джона Ф. Кеннеди, а затем и в администрации Линдона Б. Джонсона.",67.76415831538361
18,"Во время выборов 1976 года он консультировал Картера по внешней политике, затем служил советником по национальной безопасности (NSA) с 1977 по 1981 год, сменив Генри Киссинджера.","Во время выборов 1976 года он консультировал Картера по вопросам внешней политики. Затем с 1977 по 1981 год он работал советником по национальной безопасности, сменив на этом посту Генри Киссинджера.",75.90081537864214,"В ходе выборов 1976 года он консультировал Картера по вопросам внешней политики, а затем с 1977 по 1981 год занимал пост советника по национальной безопасности (NSA), сменив Генри Киссинджера.",76.60175017035603
19,"В качестве АНБ он помог Картеру в дипломатическом обращении с мировыми делами, такими как Соглашения Камп-Дэвид, 1978; нормализация отношений США с Китаем в конце 1970-х годов; Иранская революция, которая привела к кризису заложников в Иране, 1979; и советское вторжение в Афганистан, 1979.","Будучи советником по нацбезопасности, он помогал Картеру в мировой дипломатии, например, в заключении Кэмп-Дэвидских соглашений 1978 года, нормализации американо-китайских отношений в конце 1970-х годов, выработке политики в отношении Иранской революции, приведшей к кризису с заложниками в 1979 г., и вторжении СССР в Афганистан в 1979 году.",43.11528914990313,"В качестве советника по национальной безопасности он помогал Картеру в дипломатическом решении мировых дел, таких как Кэмп-Дэвидские соглашения 1978 года; нормализация отношений США и Китая в конце 1970-х; Иранская революция, которая привела к захвату американских заложников в Иране в 1979 году; и советское вторжение в Афганистан в 1979 году.",60.28852260865409
20,"Фильм, в котором снимаются Райан Гослинг и Эмма Стоун, получил номинации во всех основных категориях.",Этот фильм с участием Райана Гослинга и Эммы Стоун получил номинации во всех главных категориях.,57.83344761416669,Фильм с Райаном Гослингом и Эммой Стоун получил номинации во всех основных категориях.,71.87308332917436
21,Гослинг и Стоун получили номинации за лучшего актера и актрису соответственно.,Гослинг и Стоун получили номинации на лучшего актера и актрису соответственно.,94.58478781912167,Гослинг и Стоун получили номинации на лучшего актёра и актрису соответственно.,89.16957563824333
22,"Другие номинации включают в себя Лучший фильм, режиссер, кинематография, дизайн костюмов, киноредактирование, оригинальный балл, дизайн производства, звукоредактирование, звукомешивание и оригинальный сценарий.","Среди других номинаций: ""Лучшая картина"", ""Режиссёр"", ""Операторская работа"", ""Дизайн костюмов"", ""Монтаж фильма"", ""Оригинальная музыка"", ""Художник-постановщик"", ""Звуковой монтаж"", ""Звук"" и ""Оригинальный сценарий"".",34.64243307438417,"Другие номинации включают: Лучший фильм, Режиссура, Операторская работа, Дизайн костюмов, Монтаж фильма, Оригинальная музыка, ПрProduction Design, Звуковой монтаж, Звуковая обработка и Оригинальный сценарий.",45.090468414194646
23,"Две песни из фильма, ""Аудиция"" и ""Город звезд"", получили номинации на лучшую оригинальную песню.","Две песни из фильма — Audition (The Fools Who Dream) и City of Stars, попали в номинацию лучшая авторская песня. Студия Lionsgate попала в 26 номинаций — больше, чем любая другая студия.",22.65446007310189,"Две песни из фильма, ""Аудиша"" (Глупцы, которые мечтают) и ""Город звезд"", получили номинации на лучшую оригинальную песню. Студия Lionsgate получила 26 номинаций — больше, чем любая другая студия.",50.4760900049541
24,"В воскресенье президент США Дональд Трамп в заявлении, выданном через пресс-секретаря, объявил о том, что американские войска покинут Сирию.","Поздно вечером в воскресенье президент США Дональд Трамп через пресс-секретаря заявил, что войска США покинут Сирию.",68.76878010457057,"Поздно в воскресенье президент Соединенных Штатов Дональд Трамп в заявлении, переданном через пресс-секретаря, объявил, что американские войска покинут Сирию.",77.72677497307642
