id,translated_chinese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"他补充说:""现在我们有4个月的小鼠,它们不是糖尿病患者,",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,16.695504923162517,“我们现在有4个月大的老鼠，它们曾经是糖尿病鼠，现在已经不再糖尿病了，”他补充道。,16.813762737273148
1,"哈利法克斯大学医学教授,加拿大糖尿病协会临床和科学部门主席埃胡德·乌尔博士警告说,研究仍处于早期阶段.",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,40.22912746705309,埃胡德·乌尔博士是位于新斯科舍省哈利法克斯的达尔豪斯大学医学教授，还是加拿大糖尿病协会临床和科学部门的主席，他警告说这项研究仍处于早期阶段。,51.1604168059694
2,"他也怀疑糖尿病是否可以治愈,他指出这些发现对已经患有1型糖尿病的人没有任何意义.",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,26.810131386908704,像其他一些专家一样，他对糖尿病是否能被治愈持怀疑态度，并指出这些发现与已经患有1型糖尿病的人没有关系。,38.36518154060208
3,"瑞典文学奖委员会常任秘书萨拉·丹尼乌斯周一在瑞典斯威尔德广播电台的一次电台节目中公开宣布,委员会无法直接联系布勃·迪伦获奖,2016年诺贝尔文学奖,",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,33.08837338297495,在周一，瑞典学院诺贝尔文学委员会的常任秘书萨拉·达纽斯在瑞典的瑞典电台的一个广播节目中公开宣布，由于委员会无法直接联系到鲍勃·迪伦有关他获得2016年诺贝尔文学奖的事宜，已放弃了与他的联系努力。,35.10297482819863
4,"丹尼斯说:""目前我们没有做任何事情.我已经打电话给他最亲密的合作伙伴,",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,7.745456250162311,达尼乌斯说：“现在我们什么都不做。我已经给他最亲近的合作者打过电话和发过邮件，得到了非常友好的回复。现在这已经足够了。”,10.42248895988039
5,"之前,环球公司首席执行官Jamie Siminoff表示,公司成立时,",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,6.976858077880245,之前，Ring的首席执行官Jamie Siminoff提到，公司的起点是因为他的门铃在他车库里的商店中听不见。,34.55969479880985
6,他说他建造了一个WiFi门钟.,他称，他制作了一个 WiFi 门铃。,42.46820556706895,他说他做了一个WiFi门铃。,53.249695611572804
7,"辛诺夫表示,他在2013年在""鱼坦克""一集中出现在之后,",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,8.295215959376325,Siminoff说，2013年他在《创业公司大赛》的一期节目中亮相后，销售额大幅提升，尽管节目中的评审团拒绝为这家初创公司提供资金。,6.100644824762106
8,"2017年底,Siminoff出现在购物电视频道QVC上.",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,22.13844365248894,在2017年末，Siminoff出现在购物电视台QVC上。,61.96404361921603
9,环球公司还与竞争对手的安全公司ADT公司达成了诉讼.,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,25.067170128601617,Ring还与竞争对手安全公司ADT公司达成了和解。,56.452913360960764
10,"虽然有试验疫苗可以减少埃博拉死亡率,但到目前为止,",虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,9.410067577590157,虽然一种实验疫苗似乎能够降低埃博拉的死亡率，但到目前为止，还没有药物被明确证实适合用于治疗现有感染。,16.346827192734967
11,"一种抗体尾酒,ZMapp,最初在该领域有望,但正式研究表明它在预防死亡方面具有比寻求的更少的好处.",一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,29.242686211051943,一种抗体鸡尾酒，ZMapp，最初在这一领域显示出希望，但正式研究表明，它在预防死亡方面的益处不如预期。,33.983771811798135
12,"在PALM试验中,ZMapp作为一个控制,这意味着科学家将其作为一个基线,并将其其他三种治疗方法与它进行了比较.",在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,37.49580572838465,在PALM试验中，ZMapp被作为对照，意味着科学家将其作为基准，并将其他三种治疗与其进行比较。,45.62702888871011
