id,translated_russian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""У нас теперь есть четырехмесячные мыши, которые не страдают диабетом, а раньше были диабетом"", - добавил он.","""Теперь у нас есть четырёхмесячные мыши, у которых больше нет диабета"", — добавил он.",0.7997840642929077,"«Теперь у нас есть четырехмесячные мыши, которые не являются диабетиками, но раньше были диабетиками», - добавил он.",0.8439270853996277
1,"Доктор Эхуд Ур, профессор медицины в университете Дальхузи в Галифаксе (Новая Шотландия) и председатель клинического и научного отделения канадской ассоциации диабета, предупредил, что исследования еще на ранних стадиях.","Согласно предупреждению доктора Эхуда Ура (Ehud Ur), профессора медицины в Университете Дэлхаузи в Галифаксе (Новая Шотландия) и председателя клинико-научного отдела Канадской диабетической ассоциации, исследования все еще находятся на начальной стадии.",0.9037101864814758,"Доктор Эхуд Ур, профессор медицины в Университете Далхауси в Галифаксе, Новая Шотландия, и председатель клинического и научного отдела Канадской ассоциации диабета, предостерег, что исследование все еще находится на ранней стадии.",0.9313579201698303
2,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отметив, что эти результаты не имеют никакого отношения к людям, у которых уже есть диабет 1 типа.","Как и некоторые другие эксперты, он сомневается, что диабет излечим, отмечая, что эти открытия не относятся к людям, у которых уже развился диабет 1 типа.",0.8987476229667664,"Как и некоторые другие эксперты, он скептически относится к тому, можно ли излечить диабет, отмечая, что эти выводы не имеют отношения к людям, у которых уже есть диабет 1 типа.",0.931766152381897
3,"В понедельник Сара Даниес, постоянный секретарь Нобелевского комитета по литературе в Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не смог напрямую связаться с Бобом Диланом о том, как он получил Нобелевскую премию по литературе 2016 года, отказался от своих усилий по достижению его.","В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской Академии, публично заявила во время передачи на шведской радиостанции Sveriges о том, что комитет, которому не удалось связаться с Бобом Диланом напрямую и сообщить ему, что он выиграл Нобелевскую премию по литературе за 2016 год, прекращает попытки выйти с ним на связь.",0.7602426409721375,"В понедельник Сара Даниус, постоянный секретарь Нобелевского комитета по литературе при Шведской академии, публично объявила во время радиопрограммы на Sveriges Radio в Швеции, что комитет, не сумев связаться напрямую с Бобом Диланом по поводу вручения ему Нобелевской премии по литературе 2016 года, прекратил усилия по установлению контакта с ним.",0.7621846795082092
4,"Даниев сказал: ""В данный момент мы ничего не делаем. Я позвонил и отправил электронные письма ближайшему сотруднику и получил очень дружелюбные ответы.","Даниус заявил: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получал очень дружелюбные ответы. На данный момент этого, конечно, достаточно"".",0.8785625100135803,"Даниус сказал: ""Сейчас мы ничего не делаем. Я звонил и отправлял электронные письма его ближайшему сотруднику и получил очень дружелюбные ответы. На данный момент этого, безусловно, достаточно.""",0.8740836977958679
5,"Ранее генеральный директор Ring Джейми Симинофф отметил, что компания началась, когда его звонок не был слышен из его магазина в гараже.","Ранее генеральный директор Ring Джейми Симинофф отметил, что эта компания началась с того, что он не слышал дверного звонка в мастерской своего гаража.",0.764474093914032,"Ранее генеральный директор Ring, Джейми Симинофф, отметил, что компания начала свою деятельность, когда его дверной звонок не был слышен из его магазина в гараже.",0.823046863079071
6,"Он сказал, что построил дверный звонок WiFi.","Он сказал, что создал дверной звонок, работающий от WiFi.",0.8528119921684265,"Он построил дверной звонок с WiFi, сказал он.",0.908305823802948
7,"Симинофф сказал, что продажи увеличились после его появления в 2013 году в эпизоде ""Айковый танк"", где панель шоу отказалась финансировать стартап.","Симинофф сказал, что продажи выросли после его появления в выпуске шоу ""Shark Tank"" в 2013 году, где члены жюри отказались финансировать его стартап.",0.8674153685569763,"Симинофф заявил, что продажи возросли после его появления в эпизоде ""Шарк Танк"" в 2013 году, когда панель шоу отказалась финансировать стартап.",0.9152742028236389
8,В конце 2017 года Симинофф появился на торговом телеканале QVC.,В конце 2017 года Симинофф появился на торговом телеканале QVC.,0.9775187373161316,В конце 2017 года Симинофф появился на торговом телевизионном канале QVC.,0.9475980997085571
9,"Ring также урегулировал судебный процесс с конкурирующей компанией по охране, корпорацией ADT.","Кроме того, Ring урегулировала судебный процесс с конкурентами, охранной фирмой ADT Corporation.",0.9165582060813904,Ring также урегулировала иск с конкурирующей охранной компанией ADT Corporation.,0.9328606128692627
