id,translated_portu,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"“Agora temos camundongos de 4 meses que não são diabéticos que costumavam ser diabéticos”, acrescentou.","""Agora temos ratos de 4 meses de idade que não são diabéticos e que antes eram diabéticos,""complementou.",17.27588344012979,"""Agora temos camundongos de 4 meses que são não diabéticos, mas que costumavam ser diabéticos"", acrescentou ele.",31.396945956340243
1,"Dr. Ehud Ur, professor de medicina na Universidade Dalhousie em Halifax, Nova Escócia e presidente da divisão clínica e científica da Associação Canadense de Diabetes advertiu que a pesquisa ainda está em seus primeiros dias.","O Médico Ehud Ur, um professor de medicina na Universidade de Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Canadian Diabetes Association disse que o estudo ainda está dando seus primeiros passos.",43.14795354732523,"O Dr. Ehud Ur, professor de medicina na Universidade Dalhousie em Halifax, Nova Escócia, e presidente da divisão clínica e científica da Associação Canadense de Diabetes, alertou que a pesquisa ainda está em seus estágios iniciais.",75.41549419020585
2,"Como alguns outros especialistas, ele é cético sobre se o diabetes pode ser curado, observando que essas descobertas não têm relevância para pessoas que já têm diabetes tipo 1.","Assim como alguns outros especialistas, ele é cético sobre a cura do diabetes, observando que essas descobertas não têm relevância às pessoas que já têm diabetes tipo 1.",63.66093834247326,"Como alguns outros especialistas, ele é cético quanto à possibilidade de cura do diabetes, observando que esses achados não têm relevância para pessoas que já possuem diabetes tipo 1.",50.906631775961365
3,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges, na Suécia, que o comitê, incapaz de alcançar Bob Dylan diretamente sobre ganhar o Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.","Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Rádio Sveriges na Suécia que o comitê, incapaz de entrar em contato com Bob Dylan diretamente sobre a conquista do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para contactá-lo.",74.64446777405001,"Na segunda-feira, Sara Danius, secretária permanente do Comitê Nobel de Literatura da Academia Sueca, anunciou publicamente durante um programa de rádio na Sveriges Radio, na Suécia, que o comitê, incapaz de contatar Bob Dylan diretamente sobre a vitória do Prêmio Nobel de Literatura de 2016, havia abandonado seus esforços para alcançá-lo.",81.78908041002721
4,"Danius disse: ""Neste momento, não estamos fazendo nada. Liguei e enviei e-mails para seu colaborador mais próximo e recebi respostas muito amigáveis. Por enquanto, isso certamente é suficiente.""","Danius disse: ""Neste momento não estamos fazendo nada. Tenho ligado e enviado e-mails para o seu colaborador mais próximo e tenho recebido repostas muito amigáveis. Por enquanto, isso certamente é o suficiente.""",54.50233902812052,"Danius disse: ""Neste momento, não estamos fazendo nada. Eu liguei e enviei e-mails para seu colaborador mais próximo e recebi respostas muito amigáveis. Por enquanto, isso é certamente suficiente.""",81.00960043834625
5,"Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando sua campainha não era audível de sua loja em sua garagem.","Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa surgiu quando sua campainha não podia ser ouvida de sua loja em sua garagem.",73.69529523204436,"Anteriormente, o CEO da Ring, Jamie Siminoff, comentou que a empresa começou quando o seu campainha não era audível a partir de sua loja na garagem.",66.11564554004164
6,"Ele construiu um sino de porta WiFi, disse ele.","Ele montou uma campainha sem fio, disse.",8.913765521398126,"Ele construiu um campainha de WiFi, disse ele.",48.326978309062206
7,"Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio do Shark Tank, onde o painel do show recusou financiar a startup.","Siminoff afirmou que as vendas aumentaram após sua aparição de 2013 em um episódio do Shark Tank, no qual os jurados do programa recusaram o financiamento da startup.",45.37519286835208,"Siminoff disse que as vendas aumentaram após sua aparição em 2013 em um episódio do Shark Tank, onde o painel do programa recusou o financiamento da startup.",77.9232874291321
8,"No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.","Siminoff foi exibido no canal de televisão de compras QVC, no final de 2017.",49.14985110564941,"No final de 2017, Siminoff apareceu no canal de televisão de compras QVC.",100.00000000000004
9,"Ring também resolveu um processo com a empresa de segurança concorrente, a ADT Corporation.","A Ring ganhou também uma causa judicial contra a empresa de segurança concorrente, a ADT Corporation.",53.83261513974484,"A Ring também resolveu uma ação judicial com a empresa de segurança concorrente, a ADT Corporation.",65.72677895577044
10,"Enquanto uma vacina experimental parece capaz de reduzir a mortalidade por Ebola, até agora, nenhuma droga foi claramente demonstrada adequada para o tratamento da infecção existente.","Embora uma vacina experimental pareça ser capaz de reduzir a mortalidade do Ebola, até o momento, nenhuma droga foi claramente considerada como adequada para tratar a infecção existente.",35.463327377934924,"Enquanto uma vacina experimental parece capaz de reduzir a mortalidade por Ebola, até agora, nenhum medicamento foi claramente demonstrado como adequado para tratar infecções existentes.",56.53690838649176
11,"Um coquetel de anticorpos, o ZMapp, inicialmente mostrou-se promissor no campo, mas estudos formais indicaram que ele tinha menos benefício do que o procurado na prevenção da morte.","Um coquetel de anticorpos, ZMapp, inicialmente se mostrou promissor na área, mas estudos formais indicaram que ele tinha menos benefícios do que buscado na prevenção da morte.",52.686297535003646,"Um coquetel de anticorpos, ZMapp, inicialmente mostrou promise no campo, mas estudos formais indicaram que teve menos benefício do que se buscava na prevenção da morte.",54.2947183571166
12,"No teste PALM, o ZMapp serviu como controle, o que significa que os cientistas o usaram como linha de base e compararam os três outros tratamentos com ele.","ZMapp foi usado como controle, isso quer dizer que os cientistas o usaram como linha de base e o compararam os três outros tratamentos no estudo PALM.",46.60952525264508,"No ensaio PALM, o ZMapp serviu como controle, o que significa que os cientistas o usaram como uma linha de base e compararam os outros três tratamentos a ele.",69.98203327023842
13,A USA Gymnastics apoia a carta do Comitê Olímpico dos Estados Unidos e aceita a necessidade absoluta da família olímpica de promover um ambiente seguro para todos os nossos atletas.,A equipe de ginástica norte-americana apoia a carta do Comitê Olímpico dos Estados Unidos e concorda com a necessidade absoluta de que a família olímpica promova um ambiente seguro para todos os nossos atletas.,54.07156349837599,A Ginástica dos EUA apoia a carta do Comitê Olímpico dos Estados Unidos e aceita a necessidade absoluta da família olímpica de promover um ambiente seguro para todos os nossos atletas.,87.73028411183196
14,"Concordamos com a declaração do USOC de que os interesses de nossos atletas e clubes, e seu esporte, podem ser melhor servidos ao avançar com mudanças significativas dentro de nossa organização, em vez de decertificação.","Concordamos com a declaração do USOC de que os interesses de nossos atletas e clubes, e seus esportes, podem ser melhor servidos ao avançarmos com mudanças significativas dentro de nossa organização, ao invés da descertificação.",70.68537521325925,"Concordamos com a declaração do USOC de que os interesses de nossos atletas e clubes, e de seu esporte, podem ser melhor atendidos avançando com mudanças significativas dentro de nossa organização, em vez da descredenciação.",76.62190919133121
15,A Ginástica dos EUA apoia uma investigação independente que pode esclarecer como o abuso da proporção descrita tão corajosamente pelos sobreviventes de Larry Nassar poderia ter ficado despercebido por tanto tempo e abraça quaisquer mudanças necessárias e apropriadas.,"A equipe de ginástica norte-americana apoia uma investigação independente que possa esclarecer como um abuso da proporção que foi relatada tão corajosamente pelo sobrevivente, Larry Nassar, pôde acontecer sem que ninguém notasse, e defende qualquer mudança que for necessária e apropriada.",13.911337323179238,A USA Gymnastics apoia uma investigação independente que pode esclarecer como o abuso da proporção descrita tão corajosamente pelos sobreviventes de Larry Nassar poderia ter permanecido indetectado por tanto tempo e acolhe quaisquer mudanças necessárias e apropriadas.,73.37788222305767
16,"A ginástica dos EUA e o USOC têm o mesmo objetivo – tornar o esporte de ginástica e outros, o mais seguro possível para os atletas seguirem seus sonhos em um ambiente seguro, positivo e capacitado.","A equipe de ginástica norte-americana e o USOC têm o mesmo objetivo — tornar a ginástica e qualquer outro esporte o mais seguro possível para que os atletas possam ir atrás dos seus sonhos em um ambiente de respeito, saudável e positivo.",34.439468069327134,"A Ginástica dos EUA e o USOC têm o mesmo objetivo — tornar o esporte da ginástica, e outros, o mais seguro possível para que os atletas possam seguir seus sonhos em um ambiente seguro, positivo e empoderado.",58.551057767210274
17,"Ao longo da década de 1960, Brzezinski trabalhou para John F. Kennedy como seu conselheiro e, em seguida, a administração Lyndon B. Johnson.","Através dos anos 60, Brzezinski trabalhou para John F. Kennedy e seu assessor e, depois, para a administração Lyndon B. Johnson.",46.361333851961774,"Ao longo da década de 1960, Brzezinski trabalhou para John F. Kennedy como seu conselheiro e depois para a administração de Lyndon B. Johnson.",74.71675769928027
18,"Durante as seleções de 1976, ele aconselhou Carter sobre política externa, em seguida, serviu como Conselheiro de Segurança Nacional (NSA) de 1977 a 1981, sucedendo Henry Kissinger.","Durante as eleições de 1976, ele aconselhou Carter sobre política externa, depois serviu como Conselheiro de Segurança Nacional (NSA) de 1977 a 1981, como sucessor de Henry Kissinger.",70.44194182065888,"Durante as seleções de 1976, ele aconselhou Carter sobre política externa e, em seguida, serviu como Conselheiro de Segurança Nacional (NSA) de 1977 a 1981, sucedendo Henry Kissinger.",92.4331058366951
19,"Como NSA, ele ajudou Carter a lidar diplomaticamente com assuntos mundiais, como os Acordos de Camp David, 1978; normalizar as relações EUA-China no final dos anos 1970; a Revolução Iraniana, que levou à crise dos reféns no Irã, 1979; e a invasão soviética no Afeganistão, 1979.","Como membro da NSA, ele ajudou Carter na condução de assuntos diplomáticos mundiais, como o Acordo de Camp David, em 1978; a normalização das relações EUA-China no final dos anos 1970; a Revolução Iraniana, que levou à crise dos reféns em 1979; e a invasão soviética no Afeganistão, em 1979.",56.99628254594649,"Como NSA, ele auxiliou Carter a lidar diplomaticamente com assuntos mundiais, como os Acordos de Camp David, em 1978; a normalização das relações EUA-China ao longo do final dos anos 1970; a Revolução Iraniana, que levou à crise dos reféns no Irã, em 1979; e a invasão soviética no Afeganistão, em 1979.",68.75162296267087
20,"O filme, com Ryan Gosling e Emma Stone, recebeu indicações em todas as principais categorias.","O filme, com Ryan Gosling e Emma Stone, recebeu indicações em todas as categorias principais.",85.5358386277832,"O filme, estrelado por Ryan Gosling e Emma Stone, recebeu indicações em todas as principais categorias.",79.4069318995806
21,"Gosling e Stone receberam indicações para Melhor Ator e Atriz, respectivamente.","Gosling e Stone foram contemplados com indicações para, respectivamente, Melhor Ator e Atriz.",27.637516241255245,"Gosling e Stone receberam indicações para Melhor Ator e Atriz, respectivamente.",100.00000000000004
22,"As outras indicações incluem Melhor Filme, Diretor, Cinematografia, Design de Traje, Edição de Filme, Trilha Sonora Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.","As outras nomeações incluem Melhor Filme, Diretor, Fotografia, Figurino, Melhor Montagem, Trilha Sonora Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.",65.69608937508035,"As outras indicações incluem Melhor Filme, Direção, Cinematografia, Design de Figurino, Edição de Filme, Trilha Sonora Original, Design de Produção, Edição de Som, Mixagem de Som e Roteiro Original.",85.84922885264845
