id,translated_spainish,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""Ahora tenemos ratones de 4 meses que no son diabéticos que solían ser diabéticos"", agregó.","«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.",49.40445538301195,"""Ahora tenemos ratones de 4 meses que son no diabéticos y que solían ser diabéticos,"" agregó.",82.34162222336148
1,"El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes advirtió que la investigación todavía está en sus primeros días.","La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.",59.2229283028699,"El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia, y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes, advirtió que la investigación aún se encuentra en sus primeras etapas.",86.28944971367989
2,"Al igual que otros expertos, es escéptico acerca de si la diabetes puede curarse, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.","Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.",57.748796696896434,"Como algunos otros expertos, es escéptico sobre si la diabetes se puede curar, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.",84.34398345749659
3,"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia, el comité, incapaz de llegar a Bob Dylan directamente sobre ganar el Premio Nobel de Literatura 2016, había abandonado sus esfuerzos para llegar a él.","El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.",64.60146563693623,"El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia que el comité, incapaz de comunicarse directamente con Bob Dylan sobre su premiación con el Nobel de Literatura en 2016, había abandonado sus esfuerzos para contactarlo.",80.83293416874534
4,"Danio dijo, ""Ahora mismo no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y recibido respuestas muy amistosas. Por ahora, eso es sin duda suficiente.""","Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».",53.58559785057866,"Danius dijo: ""En este momento no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y he recibido respuestas muy amables. Por ahora, eso es ciertamente suficiente.""",76.3291784799583
5,"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la compañía comenzó cuando su timbre no era audible desde su tienda en su garaje.","Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.",41.902599964804516,"Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la empresa comenzó cuando el timbre de su puerta no era audible desde su taller en el garaje.",73.279755118869
6,"Él construyó una campana de la puerta WiFi, dijo.",Él dijo que construyó un timbre wifi.,39.453904422504905,"Él construyó un timbre de puerta WiFi, dijo.",69.45438106577193
7,"Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank, donde el panel del show declinó financiar la startup.","Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.",48.12217137223759,"Siminoff dijo que las ventas aumentaron después de su aparición en un episodio de Shark Tank en 2013, donde el panel del programa rechazó financiar la startup.",83.83452402483758
8,"A finales de 2017, Siminoff apareció en el canal de televisión QVC.","Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.",44.35646787724675,"A finales de 2017, Siminoff apareció en el canal de televisión de compras QVC.",84.21446094870707
9,"Ring también resolvió una demanda con la compañía de seguridad competidora, la Corporación ADT.","Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.",51.10806074409974,"Ring también resolvió una demanda con la empresa de seguridad competidora, ADT Corporation.",77.20311091099819
