id,translated_france,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.","« Nous avons à présent des souris de 4 mois qui ne sont pas diabétiques alors qu'elles l'étaient auparavant », a-t-il ajouté.",73.32477491244983,"« Nous avons maintenant des souris de 4 mois qui ne sont pas diabétiques et qui étaient auparavant diabétiques », a-t-il ajouté.",100.0
1,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a mis en garde contre le fait que la recherche en est encore à ses débuts.","Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie de Halifax (Nouvelle-Écosse) et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en était encore à ses débuts.",90.281575016024,"Le Dr Ehud Ur, professeur de médecine à l'Université Dalhousie à Halifax, en Nouvelle-Écosse, et président de la division clinique et scientifique de l'Association canadienne du diabète, a averti que la recherche en est encore à ses débuts.",90.6411569124442
2,"Comme d'autres experts, il est sceptique quant à savoir si le diabète peut être guéri, notant que ces résultats n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.","À l'instar d'autres experts, il se montre sceptique quant à la possibilité de guérir le diabète, faisant remarquer que ces résultats ne sont pas applicables aux personnes qui souffrent déjà de diabète de type 1.",53.20733871097,"Comme certains autres experts, il est sceptique quant à la possibilité de guérir le diabète, notant que ces découvertes n'ont aucune pertinence pour les personnes qui ont déjà le diabète de type 1.",75.31167922812067
3,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement, lors d'une émission de radio sur Sveriges Radio en Suède, que le comité, incapable de joindre directement Bob Dylan à propos de la victoire du Prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.","Lundi, lors d'une émission de radio sur Sveriges Radio, en Suède, Sara Danius, secrétaire permanente du Comité Nobel de Littérature de l'Académie Suédoise, a annoncé publiquement que le comité, incapable de joindre directement Bob Dylan au sujet du prix Nobel de littérature 2016, avait renoncé à le contacter.",80.73468211897334,"Lundi, Sara Danius, secrétaire permanente du Comité Nobel de littérature à l'Académie suédoise, a annoncé publiquement lors d'une émission de radio sur Sveriges Radio en Suède que le comité, n'ayant pas pu contacter Bob Dylan directement au sujet de son prix Nobel de littérature 2016, avait abandonné ses efforts pour le joindre.",84.22992591254112
4,"Danius a dit, ""En ce moment nous ne faisons rien. J'ai appelé et envoyé des emails à son plus proche collaborateur et a reçu des réponses très amicales. Pour l'instant, cela suffit certainement.""","Danius a déclaré : « En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son plus proche collaborateur et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant. »",77.88941334692088,"Danius a dit : ""En ce moment, nous ne faisons rien. J'ai appelé et envoyé des courriels à son collaborateur le plus proche et j'ai reçu des réponses très amicales. Pour l'instant, c'est certainement suffisant.""",76.452217213892
5,"Auparavant, le PDG de Ring, Jamie Siminoff, a remarqué que l'entreprise avait commencé quand sa sonnette n'était pas audible de sa boutique dans son garage.","Auparavant, le PDG de Ring, Jamie Siminoff, a fait remarquer qu'il a lancé l'entreprise lorsque la sonnette de sa porte d'entrée n'était pas audible depuis son magasin dans son garage.",63.19272998116073,"Auparavant, le PDG de Ring, Jamie Siminoff, a déclaré que l'entreprise avait commencé lorsque sa sonnette n'était pas audible depuis son garage.",81.52958683010779
6,"Il a construit une cloche de porte WiFi, a-t-il dit.",Il dit avoir conçu une sonnette de porte Wi-Fi.,35.653287818681356,Il a dit qu'il avait construit une sonnette WiFi.,41.23912204365387
7,Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel du spectacle a refusé de financer la startup.,M. Siminoff a déclaré que les ventes ont augmenté après son apparition en 2013 dans un épisode de Shark Tank où le panel de la série a refusé de financer la start-up.,89.65688809607516,Siminoff a déclaré que les ventes avaient augmenté après son apparition en 2013 dans un épisode de Shark Tank où le jury de l'émission avait refusé de financer la startup.,80.30987725598682
8,"Fin 2017, Siminoff est apparu sur la chaîne de télévision d'achat QVC.","Fin 2017, Siminoff est apparu sur la chaîne de télé-achat QVC.",90.24990967515586,"Fin 2017, Siminoff est apparu sur la chaîne de télévision shopping QVC.",82.50231600579795
9,"Ring a également réglé un procès avec une société de sécurité concurrente, ADT Corporation.","Ring a également réglé un procès avec une entreprise de sécurité concurrente, l'ADT Corporation.",80.38232959929917,"Ring a également réglé un procès avec la société de sécurité concurrente, ADT Corporation.",93.65255919960556
