id,translated_hindi,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""अब हमारे पास 4 महीने के चूहे हैं कि अविभ्यिक हैं,"" उन्होंने आगे कहा.",उन्होंने कहा “कि अब हमारे पास 4 महीने उम्र वाले चूहे हैं जिन्हें मधुमेह नहीं है जो मधुमेह के रोगी थे। ”,38.52814320410968,"""हमारे पास अब 4 महीने के चूहे हैं जो पहले मधुमेह के थे लेकिन अब गैर-मधुमेह हैं,"" उन्होंने जोड़ा।",43.11439842176585
1,इस बारे में एहूद ऊर नाम के एक डॉक्टर ने चेतावनी दी कि कनाडा की डायबिटीज़ की जाँच के शुरूआती दिनों में भी की जा सकती है ।,"डॉ. एहुड उर, नोवा स्कोटिया के हैलिफ़ैक्स में डलहौज़ी विश्वविद्यालय में चिकित्सा के प्रोफ़ेसर और कनाडाई डायबिटीज़ एसोसिएशन के नैदानिक ​​और वैज्ञानिक विभाग के अध्यक्ष ने आगाह किया कि शोध अभी भी अपने शुरुआती दिनों में है.",18.520765223313326,"डॉ. एहुद उर, हलीफैक्स, नोवा स्कोटिया में डलहौजी विश्वविद्यालय में चिकित्सा के प्रोफेसर और कनाडाई मधुमेह संघ के नैदानिक और वैज्ञानिक विभाग के अध्यक्ष ने चेतावनी दी कि यह शोध अभी शुरुआती चरण में है।",18.70409772583789
2,"कुछ अन्य विशेषज्ञों की तरह, वह इस बात पर संदेह करता है कि डायबिटीज़ ठीक हो सकती है या नहीं ।","कुछ अन्य विशेषज्ञों की तरह, उन्हें इस बात पर संदेह है कि क्या मधुमेह को ठीक किया जा सकता है, यह देखते हुए कि इन निष्कर्षों की उन लोगों के लिए कोई प्रासंगिकता नहीं है जिन्हें पहले से ही टाइप 1 मधुमेह है.",28.952583298898865,"जैसे कुछ अन्य विशेषज्ञ, वह यह मानने में संदेहशील हैं कि क्या मधुमेह का इलाज किया जा सकता है, यह बताते हुए कि ये निष्कर्ष उन लोगों के लिए कोई प्रासंगिकता नहीं रखते जो पहले से टाइप 1 मधुमेह से प्रभावित हैं।",19.53308281323472
3,"सन्‌ 2016 के दशक के आखिर में, सन्‌ 2016 में, ‘ द वॉचटावर सोसाइटी ’ के लिए वॉच टावर सोसाइटी के सदस्य, शासी निकाय के सदस्य, शासी निकाय के एक रेडियो कार्यक्रम के दौरान सबके सामने घोषणा की गयी ।","सोमवार को स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति के स्थायी सचिव, सारा डेनियस, स्वीडन समिति में सेवरिज रेडियो पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की, कि साहित्य में 2016 के नोबेल पुरस्कार जीतने को लेकर सीधे बॉब डायलन तक पहुँचने में असमर्थ होकर, अपने प्रयासों को छोड़ चुके थे.",24.094266921053002,"सोमवार को, सारा डेनियस, स्वीडिश अकादमी में साहित्य के लिए नोबेल समिति की स्थायी सचिव, ने स्वीडन के Sveriges Radio पर एक रेडियो कार्यक्रम के दौरान सार्वजनिक रूप से घोषणा की कि समिति, जो 2016 के साहित्य में नोबेल पुरस्कार को लेकर बॉब डिलन से सीधे संपर्क नहीं कर पाई, ने उन्हें संपर्क करने के प्रयासों को छोड़ दिया है।",23.55426179136493
4,"दानियुस ने कहा, अभी हम कुछ नहीं कर रहे हैं; मैं ने अपने सबसे निकट सहयोगियों को बुलाकर, बहुत ही दोस्ताना उत्तर दिए हैं।","डेनियस ने कहा, “फ़िलहाल हम कुछ नहीं कर रहे हैं. मैंने अपने साथ काम करने वाले लोगों को ईमेल भेजे हैं और उसने उनके फ्रेंडली जवाब भेजे हैं. अभी के लिए, बस इतना ही बताना चाहूँगा.”",29.901198723428745,"डेनियस ने कहा, ""अभी हम कुछ नहीं कर रहे हैं। मैंने उसके निकटतम सहयोगी को कॉल किया है और ईमेल भेजे हैं और बहुत दोस्ताना जवाब मिले हैं। फिलहाल, यह निश्चित रूप से काफी है।""",35.47869809523251
5,"पहले, Ringsing Cannfffff, कंपनी ने कहा कि जब उसकी दरवाजे से उसकी दुकान से बात नहीं कर रहा था.","इससे पहले, रिंग के सीईओ, जेमी सिमिनॉफ ने बताया था कि कंपनी तब शुरू हुई जब उसके दरवाज़े की घंटी उसके गेराज में स्थित दुकान से सुनाई नहीं देती थी।",21.41358401967084,"पहले, रिंग के सीईओ, जेमी सिमिनॉफ, ने टिप्पणी की कि कंपनी की शुरुआत तब हुई जब उनका डोरबेल उनके गैरेज में उनकी दुकान से सुनाई नहीं देता था।",19.81046124762101
6,"उन्होंने कहा कि एक विफ़िक दरवाजा घंटी बनाया, उसने कहा.","उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.",23.033618345420066,उसने कहा कि उसने एक वाईफाई दरवाजा बेल बनाया।,40.14120857428254
7,यह रिपोर्ट आगे कहती है कि सन्‌ 2013 में एक शार्क के सामने हुई एक घटना पर गौर कीजिए ।,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक एपिसोड में उनके दिखने के बाद बिक्री में बढ़ोतरी हुई, जहाँ शो पैनल ने स्टार्टअप को पूँजी लगाने से मना कर दिया.",15.997149695743698,"सिमिनॉफ़ ने कहा कि 2013 में शार्क टैंक के एक एपिसोड में उनके प्रदर्शन के बाद बिक्री में वृद्धि हुई, जहां शो पैनल ने स्टार्टअप के लिए फंडिंग देने से इनकार कर दिया था।",15.008828467882346
8,"सन्‌ 2017 के आखिर में, टी. वी.","2017 के अंत में, सिमिनॉफ़ शॉपिंग टेलीविज़न चैनल QVC में दिखाई दिए.",13.655472248750838,"2017 के अंत में, सिमिनॉफ़ ने शॉपिंग टेलीविज़न चैनल QVC पर प्रदर्शन किया।",12.596298722074648
9,"इसके साथ - साथ, ए. डी. ए. ए. ए. ए. ए. डी. ए. ए. डी.",रिंग ने अपनी प्रतिस्पर्धी कंपनी ADT कॉर्पोरेशन के साथ एक मुकदमा निपटाया है.,6.448187500629815,"रिंग ने प्रतिस्पर्धी सुरक्षा कंपनी, एडीटी कॉर्पोरेशन के साथ भी एक मुकदमा निपटाया।",7.285942754686096
10,"जबकि एक चिकित्सा वैक्सीन अब तक ऐरोका को कम करने में समर्थ हुई है, कोई भी दवा स्पष्ट रूप से मौजूदा संक्रमण का इलाज करने के लिए उपयुक्‍त साबित नहीं हुई है ।","जबकि एक प्रायोगिक वैक्सीन इबोला से मृत्यु दर में कमी हो सकती है, अब तक, कोई भी ड्रग्स स्पष्ट रूप से संक्रमण का इलाज करने के लिए प्रमाणितनहीं हुआ है.",46.98217347214669,"एक प्रयोगात्मक वैक्सीन ऐसा प्रतीत होता है कि वह इबोला मृत्यु दर को कम करने में सक्षम है, लेकिन अब तक कोई भी दवा स्पष्ट रूप से मौजूदा संक्रमण का इलाज करने के लिए उपयुक्त नहीं साबित हुई है।",57.01876559595057
11,"शुरू - शुरू में, सीएमप्पे ने वादा किया था कि एक व्यक्‍ति को मौत को रोकने में कोई फायदा नहीं होगा ।","एक एंटीबॉडी कॉकटेल, ZMapp, ने शुरुआत में इस क्षेत्र में विश्वास दिखाया था, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि मौत को रोकने में प्रत्याशित लाभ की तुलना में इसका लाभ कम था।",18.668535716968954,"एक एंटीबॉडी कॉकटेल, ZMapp, ने प्रारंभ में इस क्षेत्र में उम्मीद दिखाई, लेकिन औपचारिक अध्ययनों ने संकेत दिया कि यह मौत को रोकने में अपेक्षित लाभ कम था।",19.70119618002872
12,"सी.) का इस्तेमाल करते थे, जिसका मतलब है कि वैज्ञानिकों ने इसे एक आधार - रेखा के तौर पर और उसके तीन अन्य उपचारों की तुलना की ।","PALM परीक्षण में, ZMapp ने एक नियंत्रण के रूप में कार्य किया, जिसका अर्थ है कि वैज्ञानिकों ने इसे बेसलाइन के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की.",42.84206560199074,"PALM परीक्षण में, ZMapp को एक नियंत्रण के रूप में उपयोग किया गया, जिसका अर्थ है कि वैज्ञानिकों ने इसे एक बुनियाद के रूप में इस्तेमाल किया और इसके साथ तीन अन्य उपचारों की तुलना की।",42.575287650165365
13,यू. यू. एस. ए.,"अमेरिकी जिमनास्टिक्स, संयुक्त राज्य ओलंपिक समिति के पत्र का समर्थन करता है. साथ ही, सभी एथलीटों को एक सुरक्षित माहौल देने के लिए, ओलंपिक परिवार के होने की अहमियत स्वीकार करता है.",0.9738452977184194,यूएसए जिमनास्टिक्स अमेरिका के ओलंपिक समिति के पत्र का समर्थन करता है और हमारे सभी एथलीटों के लिए एक सुरक्षित वातावरण को बढ़ावा देने के लिए ओलंपिक परिवार की absoluta आवश्यकता को स्वीकार करता है।,1.0324280999933644
