id,translated_chinese,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"他补充说:「现在有四个月大的老鼠, 这些老鼠是非糖尿病的,",他补充道：“我们现在有 4 个月大没有糖尿病的老鼠，但它们曾经得过该病。”,16.77351708155633,“我们现在有4个月大的老鼠，它们曾经是糖尿病鼠，现在已经不再糖尿病了，”他补充道。,18.366638889920054
1,"加拿大糖尿病协会临床和科学系主席、新斯科舍省哈利法克斯Dalhousie大学医学教授Ehud Ur博士告诫说,这项研究仍处于初期。",埃胡德·乌尔博士（新斯科舍省哈利法克斯市达尔豪西大学医学教授，加拿大糖尿病协会临床与科学部门教授）提醒，这项研究仍处在早期阶段。,37.58271000030304,埃胡德·乌尔博士是位于新斯科舍省哈利法克斯的达尔豪斯大学医学教授，还是加拿大糖尿病协会临床和科学部门的主席，他警告说这项研究仍处于早期阶段。,41.40568275233241
2,"与其他专家一样,他对糖尿病是否可以治愈持怀疑态度,指出这些调查结果与已经患有1型糖尿病的人无关。",和其他一些专家一样，他对糖尿病能否治愈持怀疑态度。他指出，这些发现与已患有 1 型糖尿病的人无关。,44.757932146746256,像其他一些专家一样，他对糖尿病是否能被治愈持怀疑态度，并指出这些发现与已经患有1型糖尿病的人没有关系。,46.69973837438501
3,"瑞典科学院诺贝尔文学委员会常任秘书Sara Danius在瑞典斯韦里盖斯电台的一个广播节目中公开宣布, 无法直接联系鲍勃·迪伦,",周一，瑞典学院诺贝尔文学委员会常务秘书萨拉·丹尼尔斯在瑞典广播电台的一档节目中向公众宣布，委员会因无法直接联系到鲍勃·迪伦，通知他获得了 2016 年诺贝尔文学奖，已经放弃了与他联系的尝试。,24.046597353636926,在周一，瑞典学院诺贝尔文学委员会的常任秘书萨拉·达纽斯在瑞典的瑞典电台的一个广播节目中公开宣布，由于委员会无法直接联系到鲍勃·迪伦有关他获得2016年诺贝尔文学奖的事宜，已放弃了与他的联系努力。,32.16542642635037
4,"达尼乌斯说:现在,我们什么都不做,我已打电话和发电子邮件给他最亲密的合作者,我收到了非常友好的答复。现在,这已足够了。",达尼厄斯说道：“目前我们保持按兵不动。我给他关系最好的合作者打过电话并发送了电子邮件，而且收到了对方非常友好的回复。就目前而言，这足够了。”,18.66091071924628,达尼乌斯说：“现在我们什么都不做。我已经给他最亲近的合作者打过电话和发过邮件，得到了非常友好的回复。现在这已经足够了。”,37.63938090626265
5,"之前,Ring的首席执行官Jamie Siminoff, 说公司开始于他的门铃 在他的车库的店里听不见时。",此前，铃声 (Ring) 公司 CEO 杰米·西米诺夫曾表示，公司成立之初，他在位于车库的工作室里是听不到门铃响声的。,10.285544102691809,之前，Ring的首席执行官Jamie Siminoff提到，公司的起点是因为他的门铃在他车库里的商店中听不见。,53.47168872203799
6,"他说,他建造了一个无线网门铃。",他称，他制作了一个 WiFi 门铃。,15.35881105576688,他说他做了一个WiFi门铃。,19.60880206072514
7,"Siminoff说, 2013年他出现在鲨鱼坦克节目中, 展台拒绝资助启动活动,",西米诺夫说，2013 年他在《创智赢家》节目中露面后，公司的销售额大增，当时节目组拒绝向这家初创公司投资。,11.471303242569853,Siminoff说，2013年他在《创业公司大赛》的一期节目中亮相后，销售额大幅提升，尽管节目中的评审团拒绝为这家初创公司提供资金。,20.1714933033233
8,"2017年底,Siminoff出现在购物电视频道QVC上。",2017 年年末，西米诺夫出现在 QVC 电视销售频道。,22.78444209839227,在2017年末，Siminoff出现在购物电视台QVC上。,65.05897061644188
9,Ring还解决了与相互竞争的安保公司ADT公司的一项诉讼。,铃声 (Ring) 公司还与竞争对手 ADT 安保公司在一起官司中达成了庭外和解。,18.255915630699953,Ring还与竞争对手安全公司ADT公司达成了和解。,34.31584294307427
10,"虽然一种实验疫苗似乎能够降低埃博拉的死亡率,但直到现在为止,显然没有任何药物适合治疗现有感染。",虽然有一种实验性疫苗看似能够降低埃博拉病毒的死亡率，但迄今为止，还没明确证明任何药物适合治疗现有的感染。,37.44909623926542,虽然一种实验疫苗似乎能够降低埃博拉的死亡率，但到目前为止，还没有药物被明确证实适合用于治疗现有感染。,53.59115831592671
11,"一种抗体鸡尾酒,Zmapp, 最初在实地表现出了希望, 但正式研究表明,在防止死亡方面,它的好处比寻求的要小。",一种名为 ZMapp 的“抗体鸡尾酒”（多抗体联合）最初有望在该领域发挥作用，但正式研究表明，它在预防死亡方面的效果有些不尽人意。,20.349116899411555,一种抗体鸡尾酒，ZMapp，最初在这一领域显示出希望，但正式研究表明，它在预防死亡方面的益处不如预期。,29.007413472664133
12,"在PALM试验中,ZMapp起到控制作用,这意味着科学家用它作为基线,并将其他三种治疗方法与它作比较。",在 PALM 实验中，ZMapp 用作参照。也就是科学家将其作为基线，把其他三种治疗方法与之作比较。,36.69868753081128,在PALM试验中，ZMapp被作为对照，意味着科学家将其作为基准，并将其他三种治疗与其进行比较。,41.23619463176953
13,"美国健身师协会支持美国奥林匹克委员会的信,并接受奥林匹克大家庭绝对需要为我们所有运动员促进一个安全的环境。",美国体操协会对美国奥委会的信函表示支持，并接受奥运会大家庭的严格要求，即为所有运动员营造一个安全的训练环境。,24.2676292468259,美国体操协会支持美国奥林匹克委员会的信件，并接受奥林匹克大家庭在为我们的运动员提供安全环境方面的绝对必要性。,47.24273750092098
14,"我们同意美国体育联盟理事会的说法,即通过在我们组织内进行有意义的变革而不是取消认证,可能更好地满足我们运动员和俱乐部及其体育的利益。",我们同意美国奥委会的声明，与其吊销执照，不如在我们组织内部继续推进有意义的变革，可能更有利于维护运动员和俱乐部的利益及其运动。,29.80147544696899,我们同意美国奥林匹克委员会的声明，即我们的运动员、俱乐部和他们的运动的利益可能通过在我们组织内部推进有意义的变革，而不是取消认证，得到更好的服务。,32.33987700993764
15,"美国妇科医生支持一项独立调查,该调查可能揭示出Larry Nassar幸存者如此勇敢地描述的滥用比例是如何长期无法被发现的,并包含任何必要和适当的改变。",根据美国体操协会支持的一项独立调查，我们也许能够得知，幸存者勇敢曝光的、拉里·纳萨尔的大规模性侵行为，为什么在这么长时间内都没有被发现。此外，协会还表示会做出必要和适当的整改。,14.24291577181026,美国体操协会支持一项独立调查，以揭示拉里·纳萨尔的幸存者们所勇敢描述的虐待情况是如何能够长时间未被发现的，并且欢迎任何必要和适当的变革。,26.49778691334647
16,"美国健身师和USOC有着同样的目标——使体操运动和其他运动尽可能安全,使运动员能够在安全、积极和增强权能的环境中追寻梦想。",美国体操协会和美国奥委会有一个共同的目标，那就是尽可能保证体操运动和其他运动的安全性，让运动员在安全、积极和充满支持的环境中追求他们的梦想。,28.489360685657893,美国体操协会和美国奥林匹克委员会有着相同的目标——让体操及其他运动尽可能安全，让运动员在一个安全、积极和充满力量的环境中追梦。,30.010349976248975
17,"1960年代,Brzezinski一直为约翰·肯尼迪(John F. Kennedy)工作,任他的顾问,然后任林登·B·约翰逊(Lyndon B. Johnson)政府。",20 世纪 60 年代，布热津斯基先是为约翰·福特·肯尼迪效力，担任他的顾问，后来又为林登·贝恩斯·约翰逊政府工作。,19.140816444022203,在1960年代，布热津斯基为约翰·F·肯尼迪担任顾问，随后又为林登·约翰逊政府工作。,23.602385698091666
18,"在1976年甄选期间,他就外交政策向卡特提供咨询意见,1977年至1981年担任国家安全顾问,接替亨利·基辛格。",在 1976 年总统选举期间，他为卡特提供了对外政策方面的建议，随后在 1977 到 1981 年接替亨利·基辛格担任国家安全顾问 (NSA) 。,35.717865300558046,在1976年的选举中，他向卡特提供了外交政策的建议，随后在1977年至1981年期间担任国家安全顾问，接替亨利·基辛格。,50.602421500540096
19,"作为国家安全局,他协助卡特在外交上处理世界事务,如1978年《戴维营协议》、美中关系正常化于1970年代末期、伊朗革命导致伊朗人质危机(1979年)和苏联入侵阿富汗(1979年)等。",身为国家安全顾问，他曾协助卡特处理诸多国际事务，例如 1978 年签署《戴维营协议》；在20 世纪 70 年代末实现美中关系正常化；1979 年导致伊朗人质危机的伊朗革命；1979 年苏联入侵阿富汗。,41.203677133657365,作为国家安全顾问，他协助卡特在外交上处理世界事务，例如1978年的戴维营协议；在1970年代末期正常化美中关系；伊朗革命，这导致了1979年的伊朗人质危机；以及1979年苏联入侵阿富汗。,50.09183092356053
20,"这部电影以Ryan Gosling和Emma Stone为主,获得所有主要类别的提名。",这部由瑞恩·高斯林 (Ryan Gosling) 和艾玛·斯通 (Emma Stone) 主演的电影获得了各大奖项的提名。,36.768092354248964,这部电影，由瑞恩·高斯林和艾玛·史东主演，获得了所有主要类别的提名。,29.804688337842784
21,Gosling和Stone分别收到了最佳演员和演员的提名。,高斯林和斯通分别获得了最佳男主角和最佳女主角的提名。,13.537250841353742,戈斯林和斯通分别获得了最佳男演员和最佳女演员的提名。,24.339299059863777
22,其他提名包括最佳图片、电影摄影主任、制片设计主任、电影设计、电影编辑、原创分数、制作设计、音响编辑、音响混音和原剧本。,其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳电影剪辑、最佳原创配乐、最佳艺术指导、最佳音效剪辑、最佳混音和最佳原创剧本。,19.464146532819136,其他提名包括最佳影片、最佳导演、最佳摄影、最佳服装设计、最佳剪辑、最佳原创音乐、最佳美术设计、最佳音效剪辑、最佳音效混音和最佳原创剧本。,20.231138403106836
23,"这部电影的两首歌曲,即影视(《愚人梦游》)和《星城》获得最佳原创歌曲提名,狮子门演播室获得26个提名,比任何其他演播室都多。",该电影的两首歌曲《追梦痴子心》和《星光之城》获得了最佳原创歌曲的提名。狮门影业获得了 26 项提名，比其他任何一家工作室都要多。,26.292528969062236,电影《试镜》（《梦想愚者》）中的两首歌《Audition (The Fools Who Dream)》和《City of Stars》获得了最佳原创歌曲提名。狮门影业获得了26项提名——这是所有影业中最多的。,14.125717231307346
24,"美国总统唐纳德·特朗普(Donald Trump)通过新闻秘书发表声明, 宣布美军将离开叙利亚,",周日晚些时候，美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美军将撤离叙利亚。,50.18361645826727,星期天晚些时候， 美国总统唐纳德·特朗普通过新闻秘书发表声明，宣布美国军队将离开叙利亚。,49.72010597327277
25,"Trump与土耳其总统雷杰普·塔伊普·埃尔多安通了电话之后,",特朗普与土耳其总统雷杰普·塔伊普·埃尔多安（Recep Tayyip Erdoğan）通话后发表了声明。,38.07194251521269,在特朗普与土耳其总统雷杰普·塔伊普·埃尔多安通话后，宣布了这一消息。,55.10855894139407
26,"土耳其还将接管被俘的伊斯兰国战斗人员的警卫工作,该声明说,欧洲国家拒绝遣返。",该声明称，土耳其还将接管对被捕的伊斯兰国武装分子的看守任务；欧洲国家拒绝将他们遣送回国。,29.493037061897226,土耳其还将负责看守被捕的ISIS战斗人员，声明指出，欧洲国家拒绝遣返这些人员。,28.644139157971477
