id,translated_arabian,origin_translation,origin_bleu,gpt_translation,gpt_bleu
0,"""لدينا الآن فئران عمرها 4 أشهر غير مصابة بالداء السكري التي كانت في السابق مصابة بالسكري"" أضاف.","أضاف قائلاً، ""لدينا الآن فئران تبلغ من العمر 4 أشهر التي كانت تعاني في السابق من مرض السكري، ولكنها لم تعد تعاني منه الآن.",0.8410109877586365,"قال: ""لدينا الآن فئران تبلغ من العمر 4 أشهر كانت مصابة بالسكري ولكنها الآن غير مصابة بالسكري.""",0.8753209710121155
1,وحذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوسي في هاليفاكس، نوفا سكوشيا ورئيس القسم السريري والعلمي للرابطة الكندية لمرضى السكري، من أن البحث لا يزال في أيامه الأولى.,نبه الدكتور إيهود أور -أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوتيا ورئيس الشعبة الطبية والعلمية في الجمعية الكندية للسكري- إلى أن البحث لا يزال في أيامه الأولى.,0.876297652721405,حذر الدكتور إيهود أور، أستاذ الطب في جامعة دالهوزي في هاليفاكس، نوفا سكوشا ورئيس القسم السريري والعلمي في الجمعية الكندية للسكري، من أن البحث لا يزال في مراحله الأولى.,0.8925938606262207
2,وهو، شأنه شأن بعض الخبراء الآخرين، متشكك فيما إذا كان من الممكن علاج مرض السكري، مشيراً إلى أن هذه النتائج لا صلة لها بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع 1.,مثل باقي الخبراء الآخرين، فهو متشكك فيما إذا كان يمكن علاج السكري، مع ملاحظة أن هذه النتائج ليس لها علاقة بالناس الذي لديهم السكري من النوع الأول سابقاً.,0.9110634922981262,مثل بعض الخبراء الآخرين، فهو متشكك بشأن ما إذا كان يمكن علاج مرض السكري، مشيرًا إلى أن هذه النتائج لا تتعلق بالأشخاص الذين يعانون بالفعل من مرض السكري من النوع الأول.,0.9224364161491394
3,يوم الاثنين، سارا دانيوس، الأمينة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، التي أعلنت في برنامج إذاعي على إذاعة Sveriges في السويد، أن اللجنة، التي لم تتمكن من الوصول إلى بوب ديلان مباشرة بشأن الفوز بجائزة نوبل في الأدب لعام 2016، قد تخلت عن جهودها للوصول إليه.,في يوم الإثنين ، أعلنت سارة دانيوس -السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية- على الملأ خلال برنامج إذاعي على راديو السويد في السويد، أن اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016- قد تخلت عن جهودها للوصول إليه.,0.8225027918815613,في يوم الاثنين، أعلنت سارة دانياس، السكرتيرة الدائمة للجنة نوبل للأدب في الأكاديمية السويدية، علنًا خلال برنامج إذاعي على إذاعة سويدن، أن اللجنة، التي لم تتمكن من التواصل مع بوب ديلان مباشرة بشأن فوزه بجائزة نوبل للأدب لعام 2016، قد تخلت عن جهودها للتواصل معه.,0.8082979321479797
4,"قال دانيوس: ""الآن نحن لا نفعل شيئا. لقد اتصلت وأرسلت بريدا الكترونيا لأقرب متعاون له واستلمت ردودا ودية جدا. في الوقت الحاضر، هذا يكفي بالتأكيد.""","قال دانيوس ""لن نقوم الآن بفعل أي شيء. لقد قمت بالاتصال وإرسال رسائل بريد إلكتروني إلى أقرب المتعاونين معه وحصلت على ردود لطيفة جداً. هذا يكفي في الوقت الحالي بالطبع"".",0.8774098753929138,"قال دانياس: ""الآن نحن لا نقوم بشيء. لقد اتصلت وأرسلت رسائل بريد إلكتروني إلى أقرب متعاون له وتلقيت ردودًا ودية جدًا. في الوقت الحالي، ذلك بالتأكيد يكفي.""",0.9205094575881958
5,سابقاً، المدير التنفيذي لـ(رينج)، (جيمي سيمينوف)، لاحظ أن الشركة بدأت عندما كان جرس بابه غير مسموع من متجره في مرآبه.,في السابق، لاحظ جيمي سيمينوف، الرئيس التنفيذي لشركة Ring، أن الشركة بدأت عندما لم يكن جرس بابه مسموعاً من متجره في مرآب منزله.,0.8158213496208191,سبق أن علق الرئيس التنفيذي لشركة رينغ، جيمي سيمي نوف، بأن الشركة بدأت عندما لم يكن جرس الباب مسموعاً من متجره في المرآب.,0.7975704073905945
6,قال انه بنى باب واي فاي,قال إنه صنع جرس باب يعمل بتقنية واي فاي.,0.769218385219574,قال إنه صنع جرس باب يعمل بالواي فاي.,0.7990747690200806
7,Siminoff قال أن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك حيث رفض فريق العرض تمويل بدء التشغيل.,قال سيمينوف إن المبيعات ارتفعت بعد ظهوره في عام 2013 في حلقة شارك تانك، حيث رفضت لجنة العرض تمويل الشركة البادئة.,0.8644755482673645,"قال سيمينوف إن المبيعات زادت بعد ظهوره في حلقة من برنامج ""شارك تانك"" في عام 2013 حيث رفضت لجنة البرنامج تمويل الشركة الناشئة.",0.839271068572998
8,وفي أواخر عام 2017، ظهر سيمينوف على قناة تليفزيونية تسوقية (QVC).,"في أواخر عام 2017، ظهر ""سيمينوف"" على قناة التسوق التلفزيونية كيو في سي.",0.8419901132583618,في أواخر عام 2017، ظهر سيمينووف على قناة التسوق التلفزيونية QVC.,0.8819753527641296
9,وسوّت الشركة أيضاً دعوى قضائية مع شركة أمن منافسة، وهي شركة ADT Corporation.,كما قامت رينج بتسوية دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,0.8878458142280579,توصلت شركة رينغ أيضًا إلى تسوية في دعوى قضائية مع شركة الأمن المنافسة، شركة ADT.,0.8616693615913391
