Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,revised_3.5,f_star,r
the,0.09272822,0.09292052,0.09296545,0.09287480,0.09291078,0.09305200,0.08447328,0.09282437,-0.09134760
of,0.04401339,0.04390610,0.04379061,0.04362229,0.04349981,0.04342478,0.03604265,0.04395975,-0.17693202
and,0.04002446,0.04015977,0.04024207,0.04032847,0.04048426,0.04051303,0.04262558,0.04009212,0.05922942
to,0.02335915,0.02343961,0.02348590,0.02352323,0.02361614,0.02362765,0.02303039,0.02339938,-0.01939500
a,0.02499855,0.02503242,0.02509556,0.02512299,0.02513213,0.02508461,0.02544523,0.02501548,0.01393353
in,0.03563728,0.03566888,0.03575296,0.03592248,0.03598394,0.03604782,0.04049490,0.03565308,0.13263068
for,0.00925191,0.00924469,0.00926536,0.00925797,0.00927339,0.00924942,0.01009163,0.00924830,0.08917874
is,0.00913737,0.00896404,0.00882284,0.00875763,0.00870653,0.00866816,0.00898131,0.00905071,0.01796115
on,0.00863104,0.00864273,0.00862430,0.00862616,0.00860302,0.00861091,0.00958036,0.00863689,0.11085636
that,0.00551320,0.00543936,0.00543471,0.00542831,0.00540948,0.00544616,0.00303802,0.00547628,-0.44099593
by,0.01010480,0.01013588,0.01008646,0.01008503,0.01008232,0.01005696,0.01141919,0.01012034,0.13213126
this,0.00179035,0.00177437,0.00175436,0.00172346,0.00174054,0.00173123,0.00176093,0.00178236,0.00374660
with,0.00763425,0.00769541,0.00772020,0.00773864,0.00774863,0.00777010,0.01122170,0.00766483,0.45355108
i,0.00087755,0.00087573,0.00087774,0.00087310,0.00086863,0.00086698,0.00110154,0.00087664,0.25497526
you,0.00012218,0.00013230,0.00013348,0.00012758,0.00013035,0.00012814,0.00012069,0.00012724,-0.09586866
it,0.00687300,0.00684316,0.00681161,0.00683392,0.00685427,0.00686604,0.00564706,0.00685808,-0.17096581
not,0.00167992,0.00163404,0.00162873,0.00161363,0.00161074,0.00160364,0.00115201,0.00165698,-0.29269215
or,0.00275131,0.00274345,0.00268426,0.00265924,0.00264805,0.00265547,0.00219102,0.00274738,-0.18375382
be,0.00222032,0.00218273,0.00216659,0.00217665,0.00214637,0.00213964,0.00136815,0.00220153,-0.36852300
are,0.00300741,0.00296167,0.00294506,0.00292827,0.00294325,0.00291611,0.00244007,0.00298454,-0.17146939
from,0.00650001,0.00649207,0.00649136,0.00650998,0.00652127,0.00650998,0.00702070,0.00649604,0.08154458
at,0.00502156,0.00506823,0.00511614,0.00512101,0.00514768,0.00515008,0.00479676,0.00504489,-0.06242530
as,0.01156739,0.01152364,0.01152898,0.01153114,0.01154025,0.01157881,0.01222450,0.01154551,0.06032826
your,0.00002526,0.00002406,0.00002468,0.00002163,0.00002300,0.00002290,0.00001536,0.00002466,-0.37756909
all,0.00132221,0.00132132,0.00131465,0.00130244,0.00130623,0.00131137,0.00095014,0.00132176,-0.27727001
have,0.00246526,0.00245078,0.00242459,0.00241905,0.00242186,0.00242318,0.00205278,0.00245802,-0.15334916
new,0.00199241,0.00200003,0.00198095,0.00196864,0.00195249,0.00196025,0.00192770,0.00199622,-0.02687897
more,0.00143205,0.00143015,0.00143243,0.00143612,0.00143986,0.00144987,0.00092490,0.00143110,-0.35431236
an,0.00496987,0.00497258,0.00495854,0.00496846,0.00498338,0.00496741,0.00460586,0.00497122,-0.07112594
was,0.01678631,0.01677915,0.01679319,0.01678860,0.01677283,0.01680741,0.01422901,0.01678273,-0.15269167
we,0.00005756,0.00005269,0.00005104,0.00004937,0.00005039,0.00005016,0.00003621,0.00005513,-0.29060464
will,0.00021146,0.00020562,0.00020191,0.00019525,0.00020155,0.00019684,0.00011191,0.00020854,-0.44574009
home,0.00045287,0.00044903,0.00044588,0.00044210,0.00043979,0.00045039,0.00043557,0.00045095,-0.02312460
can,0.00061088,0.00061227,0.00060741,0.00060518,0.00060629,0.00061288,0.00081958,0.00061157,0.34929819
us,0.00050339,0.00051490,0.00050141,0.00049923,0.00049730,0.00049620,0.00059685,0.00050914,0.19035685
about,0.00104085,0.00102808,0.00101796,0.00100845,0.00100664,0.00098967,0.00081628,0.00103446,-0.19811498
if,0.00021557,0.00022051,0.00021761,0.00021522,0.00021907,0.00022247,0.00012837,0.00021804,-0.41011150
page,0.00007166,0.00005842,0.00005609,0.00005214,0.00004765,0.00004526,0.00001865,0.00006504,-0.66744406
my,0.00006461,0.00006529,0.00006338,0.00006046,0.00006079,0.00006107,0.00005705,0.00006495,-0.09979651
has,0.00261269,0.00259740,0.00259116,0.00259656,0.00259328,0.00258513,0.00283066,0.00260505,0.09242976
search,0.00009104,0.00008477,0.00008076,0.00007988,0.00007996,0.00008070,0.00007790,0.00008791,-0.03547908
free,0.00016623,0.00016724,0.00016994,0.00016863,0.00016869,0.00016685,0.00015360,0.00016674,-0.09613993
but,0.00257921,0.00260828,0.00261864,0.00262762,0.00263929,0.00264620,0.00188491,0.00259375,-0.28019464
our,0.00004112,0.00004124,0.00004487,0.00004382,0.00004162,0.00004090,0.00004827,0.00004118,0.07591629
one,0.00277187,0.00274631,0.00272801,0.00272913,0.00272528,0.00271599,0.00237424,0.00275909,-0.12967896
other,0.00191429,0.00191068,0.00191196,0.00191261,0.00189663,0.00190354,0.00144166,0.00191248,-0.24597776
do,0.00016564,0.00016495,0.00016321,0.00015698,0.00016266,0.00016085,0.00009216,0.00016530,-0.43532041
no,0.00087755,0.00087802,0.00086204,0.00085701,0.00085274,0.00084735,0.00065610,0.00087779,-0.23889757
information,0.00011454,0.00011398,0.00011161,0.00011150,0.00011556,0.00011560,0.00011740,0.00011426,0.05183228
time,0.00152368,0.00154584,0.00154853,0.00156149,0.00155049,0.00153930,0.00119041,0.00153476,-0.23126063
they,0.00171282,0.00172797,0.00174819,0.00178226,0.00178326,0.00176940,0.00134292,0.00172039,-0.23182458
site,0.00027020,0.00028294,0.00028604,0.00028789,0.00029082,0.00028790,0.00031159,0.00027657,0.08934127
he,0.00695230,0.00689528,0.00690303,0.00689661,0.00691780,0.00691457,0.00483516,0.00692379,-0.29955933
up,0.00086992,0.00086943,0.00087269,0.00086589,0.00086096,0.00086589,0.00080202,0.00086967,-0.08098293
may,0.00119122,0.00119475,0.00119407,0.00118595,0.00116657,0.00116252,0.00117944,0.00119298,-0.01224646
what,0.00030309,0.00030184,0.00030455,0.00030287,0.00030123,0.00029717,0.00012946,0.00030246,-0.57489328
which,0.00381448,0.00383110,0.00384075,0.00381191,0.00381352,0.00382671,0.00148774,0.00382279,-0.61264271
their,0.00224851,0.00229957,0.00233709,0.00235360,0.00238024,0.00239592,0.00217785,0.00227404,-0.06813542
news,0.00009633,0.00009851,0.00010208,0.00010096,0.00010023,0.00010087,0.00007570,0.00009742,-0.25835940
out,0.00061441,0.00061513,0.00062816,0.00062848,0.00062984,0.00062979,0.00041253,0.00061477,-0.34327188
use,0.00061441,0.00061456,0.00061414,0.00061295,0.00061450,0.00061725,0.00043776,0.00061448,-0.28718871
any,0.00040588,0.00040379,0.00040326,0.00039384,0.00038776,0.00038278,0.00021504,0.00040483,-0.46673513
there,0.00076184,0.00075774,0.00076052,0.00075162,0.00075526,0.00076011,0.00046958,0.00075979,-0.38255273
see,0.00020441,0.00019244,0.00018060,0.00016863,0.00016759,0.00016358,0.00006802,0.00019843,-0.62333817
only,0.00126288,0.00123656,0.00123613,0.00123255,0.00121860,0.00120723,0.00092600,0.00124972,-0.25088818
so,0.00034068,0.00033907,0.00034605,0.00034336,0.00033902,0.00033698,0.00008119,0.00033987,-0.76538145
