Word,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.07517219,0.07552912,0.07570271,0.07584634,0.07584147,0.07584776,0.07585174,0.07576354,0.07535066
of,0.05010863,0.05025257,0.0502134,0.0501936,0.05018092,0.05018611,0.05013514,0.05003759,0.0501806
and,0.03817073,0.0383863,0.03853955,0.03867988,0.03883695,0.03891566,0.03906169,0.0391614,0.03827851
to,0.02324456,0.02335784,0.02337426,0.02342412,0.02351098,0.02354677,0.02360195,0.02363275,0.0233012
a,0.03014637,0.03021547,0.03017209,0.03011373,0.03012672,0.03010887,0.03013344,0.03014724,0.03018092
in,0.03295276,0.03311302,0.03321086,0.0332474,0.03331553,0.03335965,0.03335683,0.03333387,0.03303289
for,0.00949739,0.00953904,0.00952227,0.00950496,0.00949837,0.00948837,0.00950663,0.00951776,0.00951822
is,0.02495472,0.02510611,0.02504505,0.02502098,0.02499531,0.02496106,0.02493799,0.02487199,0.02503042
on,0.00625066,0.00625444,0.00630288,0.0063,0.00629004,0.00628282,0.00625595,0.00624512,0.00625255
that,0.00887707,0.00885283,0.00884138,0.00886856,0.00887132,0.00889114,0.00890226,0.00890217,0.00886495
by,0.00965318,0.00970902,0.00977285,0.00980186,0.00982101,0.00984457,0.00985991,0.00986921,0.0096811
this,0.00382651,0.0037985,0.00381639,0.00378839,0.00377832,0.00376563,0.00376706,0.00375572,0.0038125
with,0.00713585,0.00715376,0.00719029,0.00724677,0.00727769,0.00729809,0.00732998,0.00738068,0.00714481
i,0.00072134,0.00069926,0.00067779,0.00067327,0.00067117,0.00066956,0.00066725,0.00066339,0.0007103
you,7.209e-05,6.995e-05,6.619e-05,6.07e-05,5.838e-05,6.162e-05,6.07e-05,5.654e-05,7.102e-05
it,0.00790129,0.00796284,0.00798629,0.00800745,0.00800504,0.00803037,0.00804723,0.00805935,0.00793207
not,0.00241371,0.00239904,0.0023674,0.00235974,0.00234535,0.00234172,0.00232513,0.00231106,0.00240637
or,0.0085643,0.00855531,0.00845091,0.00852354,0.00856164,0.00860531,0.00862125,0.00864917,0.00855981
be,0.00495239,0.00493682,0.00491254,0.00490689,0.00490754,0.00490087,0.00486751,0.00485373,0.0049446
are,0.00906724,0.00907061,0.00901249,0.00904714,0.00903878,0.00906531,0.00907781,0.00906415,0.00906893
from,0.00641214,0.00648527,0.00645849,0.0064724,0.00645091,0.00645065,0.00644743,0.00644158,0.0064487
at,0.00404965,0.00409999,0.00414046,0.00415504,0.00414244,0.00412467,0.00411707,0.00411415,0.00407482
as,0.01164078,0.01172777,0.0117345,0.01183159,0.01192493,0.01201933,0.01208613,0.01212504,0.01168428
your,3.675e-05,3.311e-05,3.232e-05,2.936e-05,2.875e-05,3.016e-05,2.751e-05,2.641e-05,3.493e-05
