Word,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.065448,0.06535101,0.06546214,0.0654353,0.06558341,0.06567343,0.06565848,0.0656601,0.0653995
of,0.03645002,0.0364333,0.03640033,0.03639346,0.03641224,0.0364019,0.03634452,0.03630172,0.03644166
and,0.03594177,0.03620348,0.03645654,0.03661285,0.03678017,0.0368628,0.0370056,0.03708146,0.03607262
to,0.02282996,0.02277089,0.02274005,0.0227596,0.02276294,0.02279635,0.02280911,0.02283885,0.02280042
a,0.03099867,0.03098767,0.03088034,0.03086902,0.03091245,0.03093989,0.03095545,0.03101173,0.03099317
in,0.02683988,0.02697707,0.02713177,0.02719616,0.02729434,0.02739731,0.02747629,0.02749618,0.02690848
for,0.01332477,0.01333274,0.01333757,0.01334215,0.01336895,0.01336984,0.01337979,0.01337557,0.01332875
is,0.02140194,0.02140798,0.02140119,0.02129752,0.02121443,0.02120078,0.0211132,0.02106104,0.02140496
on,0.00868406,0.00870638,0.00876753,0.00876199,0.008765,0.00875975,0.00871886,0.00870494,0.00869522
that,0.00754632,0.00749705,0.00749608,0.00747337,0.00747072,0.00748393,0.00748526,0.00749069,0.00752169
by,0.01012774,0.01021225,0.0103388,0.01040222,0.01045862,0.01051535,0.01054936,0.01059328,0.01017
this,0.00295082,0.0029222,0.00287771,0.00284197,0.00281289,0.00279359,0.00278607,0.00279116,0.00293651
with,0.00712058,0.00712157,0.00716383,0.00718241,0.00720282,0.00724548,0.00724382,0.00725142,0.00712107
i,0.00063773,0.00063478,0.00062405,0.00061528,0.00061033,0.0006051,0.00060681,0.00059749,0.00063626
you,0.0001876,0.00018021,0.00017287,0.00017118,0.00016362,0.00015257,0.00014725,0.00014249,0.0001839
it,0.00796835,0.00801327,0.00805893,0.00810396,0.00815725,0.00822088,0.00826157,0.00830987,0.00799081
not,0.00204331,0.00202955,0.0020017,0.00197561,0.00197382,0.00198598,0.00197683,0.00195806,0.00203643
or,0.00607471,0.00605156,0.00599693,0.00603025,0.00605335,0.00608508,0.00611966,0.00609312,0.00606313
be,0.00484769,0.00480498,0.00475276,0.00472449,0.00471536,0.00472384,0.00471016,0.00471574,0.00482634
are,0.00511731,0.00510153,0.00502804,0.00502501,0.00500254,0.00502212,0.00499581,0.00499277,0.00510942
from,0.00479183,0.00478517,0.00477185,0.00478226,0.00479247,0.0047919,0.00480071,0.00481343,0.0047885
at,0.00438239,0.00438196,0.00438566,0.00435515,0.00433529,0.00429811,0.00428062,0.00426349,0.00438218
as,0.0106418,0.01068489,0.01074135,0.01081873,0.01087102,0.01094215,0.0109943,0.01102948,0.01066335
your,0.00011285,0.00010651,0.00010363,0.00010007,9.502e-05,8.831e-05,8.612e-05,8.241e-05,0.00010968
all,0.00150923,0.00150191,0.00149143,0.00148618,0.00147657,0.00147376,0.00147093,0.00145536,0.00150557
have,0.00174947,0.00174235,0.00174445,0.00174166,0.00173612,0.00174114,0.00173905,0.00173423,0.00174591
new,0.00153248,0.00151982,0.00151612,0.00150893,0.00150222,0.00149401,0.00146757,0.00146239,0.00152615
