Word,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.07653709,0.0765354,0.07651235,0.07662508,0.07670541,0.07680838,0.07686232,0.07686239,0.07653625
of,0.05138886,0.05153262,0.05159079,0.05158568,0.05154301,0.05155748,0.0515222,0.05144293,0.05146074
and,0.03173423,0.03189148,0.03203642,0.03213268,0.03220315,0.03226129,0.03230714,0.0323868,0.03181286
to,0.02035085,0.02031737,0.02031817,0.02034868,0.02042935,0.0204686,0.02051158,0.02055932,0.02033411
a,0.03651814,0.0365536,0.03651929,0.03650955,0.03656172,0.03661291,0.03672437,0.03672887,0.03653587
in,0.032103,0.0321976,0.03223063,0.03222833,0.0323599,0.0323821,0.03239652,0.03231616,0.0321503
for,0.01138574,0.01141024,0.01143813,0.01144098,0.01146521,0.01146968,0.01147899,0.01150151,0.01139799
is,0.02662886,0.02663705,0.02666129,0.02671208,0.02678599,0.02678862,0.02678349,0.02673737,0.02663295
on,0.00712064,0.0071346,0.00712728,0.00712652,0.00713018,0.00712833,0.00711222,0.00712619,0.00712762
that,0.00895312,0.00886999,0.00885581,0.00888465,0.00890336,0.00894365,0.00895371,0.00896217,0.00891155
by,0.00916479,0.00913226,0.00917013,0.00917995,0.00920561,0.00925761,0.00924597,0.0092712,0.00914853
this,0.00385396,0.00380964,0.00373189,0.00371856,0.00371273,0.00369166,0.00365971,0.00366824,0.0038318
with,0.00672362,0.00672504,0.00677469,0.00678004,0.00679252,0.00682136,0.00683953,0.00686323,0.00672433
i,0.00094193,0.00092403,0.00091201,0.00089813,0.00087789,0.0008605,0.00085041,0.00083144,0.00093298
you,0.00011279,0.00010659,0.00010443,9.34e-05,8.492e-05,8.116e-05,7.929e-05,7.808e-05,0.00010969
it,0.00665063,0.00661048,0.00664339,0.00671111,0.00676162,0.00678869,0.00680452,0.00685393,0.00663055
not,0.00249725,0.00248087,0.00244246,0.00242887,0.0024405,0.00245679,0.00246534,0.00244845,0.00248906
or,0.00657829,0.00652949,0.0065357,0.00659425,0.00665153,0.00670383,0.00675406,0.00677647,0.00655389
be,0.00572947,0.00567763,0.00563326,0.0056533,0.00569342,0.00572354,0.00572013,0.00572979,0.00570355
are,0.00698023,0.00693968,0.00690966,0.00696195,0.00700739,0.00704779,0.00705455,0.00707476,0.00695996
from,0.00498487,0.00500182,0.00498162,0.00496318,0.00497023,0.00495796,0.00493419,0.00491529,0.00499334
at,0.00570678,0.00578527,0.00585617,0.00579381,0.00575174,0.00570115,0.00567647,0.00563456,0.00574603
as,0.01000313,0.01000321,0.01006198,0.01016251,0.01022941,0.01029954,0.01036392,0.01040546,0.01000317
your,3.36e-05,3.357e-05,3.216e-05,2.957e-05,2.701e-05,2.568e-05,2.43e-05,2.499e-05,3.358e-05
all,0.0017854,0.00178218,0.00175765,0.00175527,0.00175497,0.00175717,0.00175952,0.00174963,0.00178379
have,0.00200414,0.00198361,0.00197771,0.00199163,0.00199869,0.00200558,0.00202006,0.00200474,0.00199387
new,0.00107077,0.00106251,0.00106489,0.0010466,0.00102421,0.00100988,0.00100323,0.00099752,0.00106664
more,0.00169209,0.00167874,0.00166156,0.00165636,0.00164917,0.0016608,0.0016553,0.00165647,0.00168542
an,0.00759128,0.00762305,0.0076757,0.00770183,0.00774593,0.00776487,0.00780528,0.00783142,0.00760716
was,0.00784896,0.00795813,0.00806127,0.00809685,0.00817444,0.00820478,0.00822482,0.0082524,0.00790355
we,0.00040686,0.00038732,0.00036847,0.00035057,0.00033376,0.00032875,0.00032089,0.00030366,0.00039709
will,0.00066262,0.00064561,0.00061744,0.00060854,0.0006045,0.00059874,0.00059646,0.00058273,0.00065412
