Word,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.08084879,0.08098402,0.08102084,0.08112267,0.0810887,0.08116627,0.08115428,0.08116198,0.0809164
of,0.05008811,0.05027941,0.05033948,0.05027379,0.05026562,0.05023613,0.05020355,0.05012776,0.05018376
and,0.03357618,0.03380164,0.03399706,0.03409957,0.03423688,0.03431473,0.03442852,0.03453147,0.03368891
to,0.02146313,0.02150863,0.02149929,0.02156142,0.02160671,0.02166585,0.02167114,0.02168193,0.02148588
a,0.03204648,0.03214538,0.03212265,0.03207397,0.03215359,0.03217213,0.03224049,0.03224057,0.03209593
in,0.03167578,0.03187741,0.03195091,0.03198854,0.03199119,0.03203086,0.03202424,0.03206078,0.0317766
for,0.01062638,0.01068364,0.01066581,0.01068961,0.0107125,0.01073406,0.01074309,0.01072522,0.01065501
is,0.02345344,0.02348735,0.02348177,0.02344893,0.02344736,0.02338273,0.0233686,0.02332336,0.02347039
on,0.00682715,0.00686644,0.00687047,0.00685892,0.00684948,0.00684946,0.00681681,0.00683291,0.00684679
that,0.00725153,0.00721927,0.0072414,0.00725822,0.00725086,0.00725158,0.00722861,0.00721801,0.0072354
by,0.00909056,0.00909482,0.00910423,0.00913845,0.00917111,0.00920354,0.00923469,0.00924389,0.00909269
this,0.00390045,0.00383774,0.00379534,0.00375511,0.00372122,0.00371542,0.00368801,0.00367618,0.0038691
with,0.00690369,0.00689525,0.00692557,0.00695976,0.0069724,0.00699932,0.00700329,0.00701789,0.00689947
i,0.00075047,0.00074361,0.00071914,0.00071253,0.00070988,0.00070375,0.00068913,0.00068452,0.00074704
you,8.651e-05,7.592e-05,7.44e-05,7.279e-05,6.951e-05,6.57e-05,5.957e-05,5.755e-05,8.122e-05
it,0.00625852,0.00626999,0.00625789,0.00628321,0.00632646,0.00634838,0.00637653,0.00640649,0.00626425
not,0.00202428,0.00200038,0.00198697,0.00198535,0.00198353,0.001976,0.00196141,0.00194388,0.00201233
or,0.00678186,0.00676707,0.00676198,0.00681953,0.006872,0.00691623,0.00696422,0.00698154,0.00677447
be,0.00510972,0.00507374,0.0050383,0.00504592,0.00503349,0.0050407,0.00501446,0.00499915,0.00509173
are,0.00681877,0.0068066,0.00680893,0.00685764,0.00687629,0.00686728,0.00687206,0.00687531,0.00681269
from,0.00572794,0.00574924,0.00580161,0.00579078,0.00579421,0.0057889,0.00575388,0.00574511,0.00573859
at,0.00670124,0.00676596,0.00684024,0.00681803,0.00678297,0.00673868,0.00669077,0.0066607,0.0067336
as,0.01017913,0.01024484,0.01028737,0.0103387,0.01040186,0.0104891,0.0105564,0.01056837,0.01021198
your,2.717e-05,2.479e-05,2.273e-05,2.162e-05,2.102e-05,2.061e-05,1.964e-05,1.861e-05,2.598e-05
all,0.00121561,0.00121144,0.00120093,0.00120132,0.00119922,0.00120033,0.00118121,0.00117477,0.00121353
have,0.00207206,0.00206156,0.00207081,0.00208748,0.00209552,0.0020928,0.00210299,0.00211458,0.00206681
new,0.00121289,0.00121233,0.0012108,0.00120581,0.0011857,0.00117457,0.0011497,0.00112977,0.00121261
more,0.00156027,0.00155443,0.00154635,0.00154195,0.00154761,0.00155521,0.00155135,0.00155229,0.00155735
an,0.00687403,0.00692919,0.00698196,0.00702185,0.00703912,0.00706351,0.00709846,0.00711697,0.00690161
was,0.00829095,0.00843316,0.00854183,0.00857665,0.00860862,0.00866467,0.00873571,0.00878264,0.00836206
we,0.00021173,0.00020633,0.00019662,0.00018948,0.00017892,0.00017497,0.00016856,0.00016183,0.00020903
will,0.00083516,0.00082579,0.00080019,0.00080031,0.00078947,0.00078405,0.00075495,0.00074315,0.00083048
home,0.0001173,0.00011389,0.00011278,0.00011369,0.00011327,0.00011121,0.00010575,0.00010558,0.00011559
can,0.00324192,0.00324263,0.00323122,0.00324919,0.00327521,0.00328196,0.00329736,0.00331856,0.00324228
us,0.0002731,0.00027221,0.0002708,0.00027619,0.00027781,0.00026428,0.00026331,0.00026156,0.00027266
about,0.00091261,0.00091891,0.00091105,0.00089901,0.00088794,0.00088259,0.00087733,0.00086993,0.00091576
if,0.0008723,0.00086353,0.00084972,0.00084934,0.00085039,0.0008491,0.00084128,0.00083272,0.00086792
page,0.000214,0.00021013,0.00019083,0.00018455,0.00017827,0.00017218,0.00016748,0.00016226,0.00021206
my,3.601e-05,2.97e-05,3.109e-05,3.062e-05,3.196e-05,2.941e-05,2.957e-05,3.115e-05,3.286e-05
has,0.00294731,0.00295613,0.00296406,0.00296636,0.00295814,0.00295392,0.00295334,0.00295315,0.00295172
search,0.00011209,0.0001092,0.00010892,0.00010598,0.00010362,0.00010649,0.00010791,0.00010514,0.00011065
free,0.00042121,0.00041959,0.00041532,0.00041643,0.00041726,0.00042165,0.00041568,0.00041322,0.0004204
but,0.00157024,0.00156069,0.00153906,0.00154452,0.0015474,0.00154856,0.00155545,0.00154018,0.00156547
our,9.692e-05,9.535e-05,9.863e-05,9.784e-05,9.396e-05,8.566e-05,8.396e-05,8.308e-05,9.614e-05
one,0.00246813,0.00246731,0.00245182,0.00244439,0.00242975,0.00241097,0.00241011,0.00240492,0.00246772
other,0.00203968,0.00202382,0.00200949,0.00201982,0.00202451,0.00202753,0.00204127,0.00205487,0.00203175
do,0.00029756,0.00029007,0.00028624,0.00028454,0.00028468,0.00028339,0.000281,0.00028125,0.00029382
no,0.00080799,0.00073669,0.00073844,0.00072494,0.00072618,0.00071964,0.00071675,0.00071178,0.00077234
information,0.00051813,0.00052343,0.0005251,0.00053054,0.00053332,0.00053479,0.00052747,0.00052637,0.00052078
time,0.00159854,0.00160781,0.00160768,0.00160575,0.00161068,0.00160931,0.00159343,0.00159124,0.00160318
they,0.00149641,0.00148901,0.00146831,0.00147323,0.00148411,0.00147814,0.00147516,0.00148436,0.00149271
site,0.00020539,0.0002012,0.00020519,0.00020982,0.00020616,0.00020846,0.00020892,0.00020942,0.0002033
he,0.00536539,0.00542232,0.00543282,0.00537542,0.00528578,0.00523242,0.00515604,0.00511359,0.00539385
up,0.00066442,0.00065362,0.00064281,0.00064187,0.00064402,0.00064171,0.00063301,0.00062373,0.00065902
may,0.00159967,0.0016058,0.00161154,0.00160897,0.00162463,0.00163207,0.0016271,0.00164251,0.00160274
what,0.0002611,0.00025546,0.00025044,0.00024921,0.00024392,0.00024217,0.00023784,0.00023344,0.00025828
which,0.0044958,0.0044831,0.00448254,0.00450253,0.00450403,0.00451686,0.00452066,0.00452102,0.00448945
their,0.00142644,0.00142157,0.00141921,0.00143661,0.00143305,0.00143348,0.00143199,0.00143893,0.001424
news,0.00013112,0.00011969,0.00011235,0.00010983,9.675e-05,8.867e-05,8.892e-05,8.178e-05,0.00012541
out,0.00051224,0.00050624,0.00050237,0.00049864,0.00049749,0.00049443,0.00048863,0.00048657,0.00050924
use,0.00107498,0.00107455,0.00106864,0.00108206,0.00108359,0.00108826,0.00109207,0.0010932,0.00107477
any,0.00071582,0.00071279,0.000717,0.00071724,0.00071781,0.00071985,0.00071395,0.00071287,0.00071431
there,0.00101633,0.00100086,0.00099552,0.00098872,0.00098984,0.00098092,0.00098071,0.00097811,0.00100859
see,0.00048733,0.0004743,0.00045327,0.00043313,0.00041683,0.00041027,0.00039776,0.00038445,0.00048081
only,0.00098032,0.00097607,0.00096315,0.00096195,0.00095508,0.00095687,0.00095718,0.00095366,0.0009782
so,0.0007079,0.00069225,0.00068227,0.00067913,0.0006762,0.00066446,0.00066215,0.00065618,0.00070008
his,0.0030089,0.00303317,0.00300994,0.00298542,0.00293733,0.00291162,0.00289507,0.00288305,0.00302104
when,0.00153015,0.00152474,0.00151462,0.00150684,0.00150406,0.00151979,0.00151185,0.00150794,0.00152745
contact,0.00017075,0.00017128,0.00016874,0.0001685,0.00017076,0.00016982,0.00016964,0.0001694,0.00017102
here,0.00012681,0.00012103,0.00011557,0.00011197,0.00010962,0.0001067,0.00010316,0.00010255,0.00012392
