Word,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.08173048,0.0819364,0.08210997,0.0822708,0.08252331,0.08266674,0.0828059,0.08287756,0.08183344
of,0.04367759,0.04372877,0.04369109,0.04370746,0.04377172,0.04380982,0.04381408,0.04377682,0.04370318
and,0.03664146,0.03680477,0.03685142,0.03690707,0.03698165,0.03705046,0.03712138,0.03715397,0.03672312
to,0.02163529,0.02161994,0.02172087,0.02180602,0.02186607,0.02195711,0.02201557,0.0220444,0.02162762
a,0.02538893,0.02535189,0.02532181,0.02530614,0.02531759,0.02532982,0.02535614,0.02536085,0.02537041
in,0.03260566,0.03271995,0.03270442,0.0327796,0.03291187,0.03299361,0.03310253,0.03317431,0.03266281
for,0.00932073,0.00930568,0.00931086,0.00932063,0.0093319,0.0093358,0.0093509,0.00935706,0.0093132
is,0.01118501,0.01107671,0.0110074,0.01091484,0.01083773,0.01075836,0.0106898,0.01062052,0.01113086
on,0.00835579,0.00838704,0.00842694,0.00844622,0.00847096,0.00847227,0.00848066,0.00848798,0.00837142
that,0.00691255,0.00689926,0.00695027,0.00699177,0.00701736,0.00707211,0.00709447,0.00711227,0.00690591
by,0.01005338,0.01010607,0.01012851,0.01014157,0.01016513,0.01016719,0.0102014,0.0102236,0.01007973
this,0.00339272,0.00336585,0.0033447,0.00334799,0.00335523,0.00335226,0.00335171,0.00334682,0.00337929
with,0.00857794,0.00859797,0.00859814,0.00864346,0.00866212,0.00868968,0.00871588,0.00873911,0.00858795
i,0.00143666,0.00141216,0.00137371,0.00135903,0.00135994,0.00135318,0.00133995,0.00133967,0.00142441
you,0.00058761,0.00057474,0.00055489,0.00054321,0.00053368,0.00052548,0.0005181,0.00051716,0.00058117
it,0.00555152,0.00556614,0.00558441,0.00558515,0.00559341,0.0055915,0.00559732,0.00559519,0.00555883
not,0.00214823,0.00213009,0.00212667,0.00212266,0.00212256,0.00212026,0.0021157,0.0021139,0.00213916
or,0.00409956,0.00402809,0.00395379,0.00393908,0.00394266,0.00392861,0.00391552,0.00390742,0.00406383
be,0.00340772,0.00335362,0.00333325,0.00334212,0.00334006,0.00333901,0.00332779,0.00332125,0.00338067
are,0.00439453,0.00433047,0.00428232,0.00425636,0.00424712,0.00423569,0.0042207,0.00419349,0.0043625
from,0.00619348,0.00623493,0.00627297,0.00629015,0.00632053,0.00634537,0.00636938,0.00638659,0.00621421
at,0.0056858,0.00572591,0.00574361,0.00575656,0.00576918,0.00577066,0.0057843,0.00579349,0.00570586
as,0.01031815,0.01031404,0.01033851,0.01037155,0.0104196,0.0104625,0.01050959,0.01052921,0.0103161
your,0.00017635,0.00017277,0.00016728,0.00016398,0.00016177,0.00015951,0.00015654,0.00015472,0.00017456
all,0.00148449,0.00146246,0.00146334,0.00145204,0.00143735,0.00143096,0.00141827,0.00140964,0.00147348
have,0.00225134,0.0022275,0.00221262,0.0022132,0.00221304,0.00221518,0.00221415,0.0022155,0.00223942
new,0.00296684,0.00296426,0.0029519,0.0029316,0.00290818,0.00289948,0.00287745,0.00287184,0.00296555
more,0.00160211,0.00158432,0.00157923,0.00158121,0.00158787,0.00159138,0.00159007,0.0015865,0.00159321
an,0.00488994,0.00488834,0.00491643,0.00492563,0.00493089,0.00494119,0.00494354,0.00494682,0.00488914
was,0.01076242,0.0108776,0.01094406,0.01102781,0.01110522,0.01117301,0.01124877,0.01130482,0.01082001
we,0.00040629,0.00040164,0.00039913,0.00039499,0.0003895,0.00038631,0.00038064,0.00038103,0.00040396
will,0.00065162,0.00063399,0.00063368,0.00063227,0.00061657,0.00061049,0.00059659,0.00058694,0.0006428
home,0.00037776,0.00037991,0.0003773,0.00037659,0.00037507,0.00037328,0.00037329,0.0003722,0.00037884
can,0.00143491,0.00141471,0.00142265,0.00141392,0.00141342,0.00141029,0.00140742,0.00140167,0.00142481
us,0.00035116,0.00035514,0.00034423,0.00034903,0.00034545,0.00034499,0.00034273,0.00034131,0.00035315
about,0.00106018,0.00105742,0.00106158,0.00105984,0.00105172,0.00104955,0.00104459,0.00103932,0.0010588
if,0.00051888,0.0005101,0.00050917,0.00050545,0.00050532,0.00050447,0.00050193,0.00049961,0.00051449
page,0.00028434,0.00027248,0.00025925,0.00025267,0.00024436,0.0002408,0.00023661,0.00023317,0.00027841
my,0.00036016,0.00035598,0.0003454,0.00034227,0.00034259,0.00034342,0.00033704,0.00033668,0.00035807
has,0.00269204,0.00267142,0.00266929,0.00264432,0.00262468,0.00260892,0.0025966,0.00257954,0.00268173
search,7.694e-05,7.603e-05,7.555e-05,7.309e-05,7.155e-05,7.027e-05,7.133e-05,7.062e-05,7.648e-05
free,0.00026023,0.00025541,0.00025446,0.00025568,0.00025351,0.00025388,0.00025428,0.00025391,0.00025782
but,0.00207944,0.00206736,0.00207278,0.00207605,0.00207452,0.0020742,0.00207039,0.00206723,0.0020734
our,0.0002243,0.00022137,0.00022112,0.00022066,0.00021598,0.00021446,0.00021155,0.00020982,0.00022284
one,0.00252283,0.00250887,0.00250019,0.00249879,0.00249399,0.00249047,0.0024845,0.00247303,0.00251585
other,0.00196993,0.00195743,0.00195164,0.00195216,0.0019548,0.00195671,0.0019564,0.00195445,0.00196368
do,0.00040051,0.00039434,0.00038774,0.00038298,0.00038217,0.00037935,0.00037676,0.00037384,0.00039743
no,0.00112618,0.00112618,0.00111871,0.0011254,0.00112053,0.00112333,0.00112417,0.00112098,0.00112618
information,0.00023745,0.00023122,0.00023073,0.00022923,0.00022768,0.00022611,0.0002233,0.00022172,0.00023434
time,0.0015156,0.00151345,0.00151571,0.00151693,0.00151926,0.00152045,0.00152145,0.00152008,0.00151453
they,0.00194382,0.00194065,0.00196213,0.00196233,0.00196284,0.00196556,0.0019684,0.00197159,0.00194224
site,0.00031548,0.00031484,0.0003162,0.00031644,0.00031702,0.00031838,0.0003186,0.00031671,0.00031516
he,0.00519624,0.00521002,0.00517571,0.0051518,0.00514088,0.00514186,0.00514029,0.0051506,0.00520313
up,0.00099109,0.00098241,0.00098491,0.00098321,0.00097693,0.00097163,0.00096759,0.00096153,0.00098675
may,0.00133734,0.00132182,0.00131016,0.0013083,0.00130636,0.00130916,0.00130497,0.00130748,0.00132958
what,0.00056501,0.00055605,0.00055316,0.00054981,0.0005469,0.00054721,0.00054339,0.00054189,0.00056053
which,0.00377503,0.00377404,0.00376998,0.00378038,0.00380081,0.00381501,0.00382455,0.00382477,0.00377453
their,0.0024276,0.00242099,0.00245227,0.00246323,0.00246958,0.00247793,0.00249297,0.00249679,0.00242429
news,0.00022664,0.00022267,0.00021468,0.00021344,0.00019483,0.00018741,0.00018294,0.00018077,0.00022466
out,0.0008867,0.000883,0.00088857,0.00088329,0.00087819,0.00087869,0.0008771,0.0008726,0.00088485
use,0.00089309,0.00088424,0.00086965,0.00086791,0.00086902,0.00086915,0.00087276,0.0008719,0.00088867
any,0.00047899,0.00047069,0.00046832,0.00046391,0.00046191,0.00046037,0.00045603,0.00045315,0.00047484
there,0.00125331,0.00124767,0.00124147,0.00123477,0.00123383,0.00122985,0.00122597,0.00122041,0.00125049
see,0.00045182,0.00043859,0.00042441,0.00041184,0.00039971,0.00039367,0.00038519,0.00037992,0.00044521
only,0.00106603,0.00106139,0.00105458,0.00104941,0.00104947,0.0010469,0.00104288,0.00103903,0.00106371
so,0.00072492,0.00071535,0.00070836,0.00070486,0.00070017,0.00069527,0.00068964,0.0006848,0.00072014
his,0.00576174,0.00576975,0.00571502,0.00570382,0.00569443,0.00569672,0.00572213,0.0057389,0.00576574
when,0.001364,0.00135282,0.00134875,0.00134326,0.00134007,0.0013354,0.00133861,0.00133493,0.00135841
contact,6.497e-05,6.551e-05,6.496e-05,6.483e-05,6.568e-05,6.603e-05,6.586e-05,6.589e-05,6.524e-05
here,0.00019756,0.00019569,0.00019264,0.00018997,0.00019045,0.00018877,0.00018614,0.00018411,0.00019662
business,0.00020168,0.00019975,0.00019858,0.00019747,0.00019558,0.00019378,0.00019281,0.00019198,0.00020072
who,0.00201452,0.00201964,0.00202677,0.00203232,0.00203231,0.00203681,0.00204581,0.00205105,0.00201708
web,0.00012855,0.00012476,0.00012138,0.0001191,0.00011388,0.00010433,0.00010297,9.945e-05,0.00012665
also,0.00302472,0.00302366,0.00304683,0.00305135,0.00306434,0.0030712,0.00307396,0.00307125,0.00302419
now,0.00060173,0.00060609,0.00060587,0.00060344,0.00060118,0.00059919,0.00059591,0.00059083,0.00060391
help,0.00018178,0.0001817,0.00018615,0.00018621,0.00018608,0.00018607,0.00018568,0.00018401,0.00018174
get,0.00018368,0.00018054,0.00018123,0.00017824,0.00017509,0.00017371,0.00017046,0.00016836,0.00018211
pm,1.393e-05,1.405e-05,1.426e-05,1.465e-05,1.367e-05,1.383e-05,1.392e-05,1.268e-05,1.399e-05
view,0.00021546,0.00021282,0.00021135,0.00020917,0.00020683,0.00020376,0.00020136,0.00020077,0.00021414
online,0.00023612,0.00024312,0.00023964,0.00023782,0.00023958,0.00023404,0.00023002,0.00022897,0.00023962
c,0.0006551,0.00065529,0.00064092,0.00062877,0.00062456,0.00061614,0.00059442,0.00059117,0.0006552
e,0.000667,0.00065952,0.0006475,0.00063791,0.00063108,0.00062102,0.0006146,0.00061019,0.00066326
first,0.00227884,0.00228244,0.00227974,0.00229117,0.0023027,0.00230038,0.00230612,0.00230566,0.00228064
am,0.0001062,0.00010538,0.00010589,0.00010699,0.0001063,0.00010421,0.00010226,0.00010131,0.00010579
been,0.00191371,0.00190611,0.00189842,0.00190234,0.00190443,0.0019028,0.00190764,0.00190587,0.00190991
would,0.0009339,0.00093547,0.00093996,0.00094796,0.0009552,0.00096762,0.00097633,0.00098273,0.00093468
