Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.07100286,0.07112989,0.07129021,0.07140489,0.0714978,0.07155632,0.07106638
of,0.03484184,0.034851,0.03490326,0.03491863,0.03492053,0.03488171,0.03484642
and,0.03205493,0.0320848,0.03219237,0.03228244,0.03235383,0.03238722,0.03206987
to,0.02636942,0.0264572,0.02652785,0.02659796,0.02663665,0.02664091,0.02641331
a,0.02765499,0.02763701,0.02763385,0.02764013,0.02764583,0.02766232,0.027646
in,0.02524721,0.0253745,0.02551469,0.02564581,0.02577153,0.02587784,0.02531086
for,0.01263876,0.01265634,0.01266849,0.01269283,0.01272733,0.01275594,0.01264755
is,0.01489193,0.01476891,0.01463813,0.01454721,0.01445435,0.01435696,0.01483042
on,0.00904462,0.00908939,0.0091172,0.00915179,0.00915428,0.00916797,0.009067
that,0.00931258,0.00936627,0.00939445,0.00942344,0.0094337,0.00943918,0.00933943
by,0.00837916,0.00839569,0.00842432,0.00845159,0.00846938,0.00848356,0.00838743
this,0.0043063,0.00429509,0.00427398,0.00425472,0.00425,0.00424379,0.0043007
with,0.00831441,0.0083624,0.00841939,0.00846594,0.00850292,0.00853488,0.00833841
i,0.00104784,0.00104279,0.0010326,0.00101813,0.00101263,0.00100231,0.00104532
you,0.00037053,0.00035691,0.00034327,0.00033652,0.00032503,0.00031705,0.00036372
it,0.00639059,0.00639151,0.00641298,0.00642426,0.00642685,0.00642758,0.00639105
not,0.00296191,0.00295901,0.00295059,0.00295325,0.00294886,0.00294057,0.00296046
or,0.00517018,0.00513971,0.00511947,0.00511253,0.00510252,0.00508145,0.00515494
be,0.00609948,0.00608592,0.00606357,0.00606636,0.00604886,0.00602425,0.0060927
are,0.00558806,0.00555869,0.00551806,0.00549666,0.00546592,0.00543184,0.00557338
from,0.00505541,0.00508155,0.00509989,0.00511446,0.00512097,0.00513706,0.00506848
at,0.00427235,0.00426373,0.00426686,0.00426003,0.00426304,0.00427483,0.00426804
as,0.01006317,0.01010996,0.01015033,0.01019248,0.01022209,0.01023746,0.01008656
your,0.00015746,0.0001507,0.00014466,0.00014103,0.00013404,0.00013151,0.00015408
all,0.00197956,0.00197049,0.00196149,0.00195958,0.001949,0.00193628,0.00197503
have,0.00230833,0.00230879,0.00229865,0.00229406,0.00228893,0.00228102,0.00230856
new,0.00196891,0.00196885,0.0019671,0.00196483,0.00195712,0.00195752,0.00196888
more,0.0018625,0.00186245,0.00186364,0.00186862,0.00186426,0.00186062,0.00186248
an,0.00579504,0.00579697,0.00581131,0.00582193,0.00582063,0.00581857,0.005796
was,0.00817182,0.00825459,0.00836943,0.00846401,0.00856514,0.00864608,0.0082132
we,0.00060497,0.00059832,0.00059194,0.00058537,0.0005772,0.00057235,0.00060165
will,0.00121786,0.00119462,0.00116983,0.00116025,0.00113234,0.00111607,0.00120624
home,0.00031475,0.0003131,0.00031771,0.00031374,0.00031202,0.00031065,0.00031393
can,0.00386074,0.00385293,0.00383467,0.00382898,0.00382471,0.00381447,0.00385684
us,0.00039445,0.00040064,0.000399,0.00039279,0.00039414,0.00039479,0.00039755
about,0.00087969,0.0008835,0.00088093,0.00087894,0.00087814,0.00087508,0.00088159
if,0.00164016,0.00163263,0.00161916,0.00161459,0.00160737,0.00160102,0.0016364
page,0.00035378,0.00034747,0.00034031,0.00033401,0.00033238,0.00032716,0.00035063
my,9.151e-05,9.08e-05,9.031e-05,8.976e-05,9.007e-05,8.893e-05,9.115e-05
has,0.00297347,0.00295797,0.00294235,0.00292289,0.00290422,0.00288673,0.00296572
search,0.00046147,0.00045598,0.00045272,0.00045115,0.00044918,0.00044678,0.00045872
free,0.00060691,0.00060079,0.00059527,0.00059198,0.0005883,0.00058628,0.00060385
but,0.00198646,0.00198375,0.00199059,0.00199137,0.0019868,0.00198059,0.00198511
our,0.00013866,0.00013655,0.00013423,0.00013336,0.00013041,0.00012847,0.00013761
one,0.00268293,0.00268153,0.00267751,0.00267371,0.00266229,0.00265763,0.00268223
other,0.00223819,0.00223664,0.00223418,0.00223303,0.00222774,0.00222174,0.00223741
do,0.00053342,0.00053081,0.00052489,0.0005235,0.00051979,0.00051688,0.00053212
no,0.00105262,0.00105137,0.00104293,0.00103821,0.00103238,0.00102867,0.001052
information,0.00143703,0.00143279,0.00142659,0.00141805,0.0014103,0.00140193,0.00143491
time,0.00198987,0.00199232,0.00199104,0.00198793,0.00199395,0.00199104,0.0019911
they,0.0018047,0.00181631,0.00181436,0.00182388,0.00182216,0.00182093,0.00181051
site,0.00038345,0.0003816,0.00037478,0.00036955,0.00036427,0.00035894,0.00038252
he,0.00241567,0.00242753,0.00242764,0.00243329,0.00244101,0.00244311,0.0024216
up,0.00111807,0.00111446,0.00111389,0.00111087,0.00110695,0.00110349,0.00111626
may,0.00164631,0.00164311,0.00163263,0.00163705,0.00163549,0.00163401,0.00164471
what,0.00046292,0.000459,0.00045383,0.00045029,0.00044429,0.00043846,0.00046096
which,0.00414081,0.00413595,0.00413804,0.0041494,0.00415458,0.00414688,0.00413838
their,0.00216674,0.00218645,0.00219911,0.00220839,0.00221656,0.00221759,0.00217659
news,0.00037032,0.00036841,0.00035013,0.0003415,0.00033642,0.00033304,0.00036936
out,0.00082765,0.00082574,0.00082608,0.00082127,0.00081406,0.00080911,0.0008267
use,0.0017288,0.00173174,0.0017277,0.00173151,0.0017278,0.00171992,0.00173027
any,0.00108016,0.00107115,0.00106305,0.00105855,0.00105031,0.00104177,0.00107566
there,0.0012928,0.00128543,0.00127835,0.00127247,0.00126537,0.00125574,0.00128911
see,0.00039886,0.00039226,0.00038427,0.0003779,0.00037175,0.00036404,0.00039556
only,0.00149399,0.00148775,0.00148624,0.00148182,0.00147675,0.00146936,0.00149087
so,0.00087182,0.00086512,0.00086072,0.00085674,0.00084622,0.00083659,0.00086847
his,0.00182829,0.00183345,0.00184506,0.00184711,0.00184857,0.00184625,0.00183087
when,0.00153562,0.00153106,0.00153187,0.00153357,0.00152917,0.00152448,0.00153334
contact,8.318e-05,8.336e-05,8.344e-05,8.195e-05,8.239e-05,8.137e-05,8.327e-05
here,0.00015279,0.0001503,0.00014772,0.00014672,0.00014536,0.00014379,0.00015155
business,0.00054189,0.00053694,0.00052919,0.00052357,0.00051929,0.00051654,0.00053941
who,0.00100786,0.00101512,0.0010208,0.00102888,0.00103143,0.00103438,0.00101149
web,0.00080139,0.00079108,0.00077789,0.00075183,0.00074002,0.00072684,0.00079623
also,0.00302413,0.00302585,0.00303306,0.00303459,0.00303009,0.00302452,0.00302499
now,0.00049421,0.00048966,0.00048306,0.00047572,0.00046763,0.00046231,0.00049193
help,0.00026692,0.0002689,0.00026802,0.00026838,0.00026631,0.000263,0.00026791
get,0.00023337,0.00023004,0.00022669,0.00022524,0.00022084,0.00021815,0.00023171
pm,1.636e-05,1.67e-05,1.621e-05,1.569e-05,1.539e-05,1.559e-05,1.653e-05
view,0.00023865,0.00023557,0.00023257,0.00022982,0.00022986,0.00022881,0.00023711
online,0.00067788,0.00067847,0.00067702,0.00067303,0.00067111,0.00066961,0.00067818
c,0.00085304,0.00083656,0.00082823,0.00081757,0.00080955,0.00080313,0.0008448
e,0.00105529,0.00104777,0.00104186,0.00102956,0.00102252,0.00101453,0.00105153
first,0.00203358,0.00204282,0.00205073,0.002053,0.00205482,0.00205577,0.0020382
am,4.183e-05,4.175e-05,4.153e-05,4.093e-05,4.026e-05,4.032e-05,4.179e-05
been,0.00161408,0.00161931,0.00162242,0.00162439,0.00162126,0.00162253,0.0016167
would,0.00119941,0.00121197,0.0012235,0.00123832,0.00124791,0.00125488,0.00120569
how,0.00049123,0.00049239,0.00049007,0.00048936,0.00048715,0.00048581,0.00049181
were,0.00221707,0.00223644,0.00227429,0.00230194,0.00232263,0.00234362,0.00222675
me,8.063e-05,8.079e-05,8.018e-05,7.989e-05,7.886e-05,7.818e-05,8.071e-05
s,0.00670076,0.00671836,0.00674597,0.00676214,0.00676848,0.00678226,0.00670956
services,0.0006349,0.00063292,0.0006288,0.00062699,0.00062424,0.00062494,0.00063391
some,0.00152585,0.00152175,0.0015194,0.00151511,0.00151149,0.00150632,0.0015238
