Word,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.08090375,0.08100688,0.08105733,0.08119882,0.08138234,0.08156987,0.08170829,0.08178966,0.08095531
of,0.0472272,0.04733398,0.04741492,0.04742554,0.04749074,0.04756641,0.04758591,0.04759074,0.04728059
and,0.02968963,0.02988739,0.03001756,0.03006861,0.03015688,0.03020166,0.03024937,0.03030151,0.02978851
to,0.0231707,0.02320875,0.02325647,0.02331926,0.02338843,0.02344244,0.0235238,0.02356817,0.02318973
a,0.03171893,0.0316032,0.03146678,0.03148395,0.03142651,0.03140979,0.03137851,0.03135931,0.03166107
in,0.02786974,0.0280797,0.02824143,0.02829378,0.02837623,0.02844267,0.02850658,0.02854284,0.02797472
for,0.01181502,0.01185454,0.01189959,0.01194772,0.01199904,0.01203451,0.01206681,0.01211412,0.01183478
is,0.02271231,0.02248935,0.02234641,0.02240902,0.02240763,0.02240918,0.02237714,0.02232964,0.02260083
on,0.00747141,0.00750643,0.00754018,0.00758324,0.00761354,0.00763465,0.00763944,0.00766037,0.00748892
that,0.01075765,0.01070926,0.01069855,0.01075906,0.01080461,0.01084199,0.01085877,0.01086141,0.01073345
by,0.00883014,0.00885557,0.00885799,0.00886299,0.00887428,0.00889451,0.00891897,0.00893539,0.00884286
this,0.0057048,0.00565939,0.00561952,0.00563089,0.00562587,0.00562072,0.00562744,0.0056278,0.00568209
with,0.00776896,0.00782717,0.00787325,0.00791188,0.00795721,0.00800446,0.00805595,0.00808557,0.00779806
i,0.00151916,0.00149803,0.00147636,0.00145411,0.00142144,0.0014023,0.00138664,0.00136442,0.0015086
you,0.00024682,0.0002376,0.00023051,0.00022059,0.00021405,0.00020731,0.00019733,0.00019374,0.00024221
it,0.00588666,0.00583188,0.00580695,0.00580726,0.00581062,0.00581835,0.00581107,0.00581686,0.00585927
not,0.00343532,0.00341556,0.00338988,0.00339226,0.00339759,0.00340859,0.00341961,0.0034137,0.00342544
or,0.00518925,0.00513523,0.00509354,0.00507831,0.00508042,0.00508595,0.00508164,0.00507562,0.00516224
be,0.00733581,0.0072729,0.00722857,0.00724979,0.00726259,0.00728061,0.00729124,0.00729819,0.00730436
are,0.00728941,0.00721611,0.00716006,0.00717301,0.00717947,0.00718513,0.00718184,0.00716716,0.00725276
from,0.00498065,0.0050209,0.00505684,0.0050644,0.00507989,0.00509483,0.00510504,0.00511311,0.00500077
at,0.00491793,0.00499547,0.00505899,0.00505078,0.00505354,0.00505478,0.00505102,0.00505073,0.0049567
as,0.00994894,0.00995481,0.00997809,0.01001316,0.01005461,0.01009664,0.01013869,0.01016309,0.00995187
your,7.038e-05,6.871e-05,6.704e-05,6.374e-05,6.161e-05,6.081e-05,5.715e-05,5.647e-05,6.954e-05
all,0.0023663,0.00235138,0.00233887,0.00234915,0.00234855,0.0023489,0.00235091,0.00234284,0.00235884
have,0.0024899,0.00246984,0.00246091,0.00246972,0.00247261,0.00247796,0.00248044,0.00247014,0.00247987
new,0.00129721,0.00129549,0.00130494,0.001294,0.00128732,0.00127618,0.00126788,0.00126695,0.00129635
more,0.0018144,0.0018033,0.00179361,0.00178935,0.00179086,0.00179263,0.0017897,0.00178721,0.00180885
an,0.00634382,0.00633976,0.00634191,0.00635447,0.00636538,0.006376,0.00638494,0.00639106,0.00634179
was,0.00620881,0.00637128,0.00648553,0.00651768,0.00657205,0.00660049,0.00664571,0.00669157,0.00629005
we,0.00136473,0.00133435,0.00131987,0.00130335,0.00128128,0.00127424,0.00126252,0.00125202,0.00134954
will,0.00109519,0.00107647,0.00105742,0.00104768,0.00103522,0.00102932,0.00101905,0.00100733,0.00108583
home,0.00013402,0.00013373,0.00013275,0.00013358,0.00013275,0.00013206,0.00013101,0.00012994,0.00013387
can,0.00410865,0.00407538,0.0040574,0.00408585,0.00409789,0.00412047,0.00414398,0.00415876,0.00409202
us,0.00027704,0.00027804,0.00027974,0.00028576,0.00028919,0.0002885,0.00028689,0.00028394,0.00027754
about,0.00084298,0.00083759,0.00083625,0.00083185,0.00082836,0.00082224,0.00082244,0.00082005,0.00084029
if,0.00318489,0.00315459,0.00313201,0.00317079,0.00318494,0.00318728,0.0031843,0.00317799,0.00316974
page,0.00024287,0.00023295,0.00022615,0.00022092,0.00021414,0.00020916,0.00020316,0.00019836,0.00023791
my,8.224e-05,8.127e-05,8.032e-05,8.013e-05,8.043e-05,8.066e-05,7.907e-05,7.849e-05,8.176e-05
has,0.00295875,0.00295395,0.00294944,0.00295161,0.00294841,0.0029518,0.00294474,0.00294093,0.00295635
search,0.00021688,0.00021427,0.00021431,0.00021398,0.00021271,0.00021246,0.00021069,0.00021019,0.00021557
free,0.00043764,0.00043729,0.00043595,0.0004366,0.00043416,0.00043235,0.00042919,0.0004306,0.00043747
but,0.00210864,0.00208969,0.00207568,0.00207192,0.00207354,0.00207348,0.00207164,0.00206423,0.00209917
our,0.00018523,0.0001814,0.00017892,0.0001735,0.00016934,0.00016564,0.00016272,0.00016098,0.00018331
one,0.00344221,0.00341929,0.00340094,0.00341078,0.00340073,0.00339144,0.00338413,0.00337305,0.00343075
