Word,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.0775972,0.07765634,0.077719,0.07780897,0.07789719,0.07802919,0.07807022,0.07807831,0.07762677
of,0.04980784,0.04979982,0.04974886,0.04968706,0.04970106,0.04970468,0.04963245,0.04957355,0.04980383
and,0.03592363,0.03601643,0.03603558,0.03605363,0.03607838,0.0361168,0.03619205,0.03624458,0.03597003
to,0.02621164,0.02624265,0.0263289,0.02640026,0.02651785,0.02658358,0.02663849,0.02665108,0.02622715
a,0.02566444,0.02566888,0.02563538,0.02562881,0.02561578,0.02562634,0.02564806,0.02565131,0.02566666
in,0.03043785,0.03052462,0.03049431,0.03057085,0.03068826,0.03078223,0.03086709,0.03091822,0.03048123
for,0.00909394,0.0091251,0.00912321,0.00913805,0.00914746,0.00916994,0.00919481,0.0092009,0.00910952
is,0.0147716,0.01463585,0.01457627,0.01451017,0.01449897,0.01446282,0.01438744,0.01432338,0.01470373
on,0.00748464,0.00752938,0.00755847,0.00757853,0.00760185,0.00763148,0.00765445,0.00767629,0.00750701
that,0.0124218,0.01243824,0.01250774,0.01255676,0.01265149,0.01269682,0.01272728,0.01274912,0.01243002
by,0.00851256,0.0085206,0.00850477,0.0085217,0.00852558,0.00853788,0.00855027,0.00856626,0.00851658
this,0.00455605,0.00452384,0.00451592,0.00450349,0.00452986,0.0045313,0.004538,0.0045407,0.00453995
with,0.00724491,0.00726661,0.00727496,0.00730944,0.00733101,0.00736688,0.00740652,0.00743315,0.00725576
i,0.00158398,0.00156659,0.00154772,0.00154541,0.00153511,0.00151463,0.00149516,0.00147617,0.00157529
you,0.00052822,0.00051777,0.00051029,0.00050289,0.00049414,0.00047893,0.00046548,0.00046029,0.000523
it,0.00588186,0.005854,0.00586895,0.00586503,0.00586527,0.00586564,0.00585582,0.00586386,0.00586793
not,0.00406296,0.00403875,0.00401853,0.00401886,0.00403254,0.00402712,0.00401818,0.00400958,0.00405085
or,0.00524131,0.00519097,0.00515768,0.00514852,0.00514533,0.00513479,0.0051169,0.00510166,0.00521614
be,0.00525757,0.00522824,0.00520617,0.00519769,0.00519731,0.00519673,0.00518286,0.00515988,0.0052429
are,0.00513695,0.00510057,0.00508964,0.00509954,0.00511887,0.00510849,0.00510422,0.00509896,0.00511876
from,0.00536488,0.00537026,0.00540807,0.00541878,0.00543462,0.0054388,0.00545092,0.00546318,0.00536757
at,0.00439847,0.00440795,0.00438958,0.00437222,0.00436491,0.00436151,0.00435908,0.00435366,0.00440321
as,0.01142634,0.01144324,0.01150742,0.01153478,0.01158717,0.01163953,0.01168919,0.01172759,0.01143479
your,0.00016894,0.00016779,0.00016576,0.00016071,0.00015662,0.00015206,0.00014694,0.00014642,0.00016836
