Word,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.0847917,0.08485284,0.08486958,0.08508452,0.08523826,0.08539644,0.08556968,0.08565998,0.08482227
of,0.03124326,0.03119819,0.0311081,0.03112029,0.03112195,0.03114183,0.03113111,0.03112874,0.03122072
and,0.0298654,0.02990411,0.0299347,0.02998572,0.03001343,0.03003934,0.0300928,0.03013693,0.02988475
to,0.0238875,0.02388107,0.02381578,0.02394674,0.0240241,0.02405466,0.02412274,0.02416876,0.02388428
a,0.02563243,0.02555603,0.02546695,0.02541121,0.0253954,0.02537203,0.02544816,0.02545654,0.02559423
in,0.03435244,0.03462758,0.03498357,0.03504638,0.03517614,0.03544646,0.03553998,0.03564083,0.03449001
for,0.01107336,0.01110356,0.01114182,0.01116156,0.01116396,0.01120121,0.01122357,0.01126455,0.01108846
is,0.01070758,0.01054227,0.01039785,0.01022744,0.01005996,0.00993581,0.00982408,0.00970542,0.01062493
on,0.00894807,0.00897719,0.00900456,0.00905394,0.00910384,0.00912807,0.00914311,0.00916084,0.00896263
that,0.00642036,0.00642642,0.00641531,0.00643075,0.00643241,0.00641905,0.00643079,0.00642694,0.00642339
by,0.00774598,0.00775986,0.00775953,0.0077681,0.00778297,0.00779356,0.0077964,0.00780729,0.00775292
this,0.00298743,0.00296134,0.00292246,0.00291075,0.00288428,0.00286086,0.00285122,0.00284124,0.00297438
with,0.00838858,0.0084324,0.00845936,0.008503,0.00855158,0.00856725,0.00860556,0.00865254,0.00841049
i,0.00087641,0.00086135,0.0008614,0.00085819,0.00085449,0.00084927,0.00084681,0.00084525,0.00086888
you,0.00029194,0.00028648,0.00028581,0.00027642,0.00027262,0.00026743,0.00026445,0.00025737,0.00028921
it,0.00487302,0.00485543,0.00484756,0.00483243,0.00480995,0.0047902,0.00478061,0.00477633,0.00486422
not,0.00270927,0.00268605,0.00266259,0.00264238,0.00263557,0.00263166,0.0026292,0.00262539,0.00269766
or,0.00395682,0.00389743,0.00382415,0.0037857,0.00374782,0.00372002,0.00371381,0.00369732,0.00392713
be,0.00338355,0.00335524,0.00332416,0.00331192,0.00328837,0.00327635,0.00325732,0.00324283,0.00336939
are,0.00423132,0.00417208,0.00410916,0.00405643,0.00401656,0.00398149,0.0039363,0.00388895,0.0042017
from,0.00544826,0.00545379,0.00547504,0.00549617,0.00551577,0.00553176,0.00554923,0.00556706,0.00545102
at,0.00732725,0.00736885,0.00740809,0.00742736,0.0074517,0.00749048,0.00751841,0.00751809,0.00734805
as,0.00886665,0.00886386,0.00888029,0.0089075,0.00895612,0.00899548,0.00902983,0.00906734,0.00886525
your,0.00012701,0.00012163,0.00011839,0.00011292,0.00010948,0.00010568,0.00010324,9.856e-05,0.00012432
all,0.00215831,0.00215207,0.00214508,0.00214075,0.00213758,0.00213351,0.002126,0.00211451,0.00215519
have,0.00241813,0.00240838,0.00237484,0.00236798,0.00234782,0.00233943,0.00233268,0.00232342,0.00241326
new,0.00218298,0.00217308,0.00216606,0.00215882,0.00214738,0.00215513,0.00214845,0.00214602,0.00217803
more,0.0014802,0.00146655,0.00145674,0.00145104,0.00144205,0.00143678,0.00143453,0.00142655,0.00147338
an,0.00421548,0.00422062,0.00421997,0.00422437,0.00422303,0.00422209,0.00424108,0.00424807,0.00421805
was,0.01156954,0.01170642,0.01177565,0.01192556,0.01206068,0.01214939,0.0122179,0.01228444,0.01163798
we,0.00022561,0.00022781,0.00022586,0.00022545,0.00022624,0.00022461,0.0002255,0.00022296,0.00022671
will,0.00096095,0.00094626,0.00093923,0.00090927,0.00087685,0.00085146,0.00083186,0.00081137,0.0009536
home,0.00081021,0.00080226,0.00081321,0.00081799,0.00081176,0.00081215,0.00081705,0.00081403,0.00080623
can,0.00129457,0.00127698,0.00125357,0.00124401,0.00123195,0.00122353,0.00121953,0.00121308,0.00128578
us,0.00037466,0.00039194,0.00039375,0.00039994,0.00039756,0.00039251,0.0003977,0.00039399,0.0003833
about,0.00071014,0.00070943,0.00070292,0.0006957,0.000691,0.00068067,0.00067866,0.00067621,0.00070978
if,0.00097331,0.00096162,0.00094805,0.00094108,0.00093259,0.00092082,0.00092077,0.00091354,0.00096747
page,0.00020334,0.0002145,0.0002133,0.00020188,0.00018653,0.00018393,0.00017387,0.00017159,0.00020892
my,0.00015155,0.00014941,0.00015093,0.00015088,0.00014874,0.00014762,0.00014574,0.00014501,0.00015048
has,0.00268282,0.00266508,0.00264885,0.00261951,0.00259521,0.00256785,0.00255419,0.00254046,0.00267395
search,4.18e-05,4.11e-05,4.032e-05,3.792e-05,3.624e-05,3.546e-05,3.591e-05,3.487e-05,4.145e-05
free,0.00031733,0.00031949,0.00032804,0.00033013,0.00033285,0.00033391,0.00033942,0.00033943,0.00031841
but,0.00230745,0.00230024,0.00227607,0.00228184,0.00227651,0.00226651,0.00226111,0.00224858,0.00230384
our,9.177e-05,9.023e-05,8.82e-05,8.765e-05,8.629e-05,8.451e-05,8.395e-05,8.344e-05,9.1e-05
one,0.00293305,0.00292029,0.0028985,0.0028907,0.00287923,0.00286926,0.00286523,0.00285911,0.00292667
other,0.00174301,0.00172286,0.001706,0.00170164,0.00169276,0.00168485,0.00167715,0.00166873,0.00173294
do,0.00041922,0.00041253,0.00040837,0.00040605,0.00040137,0.00039884,0.00039756,0.00039349,0.00041588
no,0.00113088,0.00112523,0.00112767,0.0011307,0.00115083,0.00115106,0.00114818,0.00113902,0.00112805
information,0.00012487,0.00012299,0.00011843,0.00011737,0.00011514,0.0001123,0.00010969,0.00010854,0.00012393
time,0.00213163,0.00212833,0.0021185,0.00212964,0.00214206,0.00215154,0.00216264,0.00217048,0.00212998
they,0.00216995,0.00217057,0.00218747,0.00219512,0.00218743,0.00218911,0.0021967,0.00218733,0.00217026
site,0.00018251,0.00018038,0.00017799,0.000176,0.00017268,0.00016983,0.00016721,0.00016635,0.00018145
he,0.0059588,0.00598054,0.00596017,0.00596332,0.00596859,0.00597697,0.00595783,0.00595323,0.00596967
up,0.00146284,0.0014557,0.00146862,0.00146462,0.0014583,0.00145477,0.00145658,0.00144616,0.00145927
may,0.00157201,0.00157035,0.00155479,0.00154767,0.00155235,0.00155974,0.00156511,0.00155831,0.00157118
what,0.00031639,0.0003126,0.00031084,0.0003073,0.00030453,0.00029938,0.00029895,0.00029603,0.0003145
which,0.0030788,0.00307472,0.00306183,0.00306225,0.00307729,0.00309417,0.00310792,0.00311833,0.00307676
their,0.00272551,0.00274846,0.00277777,0.00280832,0.00281768,0.00283587,0.00286946,0.00288524,0.00273698
news,0.00029904,0.00027942,0.00027198,0.00026666,0.00022956,0.0002108,0.00020884,0.00019988,0.00028923
out,0.00134855,0.00134441,0.00133958,0.0013404,0.00133392,0.00132399,0.00132499,0.00131454,0.00134648
use,0.00084322,0.0008322,0.00081969,0.00081493,0.00081236,0.00080922,0.00080989,0.00080808,0.00083771
any,0.00071291,0.00070977,0.00070284,0.00070116,0.00070009,0.00069862,0.00069962,0.0006989,0.00071134
there,0.00130451,0.00129706,0.0012842,0.00127818,0.00126616,0.00125911,0.00124879,0.00123541,0.00130079
see,0.00033999,0.00032821,0.00032419,0.00031202,0.00030181,0.00028639,0.00028443,0.00028084,0.0003341
only,0.00151879,0.00150352,0.00149655,0.00149558,0.00149552,0.00148497,0.00147175,0.00147165,0.00151115
so,0.00068717,0.00068199,0.00067285,0.00066811,0.00066053,0.0006552,0.00065089,0.00064523,0.00068458
his,0.00513387,0.00513157,0.00507378,0.00507467,0.00508548,0.00508154,0.00506504,0.00507109,0.00513272
when,0.00183036,0.00181471,0.00179575,0.00179115,0.00178255,0.0017728,0.00177815,0.00176871,0.00182254
contact,0.00013451,0.0001306,0.0001288,0.0001296,0.00012845,0.00012811,0.00012591,0.0001266,0.00013256
here,0.00010247,0.00010397,0.00010254,9.86e-05,9.677e-05,9.654e-05,9.289e-05,8.865e-05,0.00010322
business,0.0001582,0.00015872,0.00015919,0.00015688,0.00015605,0.00015532,0.00015309,0.00015173,0.00015846
who,0.00203826,0.00204261,0.00203972,0.0020447,0.0020525,0.00205071,0.00206012,0.0020595,0.00204044
web,5.813e-05,5.705e-05,5.967e-05,5.979e-05,5.63e-05,4.845e-05,4.894e-05,4.425e-05,5.759e-05
also,0.00293979,0.00293041,0.00292941,0.00293412,0.00293851,0.00292941,0.00294675,0.00295158,0.0029351
now,0.00051577,0.00050867,0.00049919,0.00048848,0.00047887,0.00047105,0.00046529,0.00045898,0.00051222
help,0.00019166,0.00019246,0.00019209,0.00019217,0.0001912,0.00019233,0.00019273,0.00019064,0.00019206
get,0.00025982,0.00025466,0.00025129,0.00024948,0.0002449,0.00024052,0.00023958,0.00023758,0.00025724
pm,2.579e-05,2.467e-05,2.499e-05,2.446e-05,2.327e-05,2.199e-05,2.205e-05,2.191e-05,2.523e-05
view,9.761e-05,9.636e-05,9.467e-05,9.326e-05,8.844e-05,8.599e-05,8.594e-05,8.521e-05,9.699e-05
online,0.00010056,9.823e-05,9.829e-05,9.829e-05,0.00010054,0.00010105,0.00010075,0.00010022,9.94e-05
