Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.08153117,0.08163519,0.08173425,0.08184454,0.08186718,0.08185329,0.08158318
of,0.04578131,0.04574702,0.04570689,0.04571301,0.0456955,0.04562359,0.04576416
and,0.03994775,0.04006428,0.04015539,0.04028716,0.04042459,0.04050218,0.04000601
to,0.01813062,0.0181351,0.01816854,0.01822623,0.01820247,0.01820295,0.01813286
a,0.02895887,0.02900912,0.02907828,0.029107,0.02910869,0.02911885,0.02898399
in,0.03598896,0.03594707,0.03602628,0.03612112,0.03615707,0.0361597,0.03596801
for,0.00915104,0.00913962,0.00916474,0.00915484,0.00913993,0.00914624,0.00914533
is,0.01873892,0.0187305,0.01871871,0.01873076,0.01869406,0.01865391,0.01873471
on,0.00834821,0.00834653,0.00837111,0.0083888,0.00838857,0.00835539,0.00834737
that,0.00505735,0.00503522,0.00505439,0.00507962,0.00506597,0.00507763,0.00504629
by,0.01221311,0.01227993,0.01229873,0.01233946,0.01240011,0.01241966,0.01224652
this,0.00257589,0.00255133,0.00253666,0.00251459,0.00248626,0.00247586,0.00256361
with,0.00737976,0.00740682,0.00742654,0.00743555,0.00744201,0.00744912,0.00739329
i,0.00082396,0.00080643,0.00079899,0.00079135,0.00077518,0.00077331,0.0008152
you,0.00028933,0.00028506,0.00027776,0.00027372,0.00026735,0.0002632,0.0002872
it,0.00776157,0.0078031,0.00786185,0.00791316,0.0079713,0.00797877,0.00778233
not,0.00152154,0.00152158,0.00150921,0.00150822,0.0014993,0.00149199,0.00152156
or,0.00537845,0.00542082,0.00547148,0.00549136,0.00549334,0.00551159,0.00539963
be,0.00275339,0.00275276,0.00277048,0.00275026,0.00273251,0.00272984,0.00275307
are,0.00451704,0.004511,0.00451887,0.00451711,0.00450962,0.00451035,0.00451402
from,0.0064296,0.00643402,0.00649733,0.00651892,0.00653875,0.00655407,0.00643181
at,0.0054908,0.00543879,0.00541361,0.00537434,0.00533116,0.00531713,0.00546479
as,0.01070613,0.01078558,0.01089134,0.01097644,0.01105,0.01109879,0.01074585
your,8.928e-05,9.057e-05,9.056e-05,8.938e-05,8.713e-05,8.267e-05,8.993e-05
all,0.00116565,0.00115609,0.00115053,0.00114081,0.00112822,0.00112008,0.00116087
have,0.00203309,0.00203779,0.00203276,0.00204291,0.00203869,0.0020363,0.00203544
new,0.00270156,0.00268069,0.00262401,0.00259698,0.00257322,0.00256667,0.00269112
more,0.00133729,0.00132104,0.00133398,0.00133932,0.00133153,0.00133715,0.00132917
an,0.00655527,0.00656943,0.00659521,0.00664133,0.00665024,0.00667852,0.00656235
was,0.01273585,0.01279596,0.01286604,0.01296335,0.01306109,0.0131179,0.01276591
we,0.00018762,0.00018613,0.00017988,0.00017679,0.00017246,0.00015973,0.00018688
will,0.0003621,0.0003566,0.00034421,0.00034371,0.00032688,0.00031746,0.00035935
home,0.00032465,0.00031816,0.00031402,0.00030979,0.00031029,0.00031005,0.0003214
can,0.00117434,0.00117584,0.00118286,0.00118012,0.00117873,0.00118285,0.00117509
us,0.00025915,0.00025748,0.00025829,0.00025433,0.0002549,0.00024981,0.00025831
about,0.00095904,0.00093971,0.00093439,0.00092256,0.00091499,0.00090934,0.00094937
if,0.00027974,0.00027528,0.00027508,0.00027713,0.0002724,0.0002688,0.00027751
page,0.00032802,0.00032492,0.00031313,0.000308,0.00030343,0.00030354,0.00032647
my,0.00018709,0.00017652,0.00017452,0.0001741,0.00017084,0.00017348,0.0001818
has,0.00333666,0.00331399,0.003301,0.0032801,0.00328092,0.00326401,0.00332533
search,6.798e-05,6.673e-05,6.323e-05,6.067e-05,5.845e-05,5.843e-05,6.736e-05
