Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.09641297,0.0965019,0.09666532,0.09664828,0.09659114,0.096593,0.09645744
of,0.0406454,0.04051335,0.04037659,0.04024444,0.04013213,0.04004145,0.04057938
and,0.03841968,0.03855101,0.0387157,0.03892911,0.03903534,0.03914077,0.03848534
to,0.02214367,0.02219944,0.02222535,0.02222384,0.02227226,0.02228171,0.02217156
a,0.02489308,0.02477129,0.02475721,0.02476493,0.02481534,0.02483079,0.02483218
in,0.03472391,0.03481722,0.03488519,0.03496618,0.03509125,0.03508117,0.03477057
for,0.00874722,0.0087541,0.00879996,0.00881046,0.00880511,0.00880293,0.00875066
is,0.01125189,0.01102346,0.01088068,0.01076352,0.010685,0.01065044,0.01113767
on,0.01050007,0.01046729,0.01040518,0.01036797,0.0103392,0.01032429,0.01048368
that,0.00496906,0.00494769,0.00490283,0.00488084,0.00487735,0.00487883,0.00495838
by,0.01211324,0.01210097,0.01210467,0.01211742,0.01213148,0.01214275,0.0121071
this,0.00184191,0.00179526,0.00176456,0.00173439,0.0017249,0.00171587,0.00181858
with,0.00797414,0.00805249,0.00812846,0.00820078,0.00823082,0.00824365,0.00801332
i,0.00110547,0.00111116,0.00109306,0.00109009,0.00107767,0.0010735,0.00110831
you,0.00024069,0.0002342,0.0002319,0.00022957,0.00022663,0.00022577,0.00023745
it,0.00858487,0.00854686,0.00857094,0.00859501,0.00863082,0.00861908,0.00856586
not,0.00152855,0.00150792,0.00150118,0.00148958,0.00147729,0.00147246,0.00151824
or,0.00250771,0.00248821,0.00246274,0.0024391,0.0024306,0.00242222,0.00249796
be,0.00213807,0.00209913,0.0020696,0.00205636,0.00204657,0.00203357,0.0021186
are,0.00271297,0.00269918,0.00269253,0.0027016,0.00271088,0.00271547,0.00270607
from,0.0065964,0.00662781,0.00667815,0.00669671,0.00668931,0.00669122,0.00661211
at,0.00530246,0.00529957,0.00529176,0.00527375,0.00525359,0.00524524,0.00530102
as,0.01098185,0.01106459,0.01109031,0.0111551,0.01121214,0.01123287,0.01102322
your,7.875e-05,7.636e-05,7.64e-05,7.508e-05,7.499e-05,7.428e-05,7.755e-05
all,0.0013407,0.00133611,0.00131056,0.00130611,0.00129929,0.00129633,0.0013384
have,0.00198847,0.0020023,0.00199972,0.00201985,0.00202411,0.00204221,0.00199538
new,0.00239819,0.00239158,0.00237578,0.00239225,0.00239626,0.00239115,0.00239489
more,0.00116742,0.00118556,0.00117561,0.00117759,0.00117586,0.00117388,0.00117649
an,0.00459031,0.00458733,0.00458628,0.00458748,0.00459875,0.00460103,0.00458882
was,0.01746266,0.01756153,0.0175596,0.01752063,0.01750349,0.01748727,0.01751209
we,8.097e-05,8.207e-05,7.928e-05,7.79e-05,7.443e-05,7.372e-05,8.152e-05
will,0.00028057,0.00026411,0.00024841,0.00023691,0.00022905,0.0002243,0.00027234
home,0.00044332,0.00044321,0.00043826,0.00043562,0.00043211,0.00043242,0.00044326
can,0.0006662,0.00065969,0.00065096,0.0006556,0.00065763,0.00066204,0.00066295
us,0.00096276,0.00100587,0.00100226,0.00100409,0.00099618,0.00099022,0.00098431
about,0.00085669,0.00085295,0.00083851,0.00083718,0.00083563,0.00082843,0.00085482
if,0.00022328,0.00022298,0.0002223,0.00021979,0.00021735,0.00021363,0.00022313
page,7.186e-05,6.75e-05,6.45e-05,6.116e-05,5.698e-05,5.571e-05,6.968e-05
my,0.00015931,0.0001543,0.00014993,0.00014941,0.00014942,0.00014763,0.0001568
has,0.00272168,0.00271867,0.00271691,0.00273736,0.00276786,0.00279599,0.00272018
search,6.174e-05,6.357e-05,6.085e-05,6.229e-05,6.255e-05,6.159e-05,6.266e-05
free,0.00018279,0.00018382,0.00018986,0.00018893,0.00019081,0.000189,0.00018331
but,0.00216095,0.00216722,0.00217249,0.00217622,0.00216852,0.00216539,0.00216409
our,3.664e-05,3.424e-05,3.225e-05,3.048e-05,2.877e-05,2.85e-05,3.544e-05
one,0.00279212,0.0027842,0.00277719,0.00278139,0.00277399,0.00276694,0.00278816
other,0.00172127,0.00172047,0.00172194,0.00173007,0.00174328,0.0017429,0.00172087
do,0.00018016,0.00017831,0.00017239,0.00016653,0.00016445,0.00016436,0.00017924
no,0.00119211,0.00116253,0.00113356,0.00111305,0.00111071,0.00110163,0.00117732
information,9.555e-05,9.092e-05,8.811e-05,8.769e-05,9.002e-05,8.788e-05,9.323e-05
time,0.00147774,0.00148431,0.0014674,0.00147603,0.00147767,0.00147466,0.00148102
they,0.00170062,0.00171437,0.00171772,0.00171332,0.00171544,0.00171036,0.00170749
site,0.00033705,0.000345,0.00035168,0.00035264,0.0003599,0.00035759,0.00034103
he,0.00253828,0.00252029,0.00254817,0.00254824,0.00255292,0.00256544,0.00252929
up,0.00092531,0.00091396,0.00090128,0.00089608,0.00088612,0.00088432,0.00091964
may,0.00129292,0.00129144,0.00128061,0.00127356,0.00126217,0.00125753,0.00129218
what,0.00027531,0.00027691,0.00027432,0.00027022,0.00027415,0.00026824,0.00027611
which,0.00365751,0.0036592,0.0036898,0.00369986,0.00369704,0.00371083,0.00365836
their,0.00236115,0.00239256,0.00241648,0.00241144,0.00242132,0.00240071,0.00237685
news,0.00010668,0.00010195,9.118e-05,9.39e-05,0.00010858,0.0001116,0.00010432
out,0.00069919,0.00068232,0.00067995,0.00068552,0.00068918,0.0006887,0.00069076
use,0.00056721,0.00056798,0.00056688,0.00056753,0.00057095,0.00057159,0.00056759
any,0.00036782,0.00035838,0.0003536,0.00035132,0.00034524,0.00034306,0.0003631
there,0.00081681,0.00080808,0.00079993,0.00080124,0.00080556,0.00080655,0.00081244
see,0.0001496,0.00014052,0.00013111,0.00012626,0.00012176,0.00011858,0.00014506
only,0.00114717,0.00113616,0.00113299,0.00112716,0.00112481,0.00112406,0.00114167
so,0.00032773,0.00031686,0.00031271,0.00030334,0.00029976,0.00029894,0.0003223
his,0.00353079,0.00355096,0.00359304,0.00361425,0.00361593,0.00363067,0.00354087
when,0.00137794,0.00138393,0.00137986,0.00137686,0.00137985,0.00137428,0.00138094
contact,4.17e-05,4.054e-05,3.935e-05,3.933e-05,3.972e-05,3.824e-05,4.112e-05
here,5.87e-05,5.53e-05,5.836e-05,5.683e-05,5.643e-05,5.534e-05,5.7e-05
