Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.08327704,0.08337362,0.08313877,0.08290363,0.08337659,0.08318513,0.08332533
of,0.03860482,0.0386735,0.03855629,0.03840353,0.03854186,0.03855601,0.03863916
and,0.03162327,0.03176061,0.03196251,0.03198694,0.03234806,0.0324869,0.03169194
to,0.01886556,0.01867205,0.01868237,0.01859371,0.01868444,0.01858217,0.0187688
a,0.02620711,0.02625769,0.02616981,0.02595839,0.02593234,0.02585155,0.0262324
in,0.03305922,0.0331021,0.03297292,0.03309104,0.03296229,0.03310896,0.03308066
for,0.00836896,0.00839134,0.008365,0.00844078,0.00840106,0.00835799,0.00838015
is,0.02121162,0.02121805,0.02111378,0.02108594,0.02096303,0.02110632,0.02121484
on,0.00823143,0.00829869,0.00832072,0.00830876,0.00829011,0.00833805,0.00826506
that,0.00686829,0.00683232,0.006787,0.00684063,0.00680407,0.00676295,0.00685031
by,0.00748312,0.00746479,0.00739888,0.00742868,0.00737867,0.00743287,0.00747396
this,0.00389527,0.00383109,0.00372359,0.00375235,0.00368934,0.00367257,0.00386318
with,0.00515324,0.00509604,0.00515667,0.00516848,0.00529029,0.00524368,0.00512464
i,0.00073618,0.00074527,0.00076887,0.00079207,0.00082029,0.00078954,0.00074073
you,0.00026292,0.00028602,0.00026568,0.00027603,0.00025362,0.00024324,0.00027447
it,0.01376895,0.01361629,0.01369074,0.01366526,0.01370324,0.01380504,0.01369262
not,0.00304988,0.00303345,0.00302315,0.00306428,0.00302359,0.00293885,0.00304166
or,0.00422695,0.00423797,0.00418653,0.00419239,0.00412128,0.00410722,0.00423246
be,0.00323999,0.00322682,0.00315197,0.00312429,0.00309888,0.00301861,0.0032334
are,0.00715144,0.00713848,0.00720968,0.00722466,0.00704976,0.00713779,0.00714496
from,0.00657706,0.00658658,0.00664611,0.00672862,0.00681596,0.00675099,0.00658182
at,0.00418246,0.00414934,0.00410602,0.00409238,0.00402617,0.00410722,0.0041659
as,0.00764896,0.00774679,0.00768469,0.00772471,0.00779476,0.00795524,0.00769787
your,8.09e-05,8.863e-05,7.648e-05,9.201e-05,9.511e-05,9.171e-05,8.476e-05
all,0.00179595,0.00176851,0.0017833,0.00176816,0.00175154,0.00173859,0.00178223
have,0.00327235,0.0032671,0.00330897,0.00334431,0.00329702,0.0032778,0.00326973
new,0.00198202,0.0019941,0.0019886,0.00196018,0.00190609,0.00193797,0.00198806
more,0.00180808,0.00181282,0.00180745,0.00181217,0.00183476,0.00184625,0.00181045
an,0.00500358,0.00494699,0.00498358,0.00506847,0.00502082,0.00510013,0.00497528
was,0.0191123,0.01885333,0.01883534,0.01890974,0.01897769,0.01896498,0.01898282
we,0.00023865,0.00024171,0.00024556,0.00023202,0.00022588,0.00022331,0.00024018
will,0.00058652,0.00059219,0.00059175,0.00057205,0.00059045,0.0005782,0.00058935
home,0.0004773,0.00050356,0.00046696,0.00047204,0.00043987,0.0004506,0.00049043
can,0.00198606,0.00199007,0.00202483,0.00204419,0.00205668,0.0020576,0.00198806
us,0.00038022,0.00037465,0.00040255,0.00038804,0.00040024,0.00039477,0.00037744
