Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.077283,0.07739613,0.07746253,0.07752232,0.07761942,0.077579,0.07733956
of,0.04626522,0.04623531,0.04626579,0.04626805,0.04624176,0.04617788,0.04625026
and,0.03514756,0.03521761,0.03530328,0.03536737,0.03540779,0.03547821,0.03518259
to,0.02599339,0.02610086,0.02619788,0.02628518,0.02635476,0.02638626,0.02604713
a,0.02669484,0.02662131,0.02659502,0.02660777,0.02659308,0.02655312,0.02665807
in,0.03263273,0.03269498,0.03277278,0.03285387,0.03292127,0.03299712,0.03266385
for,0.0109354,0.01096931,0.01100244,0.01101564,0.01102786,0.01103715,0.01095236
is,0.01982152,0.01971439,0.01961982,0.01959222,0.01954336,0.01948281,0.01976795
on,0.00627646,0.00630327,0.0063127,0.00631226,0.00629874,0.00628603,0.00628987
that,0.0083252,0.00836411,0.00838162,0.00839397,0.00841795,0.00840869,0.00834465
by,0.00893382,0.00895,0.00897464,0.00899346,0.00900646,0.0090075,0.00894191
this,0.0048741,0.0048713,0.00486297,0.00485876,0.00487032,0.00487191,0.0048727
with,0.00906359,0.00909981,0.00912008,0.00915659,0.00918225,0.00921084,0.0090817
i,0.0007971,0.00079218,0.00078493,0.00078048,0.00077299,0.000769,0.00079464
you,9.079e-05,8.924e-05,8.455e-05,8.238e-05,7.838e-05,7.693e-05,9.002e-05
it,0.00645908,0.00643763,0.00641606,0.00641618,0.00643099,0.00645586,0.00644835
not,0.00280858,0.00280059,0.00279407,0.00279266,0.00279823,0.00279594,0.00280459
or,0.00642496,0.00641329,0.00641051,0.00640538,0.00640781,0.00640073,0.00641913
be,0.00641514,0.0064174,0.00641254,0.00641829,0.00640423,0.00638406,0.00641627
are,0.0083126,0.00830903,0.00831313,0.00830804,0.0083094,0.00829585,0.00831081
from,0.00627928,0.00629206,0.00630136,0.00630149,0.00631288,0.00631764,0.00628567
at,0.00522089,0.00522975,0.00523414,0.00524047,0.00523197,0.00523457,0.00522532
