Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.09301046,0.0930893,0.09329836,0.09341388,0.09350533,0.09356513,0.09304988
of,0.03893249,0.03881147,0.03875571,0.03867565,0.03862767,0.03856525,0.03887198
and,0.03480702,0.03482668,0.03484112,0.03484187,0.03488599,0.03489885,0.03481685
to,0.02755806,0.02760005,0.0276058,0.02761729,0.02765452,0.02767668,0.02757905
a,0.0246113,0.02462242,0.02466554,0.0247225,0.02477633,0.02480571,0.02461686
in,0.02920274,0.02924846,0.02933659,0.02940775,0.02946264,0.02949589,0.0292256
for,0.00945232,0.00947888,0.00952281,0.00955646,0.00958573,0.00959935,0.0094656
is,0.00774385,0.00764253,0.00756685,0.00751296,0.00747647,0.00743272,0.00769319
on,0.01127603,0.01131771,0.01132943,0.01132557,0.011309,0.01130246,0.01129687
that,0.00911304,0.00913549,0.00912586,0.00913876,0.0091555,0.00917369,0.00912426
by,0.00925044,0.00927143,0.00928003,0.00929247,0.00930753,0.00932061,0.00926094
this,0.0030579,0.003031,0.00299953,0.0029823,0.00297819,0.00296765,0.00304445
with,0.00902363,0.00906567,0.00911656,0.00915393,0.00917799,0.00919579,0.00904465
i,0.00143925,0.00143155,0.00142132,0.00140401,0.00138776,0.00137895,0.0014354
you,0.00052423,0.00052083,0.00051843,0.00051202,0.00050721,0.00050372,0.00052253
it,0.0065071,0.00649505,0.00650629,0.0065028,0.00650172,0.00649836,0.00650108
not,0.00262647,0.00260884,0.00259886,0.00259282,0.00259049,0.00258623,0.00261765
or,0.0025032,0.00247874,0.00245608,0.00243906,0.00243142,0.00242541,0.00249097
be,0.00341664,0.00339873,0.00337819,0.00337495,0.00336589,0.00335619,0.00340768
are,0.00312547,0.00309661,0.00307948,0.00307896,0.00308479,0.00306909,0.00311104
from,0.00649043,0.00651023,0.00652812,0.00652621,0.00652906,0.00653624,0.00650033
at,0.0064283,0.00644188,0.00644902,0.00644996,0.00644972,0.00644686,0.00643509
as,0.01004348,0.01008215,0.01012799,0.01016164,0.01019501,0.01021769,0.01006281
your,0.00014024,0.0001381,0.00013791,0.00013613,0.00013461,0.00013363,0.00013917
all,0.001653,0.0016421,0.0016288,0.00162612,0.0016175,0.00161006,0.00164755
have,0.00227386,0.00227881,0.00226948,0.00227041,0.00227282,0.00227716,0.00227633
new,0.00231585,0.00232585,0.00233108,0.00235429,0.00236535,0.00237102,0.00232085
more,0.00157923,0.00158255,0.00158151,0.00158224,0.00158466,0.00158531,0.00158089
an,0.00441822,0.00442729,0.00442948,0.0044381,0.004449,0.00444958,0.00442276
was,0.01455584,0.0146336,0.01469032,0.01471265,0.01472785,0.01476216,0.01459472
we,0.00045035,0.00044518,0.00043987,0.00043643,0.00042816,0.0004242,0.00044777
will,0.00055572,0.00053573,0.00051706,0.00050491,0.00048993,0.00048221,0.00054572
home,0.00043283,0.00043325,0.00043153,0.00042743,0.00042334,0.00042176,0.00043304
can,0.00099028,0.00097815,0.00096832,0.00096605,0.00096859,0.00096405,0.00098422
us,0.0006901,0.00070646,0.00069845,0.00069183,0.00068638,0.00068377,0.00069828
about,0.00125788,0.00125731,0.00125374,0.0012468,0.00124197,0.00124141,0.0012576
if,0.00062245,0.00061671,0.00060957,0.0006043,0.00060207,0.00059901,0.00061958
page,0.00013571,0.00013054,0.00012347,0.00011993,0.00011683,0.00011285,0.00013312
my,0.00026907,0.00026666,0.00026566,0.00026457,0.00026178,0.00026029,0.00026786
has,0.00209439,0.0020748,0.00205323,0.00203594,0.00203072,0.00202393,0.00208459
search,8.61e-05,8.518e-05,8.245e-05,8.175e-05,8.125e-05,8.106e-05,8.564e-05
free,0.00022711,0.0002272,0.00022856,0.00022685,0.00022871,0.00022924,0.00022715
but,0.00274511,0.00273432,0.00274398,0.00274039,0.00274032,0.00273665,0.00273972
our,0.00014164,0.00013895,0.00013787,0.00013551,0.00013357,0.00013217,0.00014029
one,0.00258757,0.00257349,0.00257295,0.00257381,0.00257206,0.00257145,0.00258053
other,0.00180356,0.00180137,0.00180089,0.00180356,0.00181018,0.00181517,0.00180247
do,0.00037504,0.00036985,0.00036599,0.000362,0.00036037,0.0003578,0.00037245
no,0.00118402,0.00117286,0.00116269,0.00115925,0.00115755,0.0011558,0.00117844
information,0.00015358,0.00015075,0.00014796,0.00014638,0.00014636,0.00014479,0.00015217
time,0.00180076,0.00180302,0.00180409,0.00180557,0.00180269,0.00179806,0.00180189
they,0.0024792,0.00247072,0.00246123,0.00245235,0.00245322,0.00244944,0.00247496
site,0.00029942,0.00030347,0.00031063,0.00031597,0.00032166,0.00032312,0.00030145
he,0.00405043,0.0040173,0.00402734,0.00400327,0.00398371,0.00398738,0.00403386
up,0.00131513,0.00130298,0.00129409,0.00128619,0.00127922,0.00127341,0.00130905
may,0.00131948,0.00132065,0.00131539,0.00131339,0.00131336,0.00131176,0.00132007
what,0.00048642,0.00048546,0.00048359,0.00048028,0.00047797,0.00047532,0.00048594
which,0.0038988,0.00391416,0.00392377,0.00394447,0.003954,0.00395539,0.00390648
their,0.00284429,0.00285228,0.00286049,0.00287114,0.00287421,0.00287309,0.00284828
news,0.0002217,0.00021939,0.00021032,0.00020769,0.00020629,0.00020402,0.00022054
out,0.00124722,0.00122968,0.00122132,0.00121235,0.00120435,0.00120025,0.00123845
use,0.00064621,0.00064613,0.00064468,0.00064462,0.00064565,0.00064449,0.00064617
any,0.00058349,0.00057735,0.00056972,0.00056831,0.00056398,0.0005615,0.00058042
there,0.00130707,0.00130114,0.0012959,0.00129707,0.00129993,0.00130175,0.0013041
see,0.00027704,0.00026882,0.00026288,0.00025514,0.00025066,0.00024749,0.00027293
only,0.00134346,0.00133107,0.00132337,0.00131748,0.00131227,0.001307,0.00133727
so,0.00074013,0.00073026,0.0007213,0.00071439,0.00070835,0.00070307,0.0007352
his,0.00450209,0.004478,0.00449313,0.00447877,0.00445992,0.00446345,0.00449004
when,0.00170569,0.00170147,0.00169014,0.00167916,0.00167526,0.00167106,0.00170358
contact,8.446e-05,8.295e-05,8.129e-05,8.042e-05,7.882e-05,7.791e-05,8.37e-05
here,0.0001308,0.00012934,0.00012682,0.00012392,0.00012228,0.00012093,0.00013007
business,0.0001645,0.00016416,0.00016149,0.00016079,0.00016052,0.0001599,0.00016433
who,0.0020467,0.00203714,0.0020395,0.00203298,0.0020272,0.00202555,0.00204192
web,3.905e-05,3.828e-05,3.589e-05,3.373e-05,3.293e-05,3.179e-05,3.866e-05
also,0.00271605,0.00271561,0.00271486,0.00272292,0.00272352,0.0027212,0.00271583
now,0.00049281,0.0004853,0.00047513,0.00046681,0.00045788,0.00045096,0.00048905
help,0.00020499,0.00020203,0.00019962,0.00019872,0.00019692,0.00019567,0.00020351
get,0.00022231,0.00021652,0.00021268,0.0002112,0.00020774,0.00020646,0.00021941
pm,3.026e-05,2.834e-05,3.044e-05,3.004e-05,2.956e-05,2.925e-05,2.93e-05
view,0.00014031,0.00013913,0.0001401,0.00013968,0.0001401,0.00013997,0.00013972
online,0.00011223,0.00011061,0.00011007,0.00010958,0.00010921,0.00010806,0.00011142
c,0.0003945,0.00038388,0.00037192,0.00036515,0.00036013,0.00035618,0.00038919
e,0.00031317,0.00030777,0.00030296,0.00030021,0.00029818,0.00029401,0.00031047
first,0.00269339,0.00270088,0.00271806,0.00271486,0.00271997,0.00272049,0.00269713
am,9.007e-05,8.768e-05,8.71e-05,8.55e-05,8.483e-05,8.493e-05,8.888e-05
been,0.00208299,0.00208744,0.00207943,0.00207967,0.00208438,0.00208666,0.00208521
would,0.00172514,0.00173592,0.00174031,0.00175541,0.00175936,0.00176596,0.00173053
how,0.00030385,0.00030435,0.00030501,0.00030524,0.00030769,0.00031085,0.0003041
were,0.00530714,0.00536371,0.00538106,0.00539582,0.00540235,0.00541525,0.00533542
me,0.00025311,0.00025169,0.00025242,0.0002494,0.0002466,0.00024497,0.0002524
s,0.00998389,0.01002575,0.01010154,0.01016654,0.01022329,0.01025684,0.01000482
services,0.00016921,0.00016841,0.00016701,0.0001675,0.00016715,0.00016819,0.00016881
some,0.0012313,0.00123245,0.0012315,0.00123123,0.00123288,0.00123283,0.00123187
these,0.00100003,0.00100135,0.00099908,0.00100345,0.00101124,0.0010124,0.00100069
click,7.34e-06,6.84e-06,6.75e-06,6.98e-06,6.93e-06,6.93e-06,7.09e-06
its,0.0028322,0.00285216,0.00286256,0.00288377,0.00290418,0.00291652,0.00284218
like,0.00069828,0.0006995,0.00069884,0.00069831,0.00070357,0.00070682,0.00069889
service,0.00045887,0.00046552,0.0004644,0.00046606,0.00046645,0.00046873,0.00046219
x,0.00016288,0.00016361,0.00016544,0.00016368,0.00016295,0.00016165,0.00016325
than,0.00122812,0.00122862,0.0012274,0.0012297,0.00123402,0.00123299,0.00122837
find,0.00015855,0.00015566,0.0001525,0.00015034,0.00014923,0.00014815,0.0001571
price,7.343e-05,7.498e-05,7.436e-05,7.439e-05,7.453e-05,7.41e-05,7.421e-05
date,0.00016798,0.00016813,0.00016722,0.00016479,0.00016409,0.000162,0.00016806
back,0.00061792,0.00060945,0.00060727,0.00060181,0.0006004,0.00059845,0.00061368
top,0.00048766,0.00048208,0.0004845,0.00048354,0.00047913,0.0004756,0.00048487
people,0.00072813,0.0007274,0.00072222,0.00071946,0.00071378,0.00071439,0.00072777
had,0.0037156,0.00374431,0.00377243,0.00380676,0.00383256,0.0038506,0.00372996
list,0.00020662,0.00020656,0.00020873,0.00021068,0.00020639,0.00020648,0.00020659
name,0.00051797,0.00051178,0.0005113,0.00050879,0.00050703,0.0005077,0.00051487
just,0.00047308,0.00047037,0.00046765,0.00046412,0.00046029,0.00045691,0.00047172
over,0.0015003,0.00150006,0.00150139,0.00150129,0.00150218,0.00150016,0.00150018
state,0.00088386,0.00088018,0.00087368,0.00087883,0.00087938,0.0008788,0.00088202
year,0.00099582,0.00100635,0.00101653,0.00103025,0.00104238,0.00104525,0.00100109
day,0.00085556,0.00085287,0.00084758,0.0008405,0.0008361,0.000835,0.00085421
into,0.00187803,0.00187176,0.00186769,0.00186125,0.00185754,0.00185746,0.0018749
email,6.17e-06,5.95e-06,6.02e-06,5.95e-06,5.91e-06,5.85e-06,6.06e-06
two,0.0024695,0.00248294,0.00249722,0.00250014,0.00250323,0.0025027,0.00247622
health,0.00013109,0.00013221,0.00013147,0.00013153,0.00013,0.00012968,0.00013165
n,0.00014939,0.00014476,0.00013531,0.00013153,0.00012967,0.00012756,0.00014707
world,0.00101371,0.00100929,0.00101188,0.00100682,0.00100095,0.00099953,0.0010115
re,0.00030982,0.00030611,0.00030429,0.00030178,0.00029981,0.00029893,0.00030796
next,0.00045324,0.0004539,0.0004605,0.00046975,0.00047476,0.00047427,0.00045357
used,0.0010865,0.00108818,0.00108566,0.00108219,0.00108336,0.00108097,0.00108734
go,0.00022231,0.00021972,0.00021701,0.00021512,0.00021371,0.00021175,0.00022101
b,0.00037313,0.00036943,0.000363,0.00036155,0.00035162,0.00035044,0.00037128
work,0.00062442,0.00062978,0.00063516,0.00063618,0.00063786,0.00064097,0.0006271
last,0.00044605,0.0004415,0.00043982,0.00043698,0.00043341,0.00043242,0.00044377
most,0.00127348,0.00126989,0.00126671,0.00126622,0.00126081,0.00125846,0.00127169
products,6.419e-05,6.352e-05,6.283e-05,6.191e-05,6.213e-05,6.153e-05,6.386e-05
music,0.00079431,0.00080437,0.00081817,0.0008198,0.00081837,0.00081359,0.00079934
buy,3.905e-05,3.927e-05,3.955e-05,4.074e-05,4.189e-05,4.248e-05,3.916e-05
data,0.00011107,0.00011031,0.00011203,0.00010944,0.00010826,0.00010808,0.00011069
make,0.00042562,0.00042357,0.00042357,0.00042214,0.00041902,0.00041736,0.00042459
them,0.00095807,0.00095337,0.00095223,0.0009488,0.00094757,0.0009457,0.00095572
should,0.00024487,0.00023993,0.00023784,0.0002357,0.00023505,0.00023451,0.0002424
product,6.541e-05,6.401e-05,6.361e-05,6.362e-05,6.378e-05,6.359e-05,6.471e-05
system,0.00064176,0.00064259,0.00063571,0.00063238,0.0006285,0.00062852,0.00064218
post,0.00022461,0.00022621,0.00022709,0.00022416,0.00022309,0.00022281,0.00022541
her,0.00209612,0.00208751,0.00206215,0.00203738,0.00203582,0.00204214,0.00209181
city,0.00104369,0.0010693,0.00108652,0.0010983,0.0011084,0.00111128,0.00105649
t,0.00057165,0.00056699,0.00055832,0.00055284,0.00054242,0.00053774,0.00056932
add,4.481e-05,4.478e-05,4.534e-05,4.569e-05,4.628e-05,4.672e-05,4.48e-05
policy,8.589e-05,8.663e-05,8.573e-05,8.65e-05,8.604e-05,8.525e-05,8.626e-05
number,0.00093457,0.00092898,0.00092848,0.00092604,0.00092517,0.00091932,0.00093178
such,0.00110772,0.0011095,0.00111033,0.00111268,0.00111842,0.00112518,0.00110861
please,1.191e-05,1.174e-05,1.196e-05,1.215e-05,1.206e-05,1.202e-05,1.182e-05
available,0.00021518,0.00021276,0.00020863,0.00020731,0.00020499,0.00020225,0.00021397
copyright,1.673e-05,1.635e-05,1.624e-05,1.683e-05,1.675e-05,1.675e-05,1.654e-05
support,0.00035485,0.00035692,0.00035515,0.00035658,0.00035677,0.0003567,0.00035589
message,5.547e-05,5.555e-05,5.5e-05,5.521e-05,5.444e-05,5.444e-05,5.551e-05
after,0.00254647,0.00254338,0.00255121,0.00255405,0.00255694,0.0025611,0.00254492
best,0.00057964,0.00057943,0.00058633,0.00058537,0.00058229,0.00058135,0.00057953
software,4.87e-05,4.869e-05,4.842e-05,4.722e-05,4.756e-05,4.909e-05,4.87e-05
then,0.00097548,0.00097344,0.00097647,0.00097022,0.00096863,0.00096351,0.00097446
jan,2.433e-05,2.492e-05,2.424e-05,2.383e-05,2.358e-05,2.318e-05,2.462e-05
good,0.00028236,0.00027869,0.00027667,0.00027507,0.00027346,0.00027106,0.00028053
video,0.00046174,0.00046359,0.00046079,0.00045629,0.00045076,0.00044817,0.00046267
well,0.00088098,0.00088401,0.00088648,0.00089156,0.0008932,0.00088944,0.00088249
d,0.00039536,0.00039134,0.00038383,0.00038233,0.00038037,0.0003781,0.00039335
where,0.00102473,0.00102062,0.00101532,0.00101106,0.0010062,0.00100702,0.00102268
info,3.72e-06,3.33e-06,2.89e-06,2.41e-06,2.54e-06,2.38e-06,3.53e-06
