Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.08495709,0.08512908,0.08520297,0.08532649,0.0854705,0.08549923,0.08504308
of,0.04677804,0.04675434,0.04676583,0.04679113,0.04676975,0.04673542,0.04676619
and,0.03184471,0.031896,0.03196662,0.03199649,0.03203151,0.03210143,0.03187036
to,0.02466827,0.0247548,0.02484393,0.02489317,0.0249298,0.02494297,0.02471153
a,0.02785287,0.02781089,0.02777262,0.02780551,0.02778555,0.02779293,0.02783188
in,0.02968359,0.02974951,0.02980739,0.02989726,0.02996042,0.03003412,0.02971655
for,0.01081227,0.01084609,0.01087137,0.01088548,0.01090164,0.0109305,0.01082918
is,0.01798132,0.01793501,0.01786822,0.01782428,0.01774736,0.01767358,0.01795816
on,0.007489,0.00750411,0.00752927,0.00753506,0.00754504,0.00755573,0.00749656
that,0.00902927,0.0090632,0.00908024,0.00911172,0.00911929,0.00910987,0.00904623
by,0.00879371,0.00880542,0.00882153,0.00883768,0.00884771,0.00885351,0.00879956
this,0.00516702,0.00517292,0.00516064,0.00516549,0.00515873,0.00515255,0.00516997
with,0.0080542,0.00809745,0.00812655,0.00815739,0.00819092,0.00821462,0.00807583
i,0.00095534,0.00094477,0.00093637,0.00092487,0.00091893,0.00090963,0.00095005
you,0.00014792,0.00014289,0.00014121,0.00013512,0.00013259,0.00012945,0.00014541
it,0.00528801,0.00527747,0.00527185,0.00526657,0.00526691,0.00524746,0.00528274
not,0.00278212,0.00277714,0.00277323,0.00277444,0.00277356,0.00276751,0.00277963
or,0.00501536,0.00500273,0.00500697,0.00499675,0.00498416,0.004985,0.00500905
be,0.00633488,0.00634403,0.0063377,0.00635441,0.00633503,0.006327,0.00633945
are,0.00680847,0.00680815,0.00681475,0.00680901,0.00677966,0.00677515,0.00680831
from,0.00583296,0.00584051,0.00586303,0.00587432,0.00588936,0.00590147,0.00583674
at,0.00631959,0.00632759,0.00633789,0.00633986,0.00634363,0.00634508,0.00632359
as,0.00982044,0.00986978,0.00992466,0.00997423,0.01000346,0.01002437,0.00984511
your,4.363e-05,4.265e-05,4.169e-05,3.973e-05,3.95e-05,3.866e-05,4.314e-05
all,0.00148109,0.00147939,0.0014748,0.00147026,0.00146099,0.00145122,0.00148024
have,0.00262497,0.00263227,0.00263515,0.00263785,0.00263723,0.00264097,0.00262862
new,0.00144337,0.00143668,0.00143189,0.00142711,0.00142161,0.00141329,0.00144003
more,0.0018041,0.00180539,0.00180835,0.00181316,0.00181469,0.00181523,0.00180474
an,0.00557957,0.00558158,0.00558131,0.00558642,0.00559004,0.00559304,0.00558057
was,0.00754558,0.00760581,0.00766166,0.00771443,0.0077645,0.00779259,0.0075757
we,0.00067898,0.00067467,0.00066432,0.00065356,0.00064665,0.00063285,0.00067683
will,0.00120286,0.0011958,0.00118539,0.00117748,0.00116174,0.00114643,0.00119933
home,0.00014231,0.00014348,0.00014306,0.00014203,0.00013946,0.00014009,0.0001429
can,0.00374301,0.00376413,0.00377603,0.00379985,0.003815,0.00382933,0.00375357
us,0.00037307,0.00038149,0.00037899,0.00037482,0.00037551,0.00037427,0.00037728
about,0.00107312,0.00106987,0.00106372,0.00106116,0.00105848,0.00105091,0.00107149
if,0.00137924,0.0013802,0.00137428,0.00137125,0.00136377,0.00135279,0.00137972
page,0.00016652,0.00015924,0.00015531,0.00015126,0.00014768,0.00014441,0.00016288
my,6.98e-05,7.01e-05,7.244e-05,7.129e-05,7.069e-05,6.822e-05,6.995e-05
has,0.00276061,0.0027508,0.00274138,0.00273354,0.00272386,0.00271649,0.0027557
search,9.744e-05,9.703e-05,9.526e-05,9.647e-05,9.604e-05,9.592e-05,9.723e-05
free,0.00042454,0.00042293,0.00042101,0.0004203,0.00041893,0.00041713,0.00042374
but,0.0020229,0.0020259,0.0020265,0.00202789,0.00202917,0.00201905,0.0020244
our,0.00016921,0.00016608,0.00016388,0.00015817,0.00015423,0.00015117,0.00016765
one,0.0025906,0.00259244,0.00257897,0.00257097,0.00256351,0.00255461,0.00259152
other,0.00198727,0.0019857,0.00198818,0.00199166,0.00198934,0.00198987,0.00198649
do,0.00041381,0.00041219,0.00041211,0.0004103,0.00040856,0.00040757,0.000413
no,0.00105122,0.00103926,0.0010293,0.00102598,0.00102027,0.00101327,0.00104524
information,0.00043821,0.00044044,0.00043863,0.00043907,0.00043597,0.00043378,0.00043933
time,0.00192343,0.00192315,0.00192282,0.00191989,0.00191736,0.00191057,0.00192329
they,0.0017888,0.00179725,0.00180337,0.00179759,0.00180004,0.00180491,0.00179302
site,0.00023892,0.00024091,0.00023997,0.00024063,0.00024213,0.00024278,0.00023991
he,0.00435929,0.00434431,0.0043508,0.00434502,0.00435485,0.00434637,0.0043518
up,0.0009034,0.00090314,0.00090626,0.00090478,0.00090393,0.00090041,0.00090327
may,0.00155534,0.00155621,0.00155578,0.00155954,0.00155255,0.00155534,0.00155578
what,0.0003738,0.00037236,0.00036823,0.00036494,0.00036195,0.0003564,0.00037308
