Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star
the,0.07947164,0.07948232,0.07948582,0.07945667,0.07960043,0.07969802,0.07947698
of,0.03576111,0.03569527,0.03565529,0.03549279,0.0353834,0.03546125,0.03572819
and,0.0305559,0.03057984,0.03059986,0.03058248,0.03061901,0.03078711,0.03056787
to,0.02337696,0.02334098,0.02344022,0.02351091,0.02357753,0.02358145,0.02335897
a,0.02434192,0.02432857,0.02431089,0.02424066,0.0241886,0.02416955,0.02433524
in,0.02906412,0.0291068,0.02905177,0.02921695,0.0292375,0.02931781,0.02908546
for,0.00843349,0.00844673,0.00845073,0.00852207,0.00850121,0.00850829,0.00844011
is,0.01475326,0.01480239,0.01471811,0.014548,0.0144105,0.01425327,0.01477783
on,0.008675,0.00870041,0.00872828,0.00884296,0.00884732,0.0088167,0.00868771
that,0.00901268,0.00896975,0.00896882,0.00893293,0.00896269,0.00888758,0.00899122
by,0.00706353,0.00706765,0.00706095,0.00700759,0.00696229,0.00697674,0.00706559
this,0.00487715,0.00485653,0.00484779,0.00487932,0.00487292,0.00480824,0.00486684
with,0.00616269,0.00615626,0.00616253,0.00622286,0.00621629,0.00623443,0.00615948
i,0.00100236,0.0009949,0.00100122,0.00098266,0.00098651,0.00095973,0.00099863
you,0.000623,0.00060759,0.00058798,0.0005718,0.00055339,0.00052871,0.00061529
it,0.00982375,0.00982998,0.00987855,0.00986161,0.00991889,0.00985977,0.00982687
not,0.00433109,0.0042907,0.00429167,0.00430752,0.00431855,0.00428719,0.0043109
or,0.00401371,0.0039869,0.00394217,0.00389866,0.00388152,0.00388682,0.00400031
be,0.0039154,0.00389608,0.00387638,0.00384968,0.0038297,0.0037987,0.00390574
are,0.00655166,0.00654149,0.00652642,0.00646278,0.00642259,0.00635033,0.00654657
from,0.0060943,0.0061072,0.00612038,0.0061099,0.00614688,0.00608405,0.00610075
at,0.00524582,0.00524175,0.00523018,0.00519721,0.00516134,0.00518945,0.00524378
as,0.00739587,0.00745287,0.00741148,0.00743044,0.00743159,0.0075179,0.00742437
your,0.00014319,0.00014407,0.00013774,0.00013895,0.00013786,0.0001226,0.00014363
all,0.00205494,0.00204826,0.00205486,0.0020363,0.00204146,0.0020277,0.0020516
have,0.00366107,0.00363718,0.00362762,0.00358477,0.00353541,0.00352189,0.00364913
new,0.00223767,0.00231134,0.00230054,0.00230121,0.00228882,0.00229684,0.00227451
more,0.00206349,0.00207018,0.00206206,0.00208528,0.00211381,0.00211294,0.00206683
