Word,2020-01-01,2021-01-01,2022-01-01,f_star,revised,r
the,0.09274169,0.09292979,0.09288293,0.09283574,0.08779121,-0.05481868
of,0.04329415,0.04320864,0.04378501,0.04325139,0.03809381,-0.12998056
and,0.04011825,0.04028103,0.04040719,0.04019964,0.03668414,-0.09213831
to,0.02343187,0.02348984,0.02324676,0.02346086,0.02518666,0.08344819
a,0.02519375,0.02519868,0.02499927,0.02519622,0.02556918,0.02279707
in,0.03589124,0.0359003,0.03566613,0.03589577,0.03566443,-4.766e-05
for,0.00939711,0.00940228,0.00930773,0.00939969,0.009926,0.06642543
is,0.00882133,0.00864551,0.00902565,0.00873342,0.00740538,-0.17951837
on,0.00883891,0.00883532,0.00857072,0.00883711,0.00774121,-0.09678417
that,0.00545894,0.00538407,0.00540267,0.00542151,0.00579941,0.07343406
by,0.01021024,0.01023779,0.0100832,0.01022401,0.0096793,-0.04005673
this,0.00179202,0.00177414,0.00176789,0.00178308,0.00348569,0.97166679
with,0.00769928,0.00777828,0.00776294,0.00773878,0.00848504,0.09301888
i,0.00090543,0.00090324,0.00085856,0.00090434,0.00090246,0.05113213
you,0.00012495,0.00013488,0.00013489,0.00012992,0.00013158,-0.02453851
it,0.00706196,0.00703981,0.00680693,0.00705088,0.00599677,-0.11901988
not,0.00163567,0.00160082,0.00160377,0.00161824,0.00130302,-0.18752689
or,0.00249903,0.00249308,0.00272134,0.00249606,0.00227074,-0.16558019
be,0.00216311,0.00211896,0.00216999,0.00214104,0.00149986,-0.30881709
are,0.00280231,0.00276527,0.00302035,0.00278379,0.00229462,-0.2402801
from,0.00654018,0.00652167,0.00643407,0.00653092,0.00752793,0.17001058
at,0.0051902,0.00523149,0.00505648,0.00521085,0.00483116,-0.04456064
as,0.01142271,0.01139247,0.0115485,0.01140759,0.01426429,0.23516387
your,2.009e-05,1.892e-05,2.359e-05,1.95e-05,2.653e-05,0.12462908
all,0.00130665,0.00131215,0.00135349,0.0013094,0.00118418,-0.12509143
have,0.00245319,0.00243937,0.00248798,0.00244628,0.00197098,-0.2077991
new,0.00196218,0.00197371,0.0019674,0.00196795,0.00183941,-0.0650554
more,0.00140335,0.00140064,0.00144016,0.001402,0.00107436,-0.25399956
an,0.00498174,0.00499592,0.00496005,0.00498883,0.00451336,-0.09005756
was,0.01757422,0.01754186,0.01644906,0.01755804,0.01237554,-0.24764455
we,5.023e-05,4.577e-05,5.283e-05,4.8e-05,5.624e-05,0.06454666
will,0.00018523,0.00018187,0.00020618,0.00018355,0.00012786,-0.37986226
home,0.00045209,0.00044796,0.00045287,0.00045003,0.0004637,0.02391415
can,0.00054878,0.00054805,0.00062982,0.00054842,0.00091891,0.45900416
us,0.00050797,0.00051631,0.00050313,0.00051214,0.00032204,-0.35992686
about,0.00104608,0.00102775,0.00100576,0.00103692,0.00059474,-0.40866608
if,0.00019088,0.0001953,0.00021233,0.00019309,0.00015386,-0.27537324
page,6.656e-05,5.554e-05,5.949e-05,6.105e-05,3.926e-05,-0.34005715
my,6.405e-05,6.53e-05,6.514e-05,6.467e-05,6.314e-05,-0.0307031
has,0.00256622,0.00256387,0.0026921,0.00256505,0.00228666,-0.15060362
search,7.66e-05,7.446e-05,7.796e-05,7.553e-05,7.428e-05,-0.04720369
free,0.00015258,0.00015135,0.00017284,0.00015196,0.00016606,-0.03922703
but,0.00262775,0.00265542,0.00254747,0.00264159,0.00144309,-0.43352032
our,3.893e-05,3.784e-05,4.411e-05,3.838e-05,6.26e-05,0.41917932
