Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,revised,f_star,r
the,0.09488608,0.09508959,0.09513589,0.09500865,0.09497329,0.09515117,0.08980981,0.09498783,-0.05598391942304841
of,0.04363596,0.04354138,0.04343622,0.04331198,0.04321071,0.0431672,0.03769829,0.04358867,-0.13210012289282988
and,0.03926093,0.03935721,0.03943248,0.03951462,0.0396622,0.03967623,0.03552549,0.03930907,-0.09908050419349732
to,0.02402413,0.02409871,0.02414924,0.02414496,0.02416639,0.02416649,0.0260744,0.02406142,0.07971927895039356
a,0.02520831,0.02517007,0.02525248,0.02527075,0.02527608,0.02523537,0.02591364,0.02518919,0.026181982918113425
in,0.03613954,0.036125,0.0361998,0.03632303,0.03645262,0.03646024,0.03619755,0.03613227,-6.215503953047562e-05
for,0.00938112,0.00935571,0.00938032,0.00938821,0.00941557,0.00941724,0.00994913,0.00936841,0.06063865625053316
is,0.00813425,0.00796647,0.00787189,0.00781702,0.0077522,0.00770593,0.0064753,0.00805036,-0.17741482668075897
on,0.00896776,0.00893984,0.00891174,0.00894678,0.00892046,0.00891542,0.00799096,0.0089538,-0.10332213462241936
that,0.00556768,0.00549188,0.0054897,0.00548605,0.00546411,0.00549747,0.00582727,0.00552978,0.06149152048381509
by,0.01052379,0.01058436,0.01053491,0.01054178,0.01052994,0.01050477,0.01010658,0.01055407,-0.04065815464963624
this,0.00181608,0.00181251,0.00179727,0.00176173,0.00176722,0.00176413,0.00373817,0.0018143,1.079915649846712
with,0.00747355,0.00753579,0.00758465,0.0075844,0.00758274,0.00758863,0.00829425,0.00750467,0.09355738234460383
i,0.00096564,0.00096596,0.00095962,0.0009551,0.00094101,0.00094071,0.00101762,0.0009658,0.06044059106729736
you,0.00011181,0.00011776,0.00011153,0.00010321,0.00010152,0.00010176,0.00010856,0.00011479,-0.026629606383932518
it,0.00701276,0.00696511,0.00692832,0.006931,0.00691037,0.00691825,0.00602616,0.00698893,-0.13021338506304558
not,0.00172968,0.00168734,0.00169297,0.00168233,0.00168054,0.00167091,0.00137395,0.00170851,-0.18843807037336746
or,0.00244375,0.00242354,0.00238299,0.00238655,0.00238806,0.00239101,0.0019996,0.00243364,-0.16088611366392655
be,0.00215236,0.00211967,0.00210618,0.00210391,0.00208584,0.00207718,0.00145433,0.00213601,-0.3094939653780779
are,0.00251914,0.00248119,0.00246884,0.00245959,0.00247005,0.00244384,0.00191922,0.00250016,-0.2226227702078709
from,0.00652994,0.00653277,0.006544,0.0065777,0.00661206,0.00661529,0.00775478,0.00653135,0.18502139364303175
at,0.00518227,0.00526048,0.00530195,0.00531059,0.00533057,0.00533667,0.00510052,0.00522138,-0.03799168230556679
