Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2025-01-01,f_star,revised,r
the,0.07960517,0.07961531,0.0795533,0.0795526,0.07969984,0.07981069,0.07961024,0.07472049,-0.06074933409424868
of,0.03583491,0.03578544,0.03571632,0.03555443,0.03543257,0.03550496,0.03581017,0.03603813,0.009010166780900124
and,0.03052305,0.03053935,0.03051239,0.03049654,0.03054648,0.03072525,0.0305312,0.03275805,0.07359829892053675
to,0.02339321,0.02336545,0.0234671,0.02355171,0.0236173,0.02362866,0.02337933,0.02654659,0.13122584384095168
a,0.0245075,0.02449265,0.02446835,0.02440182,0.02435199,0.02432532,0.02450008,0.02722004,0.11245915642043706
in,0.02899931,0.02904078,0.02900514,0.02917078,0.02919427,0.02928894,0.02902005,0.0321034,0.10681761922197233
for,0.00841082,0.00842126,0.00843007,0.00847711,0.00846787,0.00848193,0.00841604,0.01022653,0.21310143332143147
is,0.01484815,0.01490705,0.01481251,0.0146292,0.01448912,0.01432712,0.0148776,0.00986246,-0.334180365110302
on,0.00874197,0.0087675,0.00879103,0.00891312,0.00891826,0.00888873,0.00875473,0.00816003,-0.0717777097791726
that,0.00904515,0.00900234,0.00898118,0.00895067,0.00897431,0.00889773,0.00902374,0.00679945,-0.24292242222068813
by,0.00712984,0.00713786,0.00713016,0.00707,0.00701274,0.00702863,0.00713385,0.0079891,0.120465739899245
this,0.00488114,0.00486161,0.00486338,0.00489205,0.00487896,0.00481469,0.00487137,0.00442358,-0.09043093486423018
with,0.00614086,0.00613299,0.0061418,0.00621154,0.00620467,0.00621802,0.00613692,0.0088369,0.43881272591097065
i,0.00096661,0.00096009,0.00096795,0.00095025,0.00095786,0.00093255,0.00096335,0.00079823,-0.17533963531174127
you,0.00059182,0.00057562,0.00055649,0.00054032,0.00051867,0.00049376,0.00058372,0.00032647,-0.41334076084026666
it,0.00996925,0.00997553,0.01001144,0.00999167,0.01005852,0.00997521,0.00997239,0.00529188,-0.4714166992960054
not,0.00430945,0.00426961,0.00428647,0.00430166,0.00431647,0.00428794,0.00428953,0.00171097,-0.6008440511656444
or,0.00399732,0.00395286,0.0039051,0.00385731,0.00383652,0.00384216,0.00397509,0.00269038,-0.3110598960333922
be,0.00392348,0.0039048,0.00388361,0.00385731,0.00383449,0.00380018,0.00391414,0.00210069,-0.45908832246286313
are,0.00656487,0.0065546,0.0065264,0.00645875,0.00640949,0.00632996,0.00655974,0.00388003,-0.40548694532973767
from,0.00612743,0.00614392,0.00615791,0.00613957,0.00617512,0.00610507,0.00613568,0.00665075,0.08003364777984746
at,0.00528725,0.00527667,0.00526624,0.0052227,0.00517854,0.0052105,0.00528196,0.00438426,-0.1674781248101112
as,0.0074319,0.00750049,0.00745352,0.0074695,0.00747536,0.00756137,0.0074662,0.01360062,0.8247244255063381
your,0.00014096,0.0001409,0.00013429,0.0001356,0.00013553,0.00011994,0.00014093,6.32e-05,-0.5293767220195099
all,0.00205516,0.00205016,0.00205514,0.00203505,0.00204309,0.00203202,0.00205266,0.00112811,-0.4510787586247165
have,0.00367624,0.0036514,0.00364834,0.0036028,0.00356038,0.0035433,0.00366382,0.00215367,-0.4096849526085836
new,0.00226772,0.00234397,0.00233554,0.00233128,0.00231924,0.00232388,0.00230584,0.00171097,-0.26741995427181725
more,0.00205404,0.00206326,0.00205514,0.00207469,0.00210321,0.00210299,0.00205865,0.00130759,-0.36374650875366155
an,0.00398501,0.00395395,0.00396955,0.00401064,0.00398835,0.00398509,0.00396948,0.00444409,0.11954503659104955
was,0.01585615,0.01577211,0.01582665,0.01593409,0.01606245,0.0160473,0.01581413,0.00903004,-0.4294408481896043
we,0.00053588,0.00053411,0.00054252,0.00054032,0.00052682,0.00051375,0.00053499,0.00020511,-0.6219309887193099
will,0.00101136,0.00103545,0.00100877,0.00098884,0.00098333,0.00095554,0.00102341,0.00033502,-0.6678925820553744
home,0.00044974,0.00046421,0.00045873,0.00045791,0.00044632,0.00045178,0.00045697,0.00053671,0.1699910622806444
can,0.00226436,0.00228062,0.0022829,0.00227913,0.00229682,0.0022829,0.00227249,0.00226648,-0.007192605896009489
us,0.00036024,0.000367,0.00038782,0.0003776,0.00037703,0.00036982,0.00036362,0.00019486,-0.49755040998401323
about,0.00245455,0.00244337,0.00242793,0.00242725,0.00240178,0.00237986,0.00244896,0.00107855,-0.5557738485046934
if,0.00107065,0.00107914,0.00109257,0.00109002,0.00109338,0.00107448,0.00107489,0.0004239,-0.6120157060874818
page,0.00015439,0.00016165,0.00016007,0.00015125,0.00015387,0.00014793,0.00015802,7.01e-05,-0.5620665958643094
my,0.00020138,0.00019661,0.000188,0.00018984,0.00018648,0.00017991,0.00019899,0.0001299,-0.30904255319148927
has,0.00304638,0.0030867,0.00309077,0.00308126,0.00307126,0.00307652,0.00306654,0.00233315,-0.24512338349343368
search,0.00011411,0.00011906,0.00012032,0.00011682,0.00011311,0.00010995,0.00011658,0.00011623,-0.033992686170212734
free,0.00023494,0.00023374,0.00023312,0.00022531,0.0002201,0.00021989,0.00023434,0.00020169,-0.13482326698695946
but,0.00306763,0.00306595,0.00306284,0.00302806,0.00301419,0.00300456,0.00306679,0.00167337,-0.45365412492980367
our,0.00022263,0.00023047,0.00022346,0.00021487,0.00020074,0.00019791,0.00022655,0.00040339,0.8052000358005906
one,0.00337641,0.00338707,0.00340125,0.0033608,0.00334333,0.0033274,0.00338174,0.00265449,-0.21955457552370464
other,0.00269956,0.00270332,0.00269221,0.00270575,0.0027197,0.0027077,0.00270144,0.00143749,-0.46605576830930723
do,0.00101919,0.00100159,0.0009991,0.00099614,0.00098639,0.00098353,0.00101039,0.00024442,-0.7553598238414573
no,0.00123287,0.00123534,0.00122686,0.00120789,0.00118815,0.00118243,0.00123411,0.00067687,-0.4482907585217547
information,0.00017117,0.00017476,0.00016867,0.00016689,0.00016508,0.00016092,0.00017296,0.00030938,0.8342325250489121
time,0.00206523,0.00208729,0.00207878,0.00204131,0.00203901,0.00202803,0.00207626,0.00142382,-0.31506941571498676
they,0.00533088,0.00529633,0.00529202,0.00533848,0.00535483,0.00533744,0.0053136,0.00245621,-0.535865321748595
site,0.00013425,0.00013653,0.00013966,0.00013143,0.00012941,0.00012694,0.00013539,0.00017264,0.23614492338536444
he,0.00962914,0.00957905,0.00953445,0.00962659,0.00958367,0.0095934,0.00960409,0.00629351,-0.33991892558039527
up,0.0014555,0.00145051,0.00147072,0.00144884,0.0014378,0.00142232,0.001453,0.00072473,-0.5072277523933856
may,0.00144991,0.0014374,0.00144924,0.00144154,0.00143271,0.00141632,0.00144365,0.00137938,-0.048204576191659174
what,0.00082676,0.00081482,0.00081432,0.000799,0.00079074,0.00077263,0.00082079,0.0002769,-0.6599616858237548
which,0.00327684,0.00329642,0.00332282,0.00331074,0.00328219,0.00328442,0.00328663,0.00403557,0.2145015378503799
their,0.00281479,0.00281364,0.00281897,0.00287994,0.00291739,0.0029246,0.00281422,0.00454322,0.6116595777890504
news,0.00018571,0.00018678,0.00018478,0.00018358,0.00017832,0.00017492,0.00018625,8.89e-05,-0.5188873254681242
out,0.00123399,0.00122988,0.00122363,0.00123501,0.00121566,0.00121742,0.00123193,0.00046492,-0.6200485440860392
use,0.00086032,0.00085742,0.00085192,0.00084698,0.00083762,0.0008336,0.00085887,0.00044612,-0.47633580617898397
any,0.00074174,0.00074382,0.00074449,0.0007312,0.00073775,0.00072965,0.00074278,0.00043586,-0.4145522438179156
there,0.00245903,0.00245975,0.00244727,0.00244602,0.00244356,0.00241284,0.00245939,0.00066832,-0.7269120285052324
see,0.00056721,0.00056469,0.00056508,0.00055388,0.0005523,0.00054774,0.00056595,0.00011623,-0.7943123097614497
only,0.0016524,0.00164821,0.00165121,0.00165015,0.00163855,0.00163122,0.0016503,0.00110589,-0.33025478285620846
so,0.00133915,0.0013249,0.00131817,0.0013414,0.00133794,0.00131037,0.00133203,0.00016067,-0.8781113209980504
his,0.00610506,0.00609913,0.00607841,0.00608011,0.00608239,0.00615505,0.0061021,0.00916337,0.5075274619513985
when,0.00266712,0.00264762,0.00262775,0.00264212,0.00262901,0.00262774,0.00265737,0.00157423,-0.4009209399676529
contact,5.59e-05,5.68e-05,5.69e-05,5.84e-05,5.6e-05,5.6e-05,5.64e-05,6.32e-05,0.11072056239015825
here,0.00014544,0.00014745,0.00014933,0.00014707,0.0001447,0.00014193,0.00014644,0.00010427,-0.3017478068706891
business,0.00012866,0.00012889,0.00012784,0.00013456,0.00013858,0.00013593,0.00012877,0.00010427,-0.18437108886107628
who,0.00223751,0.00220744,0.00220555,0.00223636,0.00225606,0.00225692,0.00222247,0.0019007,-0.13821949173675507
web,7.5e-05,8.52e-05,8.17e-05,8.14e-05,7.74e-05,7.5e-05,8.01e-05,4.96e-05,-0.3929008567931456
also,0.003495,0.00350176,0.00352694,0.0035423,0.00351758,0.00352731,0.00349838,0.00243912,-0.3084316716473771
now,0.00068132,0.0006914,0.00069185,0.00068843,0.00068579,0.00068167,0.00068636,0.00040851,-0.40953964009539645
help,0.00041953,0.00042379,0.00043294,0.00043184,0.0004453,0.00044878,0.00042166,0.00014187,-0.6723102508430729
get,0.00064776,0.00064443,0.00063921,0.00065923,0.00064808,0.00064269,0.00064609,3.76e-05,-0.9411773908418203
pm,2.8e-05,3.06e-05,2.9e-05,3.44e-05,3.26e-05,3.1e-05,2.93e-05,2.56e-05,-0.11724137931034487
view,0.00011635,0.00011469,0.00011388,0.00011265,0.00011107,0.00011195,0.00011552,0.00011623,0.020635756937126826
online,8.39e-05,8.96e-05,9.13e-05,9.18e-05,8.66e-05,8.6e-05,8.67e-05,8.89e-05,-0.02628696604600209
c,0.00049449,0.00048605,0.00048881,0.00047252,0.00046772,0.00046478,0.00049027,0.00032476,-0.33561097358892006
e,0.0004296,0.00042379,0.0004308,0.00042766,0.00041473,0.0004108,0.00042669,0.00033843,-0.21441504178272977
first,0.00292555,0.00291631,0.00290922,0.00289976,0.00294184,0.00296758,0.00292093,0.00223572,-0.23150535195000724
am,8.95e-05,8.96e-05,8.81e-05,9.49e-05,9.17e-05,9.1e-05,8.95e-05,5.13e-05,-0.4177071509648127
been,0.00186049,0.001847,0.00184243,0.00183374,0.00181076,0.00181413,0.00185374,0.0012358,-0.32925538555060435
would,0.00135593,0.00136095,0.00139337,0.0013873,0.00140622,0.00141232,0.00135844,0.00057773,-0.5853721552782103
how,0.00061867,0.00060948,0.00061558,0.00063837,0.00064095,0.00063569,0.00061407,0.00016238,-0.7362162513401995
were,0.00448845,0.00447932,0.00449596,0.004552,0.00455492,0.00456581,0.00448388,0.00215367,-0.5209766101121897
me,0.00021145,0.00021627,0.00021271,0.0002107,0.00020788,0.0001999,0.00021386,0.00013674,-0.3571529312209111
s,0.00771942,0.00773205,0.00777152,0.00773027,0.00776068,0.00786423,0.00772574,0.01029661,0.32491584657827555
services,8.61e-05,8.52e-05,8.27e-05,8.03e-05,7.64e-05,7.5e-05,8.57e-05,0.00010768,0.302055622732769
some,0.00215025,0.00212661,0.0021239,0.00212267,0.00213582,0.00210599,0.00213843,0.00120332,-0.4334384858044165
these,0.0015271,0.00151714,0.00149651,0.0014843,0.00146634,0.0014543,0.00152212,0.00177763,0.1878503985940623
click,3.36e-06,3.28e-06,3.22e-06,2.09e-06,2.04e-06,5e-06,3.32e-06,3.42e-06,0.062111801242235955
its,0.00206411,0.00209494,0.00210886,0.00211119,0.00210321,0.00211898,0.00207953,0.00473808,1.2467494286012348
like,0.00160765,0.00161762,0.0016265,0.00162303,0.00161613,0.00160823,0.00161263,0.00118965,-0.2685828466031355
service,0.00021368,0.00020862,0.00022668,0.00022322,0.0002201,0.00022389,0.00021115,0.0002205,-0.027263102170460556
x,0.00018348,0.00018131,0.0001504,0.00014499,0.00012126,0.00012494,0.0001824,0.00021879,0.45472074468085116
than,0.00155172,0.00156738,0.00157063,0.0015834,0.00159677,0.00158924,0.00155955,0.00103581,-0.34051304253707104
find,0.00028305,0.00028617,0.00028469,0.00028267,0.00027819,0.00027687,0.00028461,0.00011794,-0.5857248234922195
price,6.15e-05,5.79e-05,5.69e-05,5.63e-05,5.5e-05,5.5e-05,5.97e-05,2.22e-05,-0.6098418277680141
date,0.00010069,0.00010267,0.00010743,9.81e-05,9.68e-05,9.6e-05,0.00010168,0.00014016,0.30466350181513546
back,0.00072495,0.00072744,0.00072086,0.00073641,0.00072756,0.00072565,0.0007262,0.00054013,-0.2507144244374775
top,0.00031661,0.00032003,0.00031692,0.00031084,0.00031181,0.00031385,0.00031832,0.00022562,-0.2880853212167108
people,0.00320636,0.00316753,0.00317135,0.00316158,0.00316501,0.00314849,0.00318695,0.00041364,-0.8695697415926972
had,0.00363149,0.00358695,0.00364941,0.00369876,0.0036959,0.00376519,0.00360922,0.00137596,-0.6229637119424783
