Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,11996.0,11175.65,11275.51,11306.87,11277.34,11310.6
of,6198.0,5790.0,5735.44,5709.02,5670.65,5678.63
and,4745.0,4721.78,4733.02,4723.57,4738.6,4723.56
to,2880.0,3652.57,3663.61,3661.64,3644.67,3615.83
a,3671.0,3656.07,3617.09,3633.62,3655.99,3673.93
in,5250.0,4840.53,4811.63,4795.17,4819.1,4792.69
for,1397.0,1812.76,1808.55,1801.47,1797.1,1795.19
is,1782.0,1161.91,1137.32,1102.85,1099.15,1091.2
on,1428.0,1417.94,1439.67,1449.71,1457.26,1467.79
that,674.0,772.6,762.86,772.44,769.75,772.28
by,1350.0,1150.38,1170.81,1165.55,1153.54,1149.3
this,355.0,262.54,269.33,265.04,264.13,264.63
with,1053.0,1006.08,1035.91,1074.39,1093.49,1109.86
i,157.0,131.77,128.85,145.42,150.56,160.31
you,52.0,51.11,58.61,62.26,67.45,66.16
it,822.0,628.3,613.08,619.91,617.45,609.85
not,181.0,204.92,212.11,219.24,218.44,222.23
or,259.0,219.96,217.23,213.01,209.3,212.9
be,285.0,377.78,365.62,357.09,352.89,351.57
are,359.0,323.67,319.1,304.62,307.2,314.68
from,943.0,843.25,847.52,856.49,856.78,857.52
at,1199.0,1126.83,1124.3,1125.97,1129.17,1140.81
as,1599.0,1392.38,1410.37,1437.26,1439.42,1435.14
your,13.0,15.03,19.54,17.79,17.84,19.51
all,148.0,189.39,192.11,192.11,193.2,192.54
have,229.0,199.91,198.62,193.44,187.98,187.45
new,390.0,502.54,496.33,494.95,495.18,488.56
more,118.0,131.77,130.71,127.18,125.75,128.08
an,739.0,751.56,734.49,730.19,721.45,722.23
was,2382.0,1906.45,1926.7,1941.55,1946.35,1938.54
we,32.0,30.56,30.24,31.57,32.2,35.2
will,119.0,196.91,183.74,166.76,162.3,161.16
home,80.0,119.25,115.36,115.62,116.18,115.35
can,68.0,61.63,64.19,62.7,64.83,67.43
us,59.0,53.11,53.03,53.81,52.22,53.01
about,129.0,125.26,125.13,125.4,124.88,133.17
if,44.0,46.6,47.91,48.03,48.73,48.77
page,18.0,19.04,17.68,17.79,17.84,16.54
my,28.0,33.57,38.14,41.8,46.56,49.19
has,405.0,328.68,322.82,313.96,311.12,310.44
search,4.0,5.01,4.65,4.89,5.66,5.51
free,27.0,28.56,30.7,28.91,29.59,29.26
but,194.0,188.39,200.48,212.12,216.7,226.04
our,20.0,15.53,13.95,13.79,13.49,14.0
one,330.0,367.26,369.8,372.66,377.7,377.44
other,156.0,157.33,157.69,156.53,156.21,153.95
do,32.0,36.07,38.14,40.02,38.73,41.99
no,125.0,160.33,146.99,145.42,144.03,142.92
information,25.0,28.06,26.05,27.13,27.85,27.57
time,260.0,204.92,216.77,220.13,218.0,223.07
they,189.0,187.89,213.97,208.56,210.6,209.5
site,53.0,35.57,45.59,48.47,47.43,46.65
he,1162.0,780.62,760.07,784.45,791.94,835.04
up,145.0,157.33,158.62,161.87,161.43,167.09
may,249.0,362.25,346.08,341.08,345.06,342.67
what,32.0,38.08,38.14,37.8,39.16,39.44
which,399.0,306.13,318.64,333.97,337.23,347.33
their,203.0,235.99,267.47,268.15,267.61,262.51
news,34.0,239.0,217.7,207.23,199.73,195.08
out,117.0,151.31,171.18,177.88,177.1,175.58
use,59.0,45.59,46.05,45.36,45.25,44.95
