Word,Frequency 2022-01-01,Frequency 2024-11-01,Growth Rate (%)
avg,0.47,4.24,802.13
substitute,0.47,4.24,802.13
please,0.47,3.82,712.77
remix,2.33,18.24,682.83
premium,0.47,2.54,440.43
diameter,0.47,2.54,440.43
alt,1.4,6.79,385.0
caps,0.47,2.12,351.06
attitude,0.47,2.12,351.06
frequent,0.47,2.12,351.06
diagram,0.47,2.12,351.06
retro,0.47,2.12,351.06
stripes,0.47,2.12,351.06
mm,0.93,3.82,310.75
cement,0.93,3.82,310.75
hosts,3.72,15.27,310.48
electoral,1.86,6.79,265.05
mf,4.65,16.96,264.73
alto,1.4,5.09,263.57
ch,0.47,1.7,261.7
paint,0.47,1.7,261.7
lovely,0.47,1.7,261.7
exceed,0.47,1.7,261.7
em,0.93,2.97,219.35
op,2.33,7.21,209.44
oliver,13.02,38.59,196.39
df,6.05,17.81,194.38
seed,1.86,5.09,173.66
trim,1.86,5.09,173.66
strip,0.93,2.54,173.12
comic,0.93,2.54,173.12
receiver,0.93,2.54,173.12
thai,0.93,2.54,173.12
turbo,0.93,2.54,173.12
penguin,0.93,2.54,173.12
draws,0.93,2.54,173.12
trunk,1.4,3.82,172.86
teen,0.47,1.27,170.21
accessories,0.47,1.27,170.21
tips,0.47,1.27,170.21
rated,0.47,1.27,170.21
load,0.47,1.27,170.21
provisions,0.47,1.27,170.21
matrix,0.47,1.27,170.21
cap,0.47,1.27,170.21
exist,0.47,1.27,170.21
authorized,0.47,1.27,170.21
connections,0.47,1.27,170.21
contractor,0.47,1.27,170.21
choices,0.47,1.27,170.21
pump,0.47,1.27,170.21
amended,0.47,1.27,170.21
asset,0.47,1.27,170.21
imagine,0.47,1.27,170.21
applies,0.47,1.27,170.21
obvious,0.47,1.27,170.21
nobody,0.47,1.27,170.21
sealed,0.47,1.27,170.21
proven,0.47,1.27,170.21
ae,0.47,1.27,170.21
af,0.47,1.27,170.21
wanna,0.47,1.27,170.21
um,0.47,1.27,170.21
talked,0.47,1.27,170.21
brake,0.47,1.27,170.21
advertiser,0.47,1.27,170.21
cfr,0.47,1.27,170.21
bolivia,0.47,1.27,170.21
calm,0.47,1.27,170.21
breeding,0.47,1.27,170.21
carnival,0.47,1.27,170.21
plastics,0.47,1.27,170.21
dressing,0.47,1.27,170.21
cio,0.47,1.27,170.21
suburban,0.47,1.27,170.21
walnut,0.47,1.27,170.21
goat,0.47,1.27,170.21
maldives,0.47,1.27,170.21
fw,5.58,14.84,165.95
ti,5.12,13.57,165.04
models,1.86,4.67,151.08
highway,3.72,9.33,150.81
lion,2.79,6.79,143.37
vampire,1.4,3.39,142.14
marsh,1.4,3.39,142.14
wait,2.33,5.51,136.48
cycle,5.12,11.87,131.84
romania,2.79,6.36,127.96
ez,2.79,6.36,127.96
advertising,0.93,2.12,127.96
celebrity,0.93,2.12,127.96
earn,0.93,2.12,127.96
outlook,0.93,2.12,127.96
bold,0.93,2.12,127.96
monster,0.93,2.12,127.96
quiet,0.93,2.12,127.96
cake,0.93,2.12,127.96
packs,0.93,2.12,127.96
botswana,0.93,2.12,127.96
chronicles,0.93,2.12,127.96
giants,0.93,2.12,127.96
fin,0.93,2.12,127.96
indigenous,12.09,25.87,113.98
friendly,2.79,5.94,112.9
option,2.79,5.94,112.9
qualify,2.79,5.94,112.9
remove,1.4,2.97,112.14
forget,1.4,2.97,112.14
carbon,1.4,2.97,112.14
wheels,1.4,2.97,112.14
