Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,25581.0,25641.88,25781.38,25873.94,26124.17,26066.11
of,13595.0,13670.23,13595.15,13600.84,13552.9,13508.62
and,11416.0,11321.53,11317.3,11354.62,11349.68,11372.18
to,7564.0,7647.03,7742.76,7738.23,7742.18,7755.23
a,8341.0,8285.34,8299.03,8324.77,8308.43,8278.35
in,11148.0,11162.2,11157.13,11229.2,11274.24,11298.6
for,3462.0,3463.05,3464.24,3470.23,3474.8,3471.59
is,3335.0,3314.53,3318.46,3278.8,3245.75,3212.28
on,3408.0,3449.28,3483.43,3523.98,3542.97,3555.04
that,2043.0,2051.67,2126.31,2107.6,2109.6,2096.06
by,2842.0,2825.71,2841.79,2855.39,2856.73,2847.08
this,874.0,883.22,906.34,887.36,880.74,884.72
with,2709.0,2712.6,2705.6,2749.78,2749.48,2775.3
i,548.0,548.82,487.22,486.59,472.64,467.49
you,206.0,194.74,177.43,174.45,169.06,168.69
it,1516.0,1519.57,1536.47,1534.26,1526.08,1518.21
not,696.0,704.21,713.57,718.56,706.23,716.03
or,806.0,801.59,802.76,790.23,795.3,797.69
be,836.0,831.09,846.88,848.7,838.02,835.37
are,989.0,973.7,1007.05,1002.41,1026.17,1026.49
from,2066.0,2066.42,2062.05,2057.62,2042.34,2044.01
at,2340.0,2293.62,2302.78,2300.91,2301.38,2332.94
as,3127.0,3139.46,3200.49,3243.91,3243.03,3240.09
your,53.0,58.03,57.55,63.18,61.81,61.02
all,558.0,544.88,547.64,541.28,533.54,540.17
have,511.0,513.41,539.01,539.39,543.53,547.34
new,1044.0,1043.54,1002.25,997.69,994.36,995.09
more,348.0,346.21,348.15,354.57,342.66,340.07
an,1442.0,1454.66,1460.7,1462.59,1463.36,1462.57
was,4442.0,4464.29,4472.25,4524.5,4535.51,4528.59
we,104.0,105.24,117.97,124.48,119.07,120.24
will,272.0,255.72,239.77,239.52,239.95,235.99
home,210.0,214.41,222.51,224.43,218.14,221.63
can,301.0,299.98,304.99,308.36,299.94,307.77
us,152.0,156.38,168.8,163.14,154.52,156.13
about,545.0,530.13,516.95,515.82,502.63,498.89
if,183.0,184.91,189.9,188.6,183.6,186.64
page,73.0,70.81,66.18,66.95,67.26,65.5
my,112.0,114.09,114.13,113.16,109.98,113.06
has,831.0,837.98,840.17,819.46,836.21,821.02
search,22.0,23.6,23.02,18.86,20.0,19.74
free,130.0,124.91,123.72,126.36,122.7,120.24
but,655.0,652.09,651.22,648.78,642.61,638.87
our,79.0,77.7,84.4,85.81,78.17,78.96
one,747.0,774.05,778.78,794.0,784.4,787.82
other,470.0,470.13,479.55,480.93,489.91,488.12
do,133.0,127.86,129.48,116.93,119.07,122.03
no,447.0,457.35,467.08,468.67,450.82,444.16
information,96.0,93.44,92.07,90.53,98.16,96.91
time,534.0,532.1,536.13,543.17,537.17,539.27
they,624.0,610.78,619.57,612.0,603.52,601.18
site,59.0,61.96,62.34,60.35,64.53,63.71
he,2748.0,2743.09,2733.42,2730.92,2684.04,2663.14
up,392.0,385.55,369.25,368.71,352.66,354.43
may,562.0,505.54,516.95,516.76,521.72,515.94
what,123.0,124.91,127.56,127.3,127.25,124.72
which,987.0,976.66,969.64,967.51,962.55,960.99
their,617.0,619.63,645.47,650.67,646.24,655.91
news,129.0,128.84,110.3,102.79,98.16,96.91
out,302.0,311.78,314.58,320.62,323.58,318.54
use,166.0,163.27,166.88,165.97,177.24,176.77
any,155.0,153.43,163.05,163.14,161.79,166.0
there,334.0,339.32,346.23,340.42,365.39,366.99
see,98.0,95.4,94.95,94.3,92.71,92.42
only,367.0,373.75,375.01,367.77,360.84,359.81
so,211.0,209.49,210.04,210.29,209.05,207.27
his,2219.0,2210.02,2204.96,2234.9,2169.59,2160.66
when,526.0,517.34,530.38,533.74,524.45,522.22
contact,24.0,19.67,19.18,18.86,20.0,21.53
here,62.0,61.96,63.3,61.29,59.99,60.12
business,136.0,124.91,117.97,115.99,121.8,124.72
who,709.0,699.3,694.38,696.87,681.69,676.55
web,28.0,35.41,29.73,21.69,21.81,22.43
also,820.0,809.45,814.27,813.81,808.94,808.45
now,149.0,148.51,142.9,143.34,142.7,146.26
help,62.0,64.91,64.26,62.24,61.81,61.91
get,79.0,82.62,78.65,73.55,75.44,74.47
pm,12.0,11.8,13.43,15.09,14.54,14.36
view,27.0,23.6,22.06,20.75,20.0,18.84
online,47.0,54.09,55.63,52.81,59.99,62.81
c,323.0,286.21,284.85,277.24,269.04,277.26
e,284.0,263.59,257.04,253.67,253.59,254.83
first,903.0,924.53,928.4,927.91,948.91,958.3
am,74.0,72.78,70.97,65.07,62.72,61.91
been,509.0,511.44,514.07,505.45,518.99,510.55
would,316.0,330.47,360.62,359.28,357.21,355.32
