Word,Frequency 2022-01-01,Frequency 2024-11-01,Growth Rate (%)
annex,0.96,7.18,647.92
basement,2.88,16.15,460.76
resistant,0.96,5.38,460.42
grades,1.92,9.87,414.06
exchanges,0.96,4.49,367.71
arbitration,0.96,4.49,367.71
lease,3.84,15.25,297.14
gt,9.59,35.89,274.24
zoo,0.96,3.59,273.96
dns,0.96,3.59,273.96
custody,0.96,3.59,273.96
gloves,6.71,24.23,261.1
floors,6.71,23.33,247.69
maps,4.8,16.15,236.46
nissan,2.88,8.97,211.46
maple,2.88,8.97,211.46
ala,4.8,14.36,199.17
stores,11.51,33.2,188.44
pc,0.96,2.69,180.21
static,0.96,2.69,180.21
surveys,0.96,2.69,180.21
hd,0.96,2.69,180.21
calculated,0.96,2.69,180.21
shoe,0.96,2.69,180.21
ja,0.96,2.69,180.21
sharon,0.96,2.69,180.21
deviant,0.96,2.69,180.21
sunshine,1.92,5.38,180.21
enabling,0.96,2.69,180.21
stat,0.96,2.69,180.21
guam,0.96,2.69,180.21
garbage,1.92,5.38,180.21
blocking,0.96,2.69,180.21
moses,0.96,2.69,180.21
hunger,0.96,2.69,180.21
textiles,0.96,2.69,180.21
automobiles,0.96,2.69,180.21
store,31.65,87.04,175.01
arch,6.71,17.05,154.1
wednesday,1.92,4.49,133.85
res,1.92,4.49,133.85
pollution,1.92,4.49,133.85
conditioning,1.92,4.49,133.85
chan,1.92,4.49,133.85
ventures,1.92,4.49,133.85
infrastructure,4.8,10.77,124.37
boxing,4.8,10.77,124.37
trail,17.26,37.69,118.37
shopping,2.88,6.28,118.06
packages,2.88,6.28,118.06
lowest,2.88,6.28,118.06
rubber,2.88,6.28,118.06
mall,6.71,14.36,114.01
windows,14.39,30.51,112.02
auto,7.67,16.15,110.56
payments,7.67,16.15,110.56
visitor,3.84,8.08,110.42
admission,3.84,8.08,110.42
lawsuit,3.84,8.08,110.42
floor,28.77,59.22,105.84
disney,4.8,9.87,105.62
stories,36.45,74.47,104.31
goods,5.75,11.66,102.78
strategic,5.75,11.66,102.78
ham,12.47,25.12,101.44
spreading,6.71,13.46,100.6
istanbul,6.71,13.46,100.6
corner,8.63,17.05,97.57
brooklyn,17.26,34.1,97.57
departments,9.59,18.84,96.45
professionals,1.92,3.59,86.98
nj,1.92,3.59,86.98
zero,3.84,7.18,86.98
aa,1.92,3.59,86.98
drink,3.84,7.18,86.98
hey,1.92,3.59,86.98
conversion,3.84,7.18,86.98
assume,1.92,3.59,86.98
push,1.92,3.59,86.98
mapping,1.92,3.59,86.98
operators,1.92,3.59,86.98
rack,1.92,3.59,86.98
corp,1.92,3.59,86.98
horizontal,1.92,3.59,86.98
artwork,3.84,7.18,86.98
inclusive,1.92,3.59,86.98
referral,1.92,3.59,86.98
chains,1.92,3.59,86.98
harrison,1.92,3.59,86.98
helen,1.92,3.59,86.98
advocacy,1.92,3.59,86.98
governmental,1.92,3.59,86.98
manufacture,1.92,3.59,86.98
affecting,1.92,3.59,86.98
eclipse,1.92,3.59,86.98
embassy,1.92,3.59,86.98
cia,1.92,3.59,86.98
lobby,1.92,3.59,86.98
harper,1.92,3.59,86.98
hindu,1.92,3.59,86.98
gore,1.92,3.59,86.98
atmospheric,1.92,3.59,86.98
highways,1.92,3.59,86.98
waiver,1.92,3.59,86.98
eagle,4.8,8.97,86.88
oils,4.8,8.97,86.88
subsidiary,4.8,8.97,86.88
brands,2.88,5.38,86.81
organisations,2.88,5.38,86.81
inform,2.88,5.38,86.81
mobility,2.88,5.38,86.81
bowling,2.88,5.38,86.81
jo,2.88,5.38,86.81
acids,2.88,5.38,86.81
shade,2.88,5.38,86.81
eos,2.88,5.38,86.81
varies,2.88,5.38,86.81
pack,0.96,1.79,86.46
specified,0.96,1.79,86.46
fucking,0.96,1.79,86.46
currency,0.96,1.79,86.46
leather,0.96,1.79,86.46
fi,0.96,1.79,86.46
sorry,0.96,1.79,86.46
clips,0.96,1.79,86.46
favorites,0.96,1.79,86.46
posting,0.96,1.79,86.46
luxury,0.96,1.79,86.46
frames,0.96,1.79,86.46
pin,0.96,1.79,86.46
supplier,0.96,1.79,86.46
outlet,0.96,1.79,86.46
logos,0.96,1.79,86.46
bathroom,0.96,1.79,86.46
recommendation,0.96,1.79,86.46
