Word,2020-01-01,2021-01-01,2022-01-01,2023-01-01,2024-01-01,2024-11-01
the,49999.0,50513.09,50709.45,50673.48,50679.26,50537.69
of,28009.0,27875.69,27748.26,27711.53,27583.43,27493.53
and,25182.0,25070.52,25196.09,25092.17,25429.18,25489.11
to,19997.0,20281.75,20417.41,20532.21,20603.75,20663.08
a,21367.0,21179.82,21102.34,20982.36,20851.6,20711.2
in,18101.0,18125.03,18295.41,18349.71,18412.15,18486.1
for,9438.0,9562.24,9593.75,9514.24,9419.97,9493.6
is,12632.0,12150.3,12100.21,12130.94,11764.36,11629.93
on,6654.0,6724.56,6742.97,6759.3,6813.31,6847.87
that,7783.0,7776.62,7859.02,7858.08,7865.82,7856.72
by,6288.0,6296.08,6212.01,6217.88,6215.76,6209.05
this,3033.0,3051.92,3056.08,3088.12,3110.0,3077.14
with,6164.0,6226.27,6283.86,6341.94,6436.44,6431.39
i,763.0,744.09,727.86,700.92,681.59,677.82
you,255.0,241.02,210.89,193.17,196.92,194.97
it,4663.0,4671.13,4648.04,4650.34,4655.66,4692.46
not,1785.0,1822.93,1824.32,1867.93,1838.5,1819.41
or,3933.0,3716.63,3687.82,3688.02,3638.8,3640.47
be,4941.0,4943.71,4927.99,4939.22,4853.43,4823.54
are,4694.0,4651.05,4644.31,4667.18,4572.48,4568.84
from,3684.0,3737.67,3782.07,3768.66,3787.34,3790.64
at,2668.0,2665.53,2648.29,2582.14,2561.68,2571.89
as,7390.0,7426.57,7510.02,7602.0,7696.06,7689.13
your,113.0,106.16,85.85,75.32,70.45,68.86
all,1230.0,1207.95,1211.23,1219.3,1193.41,1193.03
have,1853.0,1855.45,1862.58,1874.14,1900.46,1896.56
new,1499.0,1537.92,1549.04,1515.26,1449.75,1461.0
more,1471.0,1514.01,1516.38,1535.64,1532.08,1521.56
an,4727.0,4700.78,4705.89,4750.47,4710.84,4685.82
was,3778.0,4000.69,4118.94,4164.75,4310.2,4386.32
we,682.0,667.58,651.34,661.93,640.84,636.34
will,989.0,962.15,929.42,891.43,868.32,862.83
home,205.0,207.54,197.83,194.95,194.38,193.31
can,3496.0,3440.23,3437.74,3464.72,3405.38,3402.36
us,284.0,309.88,307.01,280.9,295.38,297.01
about,818.0,810.08,801.58,790.42,799.57,803.92
if,1149.0,1137.18,1118.85,1107.65,1083.07,1075.22
page,114.0,111.9,105.45,100.13,100.16,99.56
my,52.0,49.73,49.46,46.08,50.93,52.27
has,2346.0,2386.26,2359.01,2372.13,2319.77,2344.57
search,586.0,550.9,557.09,560.91,538.99,525.99
free,310.0,308.92,291.14,288.87,278.41,281.25
but,1231.0,1280.64,1288.69,1283.1,1272.35,1274.33
our,136.0,141.55,137.17,130.26,126.47,127.76
one,1750.0,1790.41,1809.39,1809.45,1795.21,1782.07
other,1628.0,1615.39,1611.56,1610.96,1607.63,1591.25
do,367.0,351.0,346.2,343.81,337.82,327.71
no,582.0,574.81,586.95,583.06,581.43,566.65
information,1289.0,1243.34,1225.23,1224.61,1188.32,1178.92
time,1231.0,1230.91,1228.03,1227.27,1226.51,1233.68
they,1222.0,1274.9,1282.15,1307.02,1414.95,1407.07
site,90.0,88.95,87.72,78.86,67.06,66.37
he,737.0,786.17,819.31,795.73,850.5,872.78
up,632.0,646.54,634.54,618.51,628.11,608.96
may,1247.0,1241.43,1234.56,1221.96,1225.67,1212.94
what,468.0,461.95,450.71,436.86,436.28,428.1
which,2976.0,2961.06,2984.23,2985.33,2962.31,2975.93
their,1592.0,1640.25,1662.88,1709.32,1891.97,1899.88
news,238.0,232.41,208.09,200.26,202.01,206.58
out,546.0,568.11,574.82,571.55,585.67,569.96
use,1321.0,1300.73,1287.75,1287.53,1302.91,1310.01
any,662.0,666.62,647.61,635.35,614.53,598.17
there,833.0,843.56,837.97,850.67,859.83,841.26
see,339.0,331.88,320.07,307.48,297.08,286.23
only,778.0,803.39,803.45,831.18,810.6,803.09
so,596.0,580.54,578.56,560.03,551.72,525.99
his,720.0,751.74,759.59,754.09,844.56,845.41
when,925.0,911.46,916.36,927.76,932.83,924.22
contact,47.0,57.38,51.32,47.85,44.99,43.14
here,128.0,122.42,114.78,113.42,106.1,107.85
business,379.0,376.83,371.4,357.11,341.22,359.24
who,594.0,604.45,631.75,637.12,699.41,679.48
web,512.0,451.43,441.38,420.02,393.84,392.42
also,2089.0,2102.2,2106.13,2134.66,2166.14,2179.47
now,271.0,270.67,266.88,271.15,268.22,258.85
