Word,Frequency 2022-01-01,Frequency 2024-11-01,Growth Rate (%)
jackie,0.93,32.36,3379.57
curtis,0.93,29.04,3022.58
bang,0.93,27.38,2844.09
teddy,2.8,73.01,2507.5
sapphire,0.93,15.76,1594.62
amy,3.73,53.1,1323.59
wednesday,0.93,10.79,1060.22
garcia,1.87,14.1,654.01
thursday,1.87,12.44,565.24
boom,0.93,5.81,524.73
billy,6.53,40.65,522.51
kim,13.06,78.82,503.52
anne,14.0,79.65,468.93
infant,0.93,4.98,435.48
islamic,0.93,4.98,435.48
infants,0.93,4.98,435.48
seekers,0.93,4.98,435.48
sip,0.93,4.98,435.48
disability,1.87,9.96,432.62
dance,12.13,58.07,378.73
reform,0.93,4.15,346.24
complaint,0.93,4.15,346.24
pope,0.93,4.15,346.24
burton,0.93,4.15,346.24
skins,0.93,4.15,346.24
aurora,0.93,4.15,346.24
accreditation,0.93,4.15,346.24
eos,0.93,4.15,346.24
aluminum,9.33,40.65,335.69
ion,13.06,55.59,325.65
monday,2.8,11.61,314.64
ceramic,11.2,44.8,300.0
exam,1.87,7.47,299.47
estonia,1.87,7.47,299.47
reid,1.87,7.47,299.47
ryan,20.53,80.48,292.01
lady,2.8,10.79,285.36
tuesday,3.73,14.1,278.02
alumni,0.93,3.32,256.99
cute,0.93,3.32,256.99
folk,0.93,3.32,256.99
chemicals,0.93,3.32,256.99
hearts,0.93,3.32,256.99
warren,0.93,3.32,256.99
appeals,0.93,3.32,256.99
jam,0.93,3.32,256.99
toner,0.93,3.32,256.99
quit,0.93,3.32,256.99
exclude,0.93,3.32,256.99
ecology,0.93,3.32,256.99
elvis,0.93,3.32,256.99
randy,0.93,3.32,256.99
rhythm,0.93,3.32,256.99
shortcuts,0.93,3.32,256.99
caution,0.93,3.32,256.99
supervisors,0.93,3.32,256.99
lawsuit,6.53,23.23,255.74
elsewhere,8.4,29.87,255.6
emissions,1.87,6.64,255.08
bachelor,1.87,6.64,255.08
friday,4.67,15.76,237.47
queens,2.8,9.13,226.07
dancing,5.6,18.25,225.89
titanium,4.67,14.93,219.7
amd,10.26,32.36,215.4
compensation,3.73,11.61,211.26
norman,3.73,11.61,211.26
undergraduate,1.87,5.81,210.7
injection,1.87,5.81,210.7
cultures,1.87,5.81,210.7
theaters,1.87,5.81,210.7
ruling,1.87,5.81,210.7
leon,1.87,5.81,210.7
needle,1.87,5.81,210.7
ko,1.87,5.81,210.7
ellis,8.4,25.72,206.19
hip,4.67,14.1,201.93
heat,2.8,8.3,196.43
kid,2.8,8.3,196.43
transcription,2.8,8.3,196.43
rouge,2.8,8.3,196.43
pink,3.73,10.79,189.28
oxygen,7.47,21.57,188.76
vice,39.19,112.0,185.79
equity,6.53,18.25,179.48
boys,0.93,2.49,167.74
baseball,0.93,2.49,167.74
bonus,0.93,2.49,167.74
oak,0.93,2.49,167.74
kiss,0.93,2.49,167.74
honest,0.93,2.49,167.74
photoshop,0.93,2.49,167.74
nurses,0.93,2.49,167.74
stayed,0.93,2.49,167.74
macintosh,0.93,2.49,167.74
madonna,0.93,2.49,167.74
lopez,0.93,2.49,167.74
nuts,0.93,2.49,167.74
squad,0.93,2.49,167.74
drums,0.93,2.49,167.74
fruits,0.93,2.49,167.74
eyed,0.93,2.49,167.74
manor,0.93,2.49,167.74
enjoying,0.93,2.49,167.74
tunes,0.93,2.49,167.74
aquatic,0.93,2.49,167.74
gd,0.93,2.49,167.74
grad,0.93,2.49,167.74
mask,2.8,7.47,166.79
males,2.8,7.47,166.79
renewable,2.8,7.47,166.79
cardiac,2.8,7.47,166.79
logo,17.73,47.29,166.72
stainless,14.93,39.82,166.71
singing,5.6,14.93,166.61
dawn,4.67,12.44,166.38
casino,1.87,4.98,166.31
honda,1.87,4.98,166.31
ukraine,1.87,4.98,166.31
icons,1.87,4.98,166.31
complications,1.87,4.98,166.31
diana,1.87,4.98,166.31
talented,1.87,4.98,166.31
surrounded,1.87,4.98,166.31
duo,8.4,21.57,156.79
ultra,14.93,38.16,155.59
tribute,5.6,14.1,151.79
batman,21.46,53.1,147.44
tb,8.4,20.74,146.9
philippines,3.73,9.13,144.77
notebooks,3.73,9.13,144.77
surprise,3.73,9.13,144.77
inclusive,3.73,9.13,144.77
crawford,7.47,18.25,144.31
generator,40.13,97.07,141.89
appointed,6.53,15.76,141.35
proxy,6.53,15.76,141.35
midnight,2.8,6.64,137.14
breath,2.8,6.64,137.14
musician,2.8,6.64,137.14
db,8.4,19.91,137.02
yellow,7.47,17.42,133.2
docs,7.47,17.42,133.2
conflicts,7.47,17.42,133.2
hide,4.67,10.79,131.05
abs,6.53,14.93,128.64
barry,23.33,53.1,127.6
aerial,10.26,23.23,126.41
copyright,22.4,50.61,125.94
regime,3.73,8.3,122.52
mat,3.73,8.3,122.52
yourself,1.87,4.15,121.93
ap,1.87,4.15,121.93
eating,1.87,4.15,121.93
duties,1.87,4.15,121.93
av,1.87,4.15,121.93
parade,1.87,4.15,121.93
dk,1.87,4.15,121.93
contributor,1.87,4.15,121.93
namespace,1.87,4.15,121.93
huntington,1.87,4.15,121.93
gb,28.93,62.22,115.07
dressed,4.67,9.96,113.28
advertisements,7.47,15.76,110.98
trip,2.8,5.81,107.5
bidding,2.8,5.81,107.5
pride,2.8,5.81,107.5
vacuum,2.8,5.81,107.5
spider,2.8,5.81,107.5
treaty,2.8,5.81,107.5
shelter,2.8,5.81,107.5
contacted,2.8,5.81,107.5
travis,2.8,5.81,107.5
communist,2.8,5.81,107.5
infringement,8.4,17.42,107.38
performances,23.33,48.12,106.26
token,15.86,32.36,104.04
suffered,6.53,13.27,103.22
shadows,6.53,13.27,103.22
equilibrium,6.53,13.27,103.22
cry,3.73,7.47,100.27
stood,3.73,7.47,100.27
airports,3.73,7.47,100.27
trailer,11.2,22.4,100.0
officials,8.4,16.59,97.5
pure,13.06,25.72,96.94
temple,4.67,9.13,95.5
rap,4.67,9.13,95.5
cgi,4.67,9.13,95.5
younger,10.26,19.91,94.05
dragon,15.86,30.7,93.57
district,5.6,10.79,92.68
grace,5.6,10.79,92.68
ada,5.6,10.79,92.68
declined,5.6,10.79,92.68
surprised,6.53,12.44,90.51
cage,6.53,12.44,90.51
gold,33.59,63.88,90.18
grand,33.59,63.05,87.7
singer,16.8,31.53,87.68
miss,8.4,15.76,87.62
collapse,8.4,15.76,87.62
trio,9.33,17.42,86.71
artistic,11.2,20.74,85.18
crystal,14.0,25.72,83.71
team,291.14,522.67,79.53
vacation,0.93,1.66,78.49
fishing,0.93,1.66,78.49
shirts,0.93,1.66,78.49
forgot,0.93,1.66,78.49
toll,0.93,1.66,78.49
cooking,0.93,1.66,78.49
iran,0.93,1.66,78.49
dental,0.93,1.66,78.49
jewish,0.93,1.66,78.49
pearl,0.93,1.66,78.49
committees,0.93,1.66,78.49
attorneys,0.93,1.66,78.49
ee,0.93,1.66,78.49
coins,0.93,1.66,78.49
seal,0.93,1.66,78.49
bankruptcy,0.93,1.66,78.49
cabinet,0.93,1.66,78.49
buffer,0.93,1.66,78.49
nba,0.93,1.66,78.49
boats,0.93,1.66,78.49
richmond,0.93,1.66,78.49
sublime,0.93,1.66,78.49
attendance,0.93,1.66,78.49
lovely,0.93,1.66,78.49
cherry,0.93,1.66,78.49
broadway,0.93,1.66,78.49
minneapolis,0.93,1.66,78.49
peru,0.93,1.66,78.49
mills,0.93,1.66,78.49
lottery,0.93,1.66,78.49
donation,0.93,1.66,78.49
ssl,0.93,1.66,78.49
untitled,0.93,1.66,78.49
wanna,0.93,1.66,78.49
turbo,0.93,1.66,78.49
tri,0.93,1.66,78.49
skirt,0.93,1.66,78.49
junction,0.93,1.66,78.49
weekends,0.93,1.66,78.49
cams,0.93,1.66,78.49
teeth,0.93,1.66,78.49
pepper,0.93,1.66,78.49
consolidated,0.93,1.66,78.49
precious,0.93,1.66,78.49
cedar,0.93,1.66,78.49
footwear,0.93,1.66,78.49
sg,0.93,1.66,78.49
brunswick,0.93,1.66,78.49
divine,0.93,1.66,78.49
indians,0.93,1.66,78.49
rally,0.93,1.66,78.49
yamaha,0.93,1.66,78.49
accredited,0.93,1.66,78.49
therapeutic,0.93,1.66,78.49
cheapest,0.93,1.66,78.49
cambodia,0.93,1.66,78.49
mastercard,0.93,1.66,78.49
slovenia,0.93,1.66,78.49
surely,0.93,1.66,78.49
distributors,0.93,1.66,78.49
tribal,0.93,1.66,78.49
meetup,0.93,1.66,78.49
bra,0.93,1.66,78.49
photographers,0.93,1.66,78.49
cow,0.93,1.66,78.49
spirituality,0.93,1.66,78.49
avi,0.93,1.66,78.49
syria,0.93,1.66,78.49
legends,0.93,1.66,78.49
roller,0.93,1.66,78.49
arrange,0.93,1.66,78.49
respiratory,0.93,1.66,78.49
throws,0.93,1.66,78.49
moisture,0.93,1.66,78.49
humanities,0.93,1.66,78.49
trustees,0.93,1.66,78.49
floyd,0.93,1.66,78.49
lenders,0.93,1.66,78.49
treasurer,0.93,1.66,78.49
testament,0.93,1.66,78.49
cn,0.93,1.66,78.49
terrorists,0.93,1.66,78.49
bookings,0.93,1.66,78.49
grave,0.93,1.66,78.49
betty,0.93,1.66,78.49
tenant,0.93,1.66,78.49
ev,0.93,1.66,78.49
irs,0.93,1.66,78.49
sticks,0.93,1.66,78.49
pavilion,0.93,1.66,78.49
trusts,0.93,1.66,78.49
incidence,0.93,1.66,78.49
vcr,0.93,1.66,78.49
kenny,0.93,1.66,78.49
oecd,0.93,1.66,78.49
referrals,0.93,1.66,78.49
rwanda,0.93,1.66,78.49
antibody,0.93,1.66,78.49
hq,0.93,1.66,78.49
reproductive,0.93,1.66,78.49
tomato,0.93,1.66,78.49
affair,0.93,1.66,78.49
senators,0.93,1.66,78.49
triumph,0.93,1.66,78.49
souls,0.93,1.66,78.49
securely,0.93,1.66,78.49
groove,0.93,1.66,78.49
mel,0.93,1.66,78.49
missile,0.93,1.66,78.49
glow,0.93,1.66,78.49
naples,0.93,1.66,78.49
indonesian,0.93,1.66,78.49
willow,0.93,1.66,78.49
creature,0.93,1.66,78.49
internship,0.93,1.66,78.49
beautifully,0.93,1.66,78.49
fibre,0.93,1.66,78.49
convicted,0.93,1.66,78.49
cursor,0.93,1.66,78.49
hl,0.93,1.66,78.49
jackson,3.73,6.64,78.02
enjoyed,3.73,6.64,78.02
spots,3.73,6.64,78.02
christina,3.73,6.64,78.02
incentives,3.73,6.64,78.02
illustration,3.73,6.64,78.02
tubes,3.73,6.64,78.02
rolled,3.73,6.64,78.02
dubai,3.73,6.64,78.02
cardiovascular,3.73,6.64,78.02
insects,3.73,6.64,78.02
porn,5.6,9.96,77.86
msn,2.8,4.98,77.86
credits,2.8,4.98,77.86
administrator,2.8,4.98,77.86
laptops,2.8,4.98,77.86
charlotte,5.6,9.96,77.86
rehabilitation,2.8,4.98,77.86
southeast,2.8,4.98,77.86
spoke,5.6,9.96,77.86
astronomy,2.8,4.98,77.86
sisters,5.6,9.96,77.86
talked,2.8,4.98,77.86
pathology,5.6,9.96,77.86
butterfly,2.8,4.98,77.86
auckland,2.8,4.98,77.86
grab,2.8,4.98,77.86
ka,2.8,4.98,77.86
forbidden,2.8,4.98,77.86
ts,6.53,11.61,77.79
morrison,6.53,11.61,77.79
ensuring,14.0,24.89,77.79
prompt,11.2,19.91,77.77
accompanied,8.4,14.93,77.74
politicians,8.4,14.93,77.74
routines,8.4,14.93,77.74
yes,4.67,8.3,77.73
pregnant,4.67,8.3,77.73
surveys,4.67,8.3,77.73
boss,4.67,8.3,77.73
advocacy,4.67,8.3,77.73
intense,4.67,8.3,77.73
disputes,4.67,8.3,77.73
beauty,7.47,13.27,77.64
openings,7.47,13.27,77.64
lots,1.87,3.32,77.54
naked,1.87,3.32,77.54
recreation,1.87,3.32,77.54
theater,1.87,3.32,77.54
tea,1.87,3.32,77.54
visa,1.87,3.32,77.54
subscriptions,1.87,3.32,77.54
attachment,1.87,3.32,77.54
babies,1.87,3.32,77.54
wolf,1.87,3.32,77.54
admissions,1.87,3.32,77.54
hook,1.87,3.32,77.54
hazardous,1.87,3.32,77.54
courtesy,1.87,3.32,77.54
latex,1.87,3.32,77.54
melissa,1.87,3.32,77.54
luxembourg,1.87,3.32,77.54
tears,1.87,3.32,77.54
recreational,1.87,3.32,77.54
wines,1.87,3.32,77.54
admit,1.87,3.32,77.54
invalid,1.87,3.32,77.54
monetary,1.87,3.32,77.54
twins,1.87,3.32,77.54
keyboards,1.87,3.32,77.54
subcommittee,1.87,3.32,77.54
containers,1.87,3.32,77.54
une,1.87,3.32,77.54
warming,1.87,3.32,77.54
sig,1.87,3.32,77.54
devon,1.87,3.32,77.54
emma,1.87,3.32,77.54
designation,1.87,3.32,77.54
tremendous,1.87,3.32,77.54
fraser,1.87,3.32,77.54
enclosed,1.87,3.32,77.54
ours,1.87,3.32,77.54
woman,24.26,42.31,74.4
gender,31.73,54.76,72.58
celebrities,14.0,24.06,71.86
mc,13.06,22.4,71.52
anniversary,12.13,20.74,70.98
nvidia,43.86,74.67,70.25
celebrity,9.33,15.76,68.92
minority,9.33,15.76,68.92
ban,17.73,29.87,68.47
spare,7.47,12.44,66.53
mainland,7.47,12.44,66.53
sam,20.53,34.02,65.71
fee,6.53,10.79,65.24
forget,6.53,10.79,65.24
disabilities,6.53,10.79,65.24
ignore,6.53,10.79,65.24
chronic,6.53,10.79,65.24
portrait,6.53,10.79,65.24
joining,13.06,21.57,65.16
gen,13.06,21.57,65.16
silver,19.6,32.36,65.1
nn,12.13,19.91,64.14
suddenly,5.6,9.13,63.04
