Word,Frequency 2020,Frequency 2024,Growth Rate (%)
curtis,1.0,29.71,2871.0
bang,1.0,28.01,2701.0
teddy,3.0,68.75,2191.67
sapphire,1.0,17.82,1682.0
amy,4.0,50.08,1152.0
wing,1.0,11.88,1088.0
batman,4.0,46.68,1067.0
wednesday,1.0,11.03,1003.0
disability,1.0,10.19,919.0
kim,8.0,76.39,854.88
dj,1.0,8.49,749.0
resort,1.0,7.64,664.0
thursday,2.0,12.73,536.5
cosmetic,1.0,5.94,494.0
norman,2.0,11.88,494.0
garcia,2.0,11.88,494.0
aluminum,7.0,39.04,457.71
monday,2.0,11.03,451.5
compensation,2.0,11.03,451.5
billy,7.0,36.5,421.43
friday,3.0,15.28,409.33
cleaning,1.0,5.09,409.0
healing,1.0,5.09,409.0
infants,1.0,5.09,409.0
derek,1.0,5.09,409.0
bo,1.0,5.09,409.0
vietnamese,1.0,5.09,409.0
contributor,1.0,5.09,409.0
seekers,1.0,5.09,409.0
cannon,2.0,9.34,367.0
dance,12.0,56.02,366.83
hang,3.0,13.58,352.67
proteins,10.0,44.14,341.4
anne,16.0,70.45,340.31
dragon,7.0,30.56,336.57
remedy,2.0,8.49,324.5
db,5.0,21.22,324.4
ha,1.0,4.24,324.0
elections,1.0,4.24,324.0
prohibited,1.0,4.24,324.0
extraordinary,1.0,4.24,324.0
rna,1.0,4.24,324.0
mesa,1.0,4.24,324.0
huntington,1.0,4.24,324.0
ours,1.0,4.24,324.0
elsewhere,7.0,28.86,312.29
ion,13.0,52.63,304.85
hip,4.0,16.13,303.25
exam,2.0,7.64,282.0
notebooks,2.0,7.64,282.0
cry,2.0,7.64,282.0
cultures,2.0,7.64,282.0
males,2.0,7.64,282.0
duo,4.0,15.28,282.0
pink,3.0,11.03,267.67
ceramic,13.0,47.53,265.62
tuesday,4.0,14.43,260.75
acid,4.0,14.43,260.75
oxygen,4.0,14.43,260.75
amd,9.0,32.25,258.33
ryan,22.0,78.09,254.95
suit,7.0,24.62,251.71
teen,1.0,3.4,240.0
certificate,1.0,3.4,240.0
recreation,1.0,3.4,240.0
reform,1.0,3.4,240.0
warm,1.0,3.4,240.0
dolls,1.0,3.4,240.0
amended,1.0,3.4,240.0
cute,1.0,3.4,240.0
shock,1.0,3.4,240.0
hearts,1.0,3.4,240.0
glory,1.0,3.4,240.0
jam,1.0,3.4,240.0
latex,1.0,3.4,240.0
corruption,1.0,3.4,240.0
terrible,1.0,3.4,240.0
ruling,1.0,3.4,240.0
bones,1.0,3.4,240.0
sku,1.0,3.4,240.0
skins,1.0,3.4,240.0
rhythm,1.0,3.4,240.0
shortcuts,1.0,3.4,240.0
aqua,1.0,3.4,240.0
panic,1.0,3.4,240.0
gore,1.0,3.4,240.0
eos,1.0,3.4,240.0
vegetation,1.0,3.4,240.0
bacterial,1.0,3.4,240.0
defensive,1.0,3.4,240.0
sip,1.0,3.4,240.0
securely,1.0,3.4,240.0
supervisors,1.0,3.4,240.0
transcripts,1.0,3.4,240.0
communist,1.0,3.4,240.0
lady,3.0,10.19,239.67
dressed,3.0,10.19,239.67
jackson,2.0,6.79,239.5
equity,4.0,13.58,239.5
dawn,4.0,13.58,239.5
framed,2.0,6.79,239.5
mistake,2.0,6.79,239.5
barry,16.0,53.47,234.19
ownership,5.0,16.13,222.6
protein,36.0,115.44,220.67
miller,20.0,63.66,218.3
interim,3.0,9.34,211.33
dancing,6.0,18.67,211.17
eve,7.0,21.22,203.14
prompt,7.0,21.22,203.14
earn,2.0,5.94,197.0
emissions,2.0,5.94,197.0
ts,4.0,11.88,197.0
perry,2.0,5.94,197.0
theaters,2.0,5.94,197.0
nicholas,2.0,5.94,197.0
twist,2.0,5.94,197.0
nails,2.0,5.94,197.0
leon,2.0,5.94,197.0
unauthorized,4.0,11.88,197.0
warner,15.0,43.29,188.6
logo,17.0,48.38,184.59
curriculum,3.0,8.49,183.0
workplace,3.0,8.49,183.0
lightning,3.0,8.49,183.0
queens,3.0,8.49,183.0
reid,3.0,8.49,183.0
commitments,3.0,8.49,183.0
ellis,9.0,25.46,182.89
minority,4.0,11.03,175.75
lock,9.0,24.62,173.56
nintendo,9.0,24.62,173.56
conflicts,6.0,16.13,168.83
golf,1.0,2.55,155.0
baseball,1.0,2.55,155.0
wisconsin,1.0,2.55,155.0
bonus,1.0,2.55,155.0
albums,1.0,2.55,155.0
bond,1.0,2.55,155.0
cables,1.0,2.55,155.0
hell,1.0,2.55,155.0
salary,1.0,2.55,155.0
guinea,1.0,2.55,155.0
folder,1.0,2.55,155.0
subscriptions,1.0,2.55,155.0
kings,1.0,2.55,155.0
abroad,1.0,2.55,155.0
plaza,1.0,2.55,155.0
babies,1.0,2.55,155.0
kick,1.0,2.55,155.0
warren,1.0,2.55,155.0
kenya,1.0,2.55,155.0
appeals,1.0,2.55,155.0
ralph,1.0,2.55,155.0
rivers,1.0,2.55,155.0
hazardous,1.0,2.55,155.0
ssl,1.0,2.55,155.0
toner,1.0,2.55,155.0
nepal,1.0,2.55,155.0
monica,1.0,2.55,155.0
exotic,1.0,2.55,155.0
luxembourg,1.0,2.55,155.0
slim,1.0,2.55,155.0
friendship,1.0,2.55,155.0
treasury,1.0,2.55,155.0
homework,1.0,2.55,155.0
nuts,1.0,2.55,155.0
squad,1.0,2.55,155.0
drums,1.0,2.55,155.0
mag,1.0,2.55,155.0
elvis,1.0,2.55,155.0
withdrawal,1.0,2.55,155.0
watt,1.0,2.55,155.0
humanities,1.0,2.55,155.0
sandra,1.0,2.55,155.0
ser,1.0,2.55,155.0
disco,1.0,2.55,155.0
sig,1.0,2.55,155.0
fence,1.0,2.55,155.0
hc,1.0,2.55,155.0
tunes,1.0,2.55,155.0
sewing,1.0,2.55,155.0
pas,1.0,2.55,155.0
liz,1.0,2.55,155.0
irrigation,1.0,2.55,155.0
omissions,1.0,2.55,155.0
reproductive,1.0,2.55,155.0
needle,1.0,2.55,155.0
gd,1.0,2.55,155.0
earning,1.0,2.55,155.0
barbie,1.0,2.55,155.0
examinations,1.0,2.55,155.0
nike,9.0,22.92,154.67
waste,3.0,7.64,154.67
stood,3.0,7.64,154.67
spare,6.0,15.28,154.67
lotus,3.0,7.64,154.67
spider,3.0,7.64,154.67
titanium,6.0,15.28,154.67
cardiac,3.0,7.64,154.67
younger,8.0,20.37,154.62
charlotte,5.0,12.73,154.6
jeremy,5.0,12.73,154.6
ada,5.0,12.73,154.6
lawsuit,5.0,12.73,154.6
casino,2.0,5.09,154.5
recruitment,2.0,5.09,154.5
wings,2.0,5.09,154.5
atmosphere,2.0,5.09,154.5
rehabilitation,2.0,5.09,154.5
shoot,2.0,5.09,154.5
firewall,2.0,5.09,154.5
wage,2.0,5.09,154.5
fortune,2.0,5.09,154.5
talked,2.0,5.09,154.5
exceptional,2.0,5.09,154.5
passport,2.0,5.09,154.5
admitted,2.0,5.09,154.5
pope,2.0,5.09,154.5
butterfly,2.0,5.09,154.5
sol,2.0,5.09,154.5
grab,2.0,5.09,154.5
contacted,2.0,5.09,154.5
talented,2.0,5.09,154.5
restored,2.0,5.09,154.5
stainless,16.0,39.89,149.31
progressive,8.0,19.52,144.0
crawford,8.0,19.52,144.0
hd,18.0,43.29,140.5
collapse,6.0,14.43,140.5
invasion,6.0,14.43,140.5
suffered,5.0,11.88,137.6
pursuit,5.0,11.88,137.6
morrison,5.0,11.88,137.6
cats,4.0,9.34,133.5
broke,4.0,9.34,133.5
cabin,4.0,9.34,133.5
mainland,4.0,9.34,133.5
fears,4.0,9.34,133.5
woman,16.0,37.35,133.44
pure,12.0,28.01,133.42
guitar,3.0,6.79,126.33
ss,3.0,6.79,126.33
notebook,3.0,6.79,126.33
democracy,3.0,6.79,126.33
wayne,6.0,13.58,126.33
smile,3.0,6.79,126.33
laid,3.0,6.79,126.33
coalition,6.0,13.58,126.33
regime,3.0,6.79,126.33
toxic,3.0,6.79,126.33
hoping,3.0,6.79,126.33
replica,3.0,6.79,126.33
passengers,3.0,6.79,126.33
slides,3.0,6.79,126.33
fighter,3.0,6.79,126.33
equilibrium,6.0,13.58,126.33
stake,3.0,6.79,126.33
minister,11.0,24.62,123.82
shoes,5.0,11.03,120.6
lighter,5.0,11.03,120.6
dc,21.0,45.84,118.29
proxy,7.0,15.28,118.29
generator,44.0,95.91,117.98
battle,27.0,58.57,116.93
adventure,9.0,19.52,116.89
team,242.0,521.16,115.36
lawyer,8.0,16.98,112.25
inclusive,4.0,8.49,112.25
coral,4.0,8.49,112.25
females,4.0,8.49,112.25
harold,4.0,8.49,112.25
striking,4.0,8.49,112.25
unlock,8.0,16.98,112.25
ultra,14.0,29.71,112.21
dogs,6.0,12.73,112.17
tribute,6.0,12.73,112.17
trip,2.0,4.24,112.0
eastern,2.0,4.24,112.0
ap,2.0,4.24,112.0
chicken,2.0,4.24,112.0
sr,2.0,4.24,112.0
destinations,2.0,4.24,112.0
farmers,2.0,4.24,112.0
rack,2.0,4.24,112.0
vacuum,2.0,4.24,112.0
stupid,2.0,4.24,112.0
trailers,2.0,4.24,112.0
sad,2.0,4.24,112.0
occasion,2.0,4.24,112.0
sleeve,2.0,4.24,112.0
drunk,2.0,4.24,112.0
lung,2.0,4.24,112.0
voters,2.0,4.24,112.0
parade,2.0,4.24,112.0
flame,2.0,4.24,112.0
joan,2.0,4.24,112.0
attitudes,2.0,4.24,112.0
accepting,2.0,4.24,112.0
posing,2.0,4.24,112.0
fairy,2.0,4.24,112.0
uw,2.0,4.24,112.0
jake,2.0,4.24,112.0
warriors,2.0,4.24,112.0
rouge,2.0,4.24,112.0
dk,2.0,4.24,112.0
trauma,2.0,4.24,112.0
endless,2.0,4.24,112.0
vice,48.0,101.01,110.44
el,21.0,44.14,110.19
crystal,13.0,27.16,108.92
genre,9.0,18.67,107.44
andy,9.0,18.67,107.44
gold,30.0,61.96,106.53
clothes,7.0,14.43,106.14
disabled,7.0,14.43,106.14
commander,7.0,14.43,106.14
folding,14.0,28.86,106.14
restaurant,5.0,10.19,103.8
lord,5.0,10.19,103.8
village,5.0,10.19,103.8
democratic,5.0,10.19,103.8
sisters,5.0,10.19,103.8
copied,5.0,10.19,103.8
aerial,10.0,20.37,103.7
scholar,18.0,36.5,102.78
mm,57.0,115.44,102.53
yellow,8.0,16.13,101.62
greatest,8.0,16.13,101.62
amino,8.0,16.13,101.62
skin,24.0,48.38,101.58
grand,30.0,60.26,100.87
artistic,12.0,23.77,98.08
armor,15.0,29.71,98.07
slide,3.0,5.94,98.0
pride,3.0,5.94,98.0
icons,3.0,5.94,98.0
damages,3.0,5.94,98.0
deadline,3.0,5.94,98.0
destruction,6.0,11.88,98.0
zoo,3.0,5.94,98.0
opt,6.0,11.88,98.0
surprised,6.0,11.88,98.0
danish,3.0,5.94,98.0
possession,3.0,5.94,98.0
shelter,3.0,5.94,98.0
slight,3.0,5.94,98.0
snake,3.0,5.94,98.0
lit,3.0,5.94,98.0
ko,3.0,5.94,98.0
locking,3.0,5.94,98.0
colony,3.0,5.94,98.0
singer,16.0,31.41,96.31
marked,17.0,33.1,94.71
performances,24.0,46.68,94.5
racing,7.0,13.58,94.0
suspended,7.0,13.58,94.0
travels,7.0,13.58,94.0
se,18.0,34.8,93.33
sister,16.0,30.56,91.0
strike,4.0,7.64,91.0
boss,4.0,7.64,91.0
personally,4.0,7.64,91.0
saudi,8.0,15.28,91.0
careful,4.0,7.64,91.0
edwards,4.0,7.64,91.0
docs,8.0,15.28,91.0
vulnerability,4.0,7.64,91.0
christina,4.0,7.64,91.0
airports,4.0,7.64,91.0
intense,4.0,7.64,91.0
anger,4.0,7.64,91.0
tb,8.0,15.28,91.0
finals,4.0,7.64,91.0
homeless,4.0,7.64,91.0
viral,8.0,15.28,91.0
disputes,4.0,7.64,91.0
wagner,4.0,7.64,91.0
league,13.0,24.62,89.38
miss,9.0,16.98,88.67
francis,9.0,16.98,88.67
exhibitions,9.0,16.98,88.67
employee,14.0,26.31,87.93
tops,14.0,26.31,87.93
husband,5.0,9.34,86.8
indonesia,5.0,9.34,86.8
fell,5.0,9.34,86.8
suggestion,5.0,9.34,86.8
veteran,5.0,9.34,86.8
confident,5.0,9.34,86.8
fixes,5.0,9.34,86.8
removal,10.0,18.67,86.7
nn,11.0,20.37,85.18
sarah,17.0,31.41,84.76
alignment,35.0,64.51,84.31
filed,12.0,22.07,83.92
granted,12.0,22.07,83.92
upgrades,12.0,22.07,83.92
respective,18.0,33.1,83.89
pricing,6.0,11.03,83.83
hide,6.0,11.03,83.83
tomorrow,6.0,11.03,83.83
volunteers,6.0,11.03,83.83
disabilities,6.0,11.03,83.83
decline,6.0,11.03,83.83
horn,7.0,12.73,81.86
breach,7.0,12.73,81.86
replacement,8.0,14.43,80.38
carries,8.0,14.43,80.38
infringement,8.0,14.43,80.38
dog,17.0,30.56,79.76
rx,9.0,16.13,79.22
silver,18.0,32.25,79.17
token,19.0,33.95,78.68
boundary,20.0,35.65,78.25
compilation,10.0,17.82,78.2
trio,10.0,17.82,78.2
conflict,33.0,58.57,77.48
horror,13.0,22.92,76.31
synthetic,35.0,61.11,74.6
ended,29.0,50.08,72.69
lives,36.0,61.96,72.11
printer,2.0,3.4,70.0
rental,2.0,3.4,70.0
teens,1.0,1.7,70.0
vacation,1.0,1.7,70.0
iraq,1.0,1.7,70.0
yourself,2.0,3.4,70.0
naked,2.0,3.4,70.0
fishing,1.0,1.7,70.0
clubs,1.0,1.7,70.0
shirts,1.0,1.7,70.0
forgot,1.0,1.7,70.0
mom,1.0,1.7,70.0
toll,1.0,1.7,70.0
adobe,1.0,1.7,70.0
cooking,1.0,1.7,70.0
jewish,1.0,1.7,70.0
ds,1.0,1.7,70.0
alumni,2.0,3.4,70.0
css,1.0,1.7,70.0
pearl,1.0,1.7,70.0
committees,1.0,1.7,70.0
deluxe,1.0,1.7,70.0
jewellery,1.0,1.7,70.0
attachment,2.0,3.4,70.0
coins,1.0,1.7,70.0
hilton,2.0,3.4,70.0
classics,1.0,1.7,70.0
nba,1.0,1.7,70.0
folk,2.0,3.4,70.0
kent,1.0,1.7,70.0
kiss,1.0,1.7,70.0
beast,2.0,3.4,70.0
dodge,1.0,1.7,70.0
yards,1.0,1.7,70.0
chemicals,2.0,3.4,70.0
glad,1.0,1.7,70.0
chile,2.0,3.4,70.0
athletic,2.0,3.4,70.0
obligation,2.0,3.4,70.0
drum,2.0,3.4,70.0
lovely,1.0,1.7,70.0
rt,2.0,3.4,70.0
wooden,1.0,1.7,70.0
gonna,1.0,1.7,70.0
worship,1.0,1.7,70.0
ns,1.0,1.7,70.0
silk,2.0,3.4,70.0
wolf,2.0,3.4,70.0
admissions,2.0,3.4,70.0
deutsch,1.0,1.7,70.0
declaration,1.0,1.7,70.0
islamic,2.0,3.4,70.0
occupational,1.0,1.7,70.0
carpet,1.0,1.7,70.0
supervisor,1.0,1.7,70.0
peru,1.0,1.7,70.0
mills,1.0,1.7,70.0
lottery,1.0,1.7,70.0
turkish,2.0,3.4,70.0
stroke,2.0,3.4,70.0
hook,2.0,3.4,70.0
honest,1.0,1.7,70.0
albany,1.0,1.7,70.0
recycling,1.0,1.7,70.0
juvenile,2.0,3.4,70.0
brad,2.0,3.4,70.0
melissa,2.0,3.4,70.0
stayed,1.0,1.7,70.0
aaa,1.0,1.7,70.0
wanna,1.0,1.7,70.0
renewal,2.0,3.4,70.0
liverpool,1.0,1.7,70.0
madonna,1.0,1.7,70.0
skirt,1.0,1.7,70.0
kingston,1.0,1.7,70.0
farms,1.0,1.7,70.0
bronze,1.0,1.7,70.0
salem,2.0,3.4,70.0
pie,1.0,1.7,70.0
finest,2.0,3.4,70.0
lopez,1.0,1.7,70.0
exclude,1.0,1.7,70.0
mason,1.0,1.7,70.0
footwear,1.0,1.7,70.0
sg,1.0,1.7,70.0
brunswick,1.0,1.7,70.0
divine,2.0,3.4,70.0
indians,1.0,1.7,70.0
harvest,1.0,1.7,70.0
moms,1.0,1.7,70.0
tears,2.0,3.4,70.0
honolulu,2.0,3.4,70.0
lil,1.0,1.7,70.0
recreational,2.0,3.4,70.0
frozen,2.0,3.4,70.0
sunshine,2.0,3.4,70.0
therapeutic,1.0,1.7,70.0
wines,2.0,3.4,70.0
cheapest,1.0,1.7,70.0
christianity,1.0,1.7,70.0
