Word,2020,2021,2022,2023,2024
the,49999.0,50513.09,50709.45,50673.48,50679.26
of,28009.0,27875.69,27748.26,27711.53,27583.43
and,25182.0,25070.52,25196.09,25092.17,25429.18
to,19997.0,20281.75,20417.41,20532.21,20603.75
a,21367.0,21179.82,21102.34,20982.36,20851.6
in,18101.0,18125.03,18295.41,18349.71,18412.15
for,9438.0,9562.24,9593.75,9514.24,9419.97
is,12632.0,12150.3,12100.21,12130.94,11764.36
on,6654.0,6724.56,6742.97,6759.3,6813.31
that,7783.0,7776.62,7859.02,7858.08,7865.82
by,6288.0,6296.08,6212.01,6217.88,6215.76
this,3033.0,3051.92,3056.08,3088.12,3110.0
with,6164.0,6226.27,6283.86,6341.94,6436.44
i,763.0,744.09,727.86,700.92,681.59
you,255.0,241.02,210.89,193.17,196.92
it,4663.0,4671.13,4648.04,4650.34,4655.66
not,1785.0,1822.93,1824.32,1867.93,1838.5
or,3933.0,3716.63,3687.82,3688.02,3638.8
be,4941.0,4943.71,4927.99,4939.22,4853.43
are,4694.0,4651.05,4644.31,4667.18,4572.48
from,3684.0,3737.67,3782.07,3768.66,3787.34
at,2668.0,2665.53,2648.29,2582.14,2561.68
as,7390.0,7426.57,7510.02,7602.0,7696.06
your,113.0,106.16,85.85,75.32,70.45
all,1230.0,1207.95,1211.23,1219.3,1193.41
have,1853.0,1855.45,1862.58,1874.14,1900.46
new,1499.0,1537.92,1549.04,1515.26,1449.75
more,1471.0,1514.01,1516.38,1535.64,1532.08
an,4727.0,4700.78,4705.89,4750.47,4710.84
was,3778.0,4000.69,4118.94,4164.75,4310.2
we,682.0,667.58,651.34,661.93,640.84
will,989.0,962.15,929.42,891.43,868.32
home,205.0,207.54,197.83,194.95,194.38
can,3496.0,3440.23,3437.74,3464.72,3405.38
us,284.0,309.88,307.01,280.9,295.38
about,818.0,810.08,801.58,790.42,799.57
if,1149.0,1137.18,1118.85,1107.65,1083.07
page,114.0,111.9,105.45,100.13,100.16
my,52.0,49.73,49.46,46.08,50.93
has,2346.0,2386.26,2359.01,2372.13,2319.77
search,586.0,550.9,557.09,560.91,538.99
free,310.0,308.92,291.14,288.87,278.41
but,1231.0,1280.64,1288.69,1283.1,1272.35
our,136.0,141.55,137.17,130.26,126.47
one,1750.0,1790.41,1809.39,1809.45,1795.21
other,1628.0,1615.39,1611.56,1610.96,1607.63
do,367.0,351.0,346.2,343.81,337.82
no,582.0,574.81,586.95,583.06,581.43
information,1289.0,1243.34,1225.23,1224.61,1188.32
time,1231.0,1230.91,1228.03,1227.27,1226.51
they,1222.0,1274.9,1282.15,1307.02,1414.95
site,90.0,88.95,87.72,78.86,67.06
he,737.0,786.17,819.31,795.73,850.5
up,632.0,646.54,634.54,618.51,628.11
may,1247.0,1241.43,1234.56,1221.96,1225.67
what,468.0,461.95,450.71,436.86,436.28
which,2976.0,2961.06,2984.23,2985.33,2962.31
their,1592.0,1640.25,1662.88,1709.32,1891.97
news,238.0,232.41,208.09,200.26,202.01
out,546.0,568.11,574.82,571.55,585.67
use,1321.0,1300.73,1287.75,1287.53,1302.91
any,662.0,666.62,647.61,635.35,614.53
there,833.0,843.56,837.97,850.67,859.83
see,339.0,331.88,320.07,307.48,297.08
only,778.0,803.39,803.45,831.18,810.6
so,596.0,580.54,578.56,560.03,551.72
his,720.0,751.74,759.59,754.09,844.56
when,925.0,911.46,916.36,927.76,932.83
contact,47.0,57.38,51.32,47.85,44.99
here,128.0,122.42,114.78,113.42,106.1
business,379.0,376.83,371.4,357.11,341.22
who,594.0,604.45,631.75,637.12,699.41
web,512.0,451.43,441.38,420.02,393.84
also,2089.0,2102.2,2106.13,2134.66,2166.14
now,271.0,270.67,266.88,271.15,268.22
help,265.0,275.45,281.81,282.67,291.14
get,189.0,177.89,177.3,171.91,162.12
pm,5.0,4.78,3.73,3.54,4.24
view,204.0,191.28,189.43,187.86,177.4
online,391.0,405.52,396.59,391.66,385.35
c,525.0,483.95,444.18,443.94,410.82
e,1000.0,988.93,965.81,974.73,939.62
first,1456.0,1437.49,1457.59,1440.83,1431.08
am,39.0,40.17,39.19,37.22,34.8
been,1440.0,1448.97,1473.45,1492.22,1470.97
would,804.0,853.12,846.37,841.81,832.67
how,597.0,586.28,562.69,590.15,607.74
were,1043.0,1076.92,1107.65,1136.89,1177.28
me,49.0,47.82,49.46,41.65,44.14
s,4492.0,4674.96,4731.09,4721.23,4888.23
services,341.0,331.88,336.87,321.66,311.51
some,1041.0,1038.67,1042.33,1036.76,1034.69
these,1126.0,1143.87,1138.45,1133.34,1148.43
click,8.0,7.65,9.33,8.86,7.64
its,2093.0,2097.42,2114.53,2145.29,2147.46
like,636.0,654.19,666.27,651.3,672.25
service,358.0,364.39,357.4,357.99,348.86
x,546.0,523.16,474.98,457.24,445.62
than,885.0,909.55,918.22,925.11,902.27
find,260.0,259.19,265.02,264.95,257.19
price,53.0,56.43,53.19,52.28,57.72
date,101.0,97.55,100.78,91.27,92.52
back,177.0,184.59,186.63,205.58,207.96
top,260.0,264.93,255.68,260.52,246.15
people,486.0,496.38,494.57,495.34,499.94
had,593.0,676.19,686.8,686.74,730.82
list,203.0,197.02,189.43,194.06,190.98
name,322.0,318.49,318.21,307.48,293.68
just,213.0,215.19,214.63,226.85,223.23
over,737.0,731.66,743.72,762.06,757.13
state,402.0,373.0,366.73,373.94,358.19
year,297.0,278.32,271.55,264.06,291.99
day,151.0,165.46,169.83,170.13,183.34
into,1250.0,1270.12,1277.49,1260.94,1275.75
email,35.0,39.21,37.33,33.67,31.41
two,1093.0,1100.83,1120.72,1121.82,1115.32
health,216.0,224.76,224.89,225.07,235.12
n,423.0,393.09,378.86,368.62,359.89
world,845.0,831.13,822.11,809.02,808.06
re,116.0,125.29,124.11,117.85,120.53
next,202.0,204.67,209.03,207.35,216.44
used,2076.0,2077.33,2093.06,2103.64,2111.81
go,274.0,263.97,262.22,251.66,256.34
b,484.0,448.56,380.73,367.74,353.1
work,600.0,590.11,587.89,564.46,569.54
last,122.0,130.07,130.64,130.26,136.66
most,716.0,717.31,728.79,729.27,733.36
products,307.0,289.79,285.55,279.13,291.14
music,237.0,230.5,235.15,224.19,233.42
buy,17.0,15.3,18.66,14.18,14.43
data,3361.0,3300.59,3365.89,3452.31,3345.12
make,414.0,416.04,420.85,429.77,414.21
them,549.0,544.2,567.36,583.06,605.19
should,250.0,241.02,240.75,240.14,244.45
product,409.0,402.65,404.06,396.98,389.6
system,1650.0,1567.57,1541.57,1514.37,1499.83
post,103.0,107.12,105.45,113.42,115.44
her,406.0,426.56,442.31,421.79,460.9
city,139.0,135.81,139.97,130.26,131.56
t,536.0,523.16,488.04,474.96,453.26
add,103.0,103.29,101.71,104.56,105.25
policy,73.0,83.21,87.72,91.27,96.76
number,767.0,721.14,728.79,724.84,728.27
such,2082.0,2048.64,2068.8,2099.21,2092.29
please,15.0,14.35,12.13,11.52,11.03
available,565.0,581.5,573.89,585.72,580.58
copyright,26.0,21.04,22.4,40.76,42.44
support,503.0,522.2,510.44,529.01,517.77
message,97.0,95.64,90.52,86.84,89.12
after,579.0,631.23,644.81,661.93,684.13
best,416.0,414.13,441.38,399.64,379.41
software,1069.0,1041.54,1021.8,1006.63,985.46
