Word,Frequency 2020,Frequency 2024,Growth Rate (%)
ent,5.0,67.58,1251.6
eos,1.0,12.01,1101.0
disability,2.0,21.03,951.5
teddy,9.0,90.11,901.22
elvis,1.0,9.01,801.0
justify,7.0,61.57,779.57
batman,13.0,105.13,708.69
pipe,1.0,7.51,651.0
honest,1.0,7.51,651.0
madness,1.0,7.51,651.0
quit,2.0,13.52,576.0
ez,1.0,6.76,576.0
awful,1.0,6.76,576.0
amy,14.0,94.61,575.79
bare,4.0,26.28,557.0
rh,2.0,12.77,538.5
mitsubishi,1.0,6.01,501.0
cedar,1.0,6.01,501.0
infants,1.0,6.01,501.0
lucia,1.0,6.01,501.0
romantic,4.0,23.28,482.0
finals,11.0,62.33,466.64
wing,3.0,16.52,450.67
cosmetic,1.0,5.26,426.0
jvc,1.0,5.26,426.0
dig,1.0,5.26,426.0
sip,1.0,5.26,426.0
supervisors,1.0,5.26,426.0
ips,1.0,5.26,426.0
viking,2.0,10.51,425.5
amd,19.0,96.87,409.84
pope,3.0,15.02,400.67
counseling,1.0,4.51,351.0
webster,1.0,4.51,351.0
shakespeare,1.0,4.51,351.0
mesa,1.0,4.51,351.0
seekers,1.0,4.51,351.0
bacterial,1.0,4.51,351.0
kings,3.0,13.52,350.67
autos,2.0,9.01,350.5
wb,2.0,9.01,350.5
curtis,9.0,39.05,333.89
lightning,3.0,12.77,325.67
hang,6.0,24.78,313.0
resort,2.0,8.26,313.0
sharon,2.0,8.26,313.0
jj,2.0,8.26,313.0
abs,54.0,222.27,311.61
proteins,12.0,48.81,306.75
queens,3.0,12.01,300.33
aluminum,10.0,39.8,298.0
latitude,7.0,27.03,286.14
communist,2.0,7.51,275.5
prompt,7.0,26.28,275.43
notebooks,3.0,11.26,275.33
char,1.0,3.75,275.0
bet,1.0,3.75,275.0
flickr,1.0,3.75,275.0
wanna,1.0,3.75,275.0
hanging,1.0,3.75,275.0
ebooks,1.0,3.75,275.0
footwear,1.0,3.75,275.0
cfr,1.0,3.75,275.0
thickness,1.0,3.75,275.0
gmc,1.0,3.75,275.0
grad,1.0,3.75,275.0
lf,1.0,3.75,275.0
anne,29.0,108.13,272.86
oxygen,6.0,21.03,250.5
avi,3.0,10.51,250.33
lawsuit,10.0,34.54,245.4
openings,7.0,24.03,243.29
cleaning,2.0,6.76,238.0
declaration,2.0,6.76,238.0
sh,4.0,13.52,238.0
supervisor,2.0,6.76,238.0
cultures,2.0,6.76,238.0
manor,2.0,6.76,238.0
tear,2.0,6.76,238.0
ceramic,14.0,47.31,237.93
sapphire,5.0,16.52,230.4
bang,16.0,52.56,228.5
bonus,3.0,9.76,225.33
exam,3.0,9.76,225.33
elections,3.0,9.76,225.33
lotus,3.0,9.76,225.33
polished,3.0,9.76,225.33
eve,14.0,45.05,221.79
jackie,16.0,51.06,219.12
elsewhere,9.0,28.53,217.0
dj,5.0,15.77,215.4
ellis,40.0,122.4,206.0
framed,2.0,6.01,200.5
carol,2.0,6.01,200.5
voters,2.0,6.01,200.5
treasury,2.0,6.01,200.5
circulation,2.0,6.01,200.5
vietnamese,2.0,6.01,200.5
beginners,2.0,6.01,200.5
endless,2.0,6.01,200.5
huntington,2.0,6.01,200.5
inclusive,6.0,18.02,200.33
aaa,3.0,9.01,200.33
burton,3.0,9.01,200.33
spider,4.0,12.01,200.25
saturday,1.0,3.0,200.0
certificate,1.0,3.0,200.0
tiffany,1.0,3.0,200.0
chevrolet,1.0,3.0,200.0
deutsch,1.0,3.0,200.0
peripherals,1.0,3.0,200.0
latex,1.0,3.0,200.0
madonna,1.0,3.0,200.0
knee,1.0,3.0,200.0
withdrawal,1.0,3.0,200.0
veterinary,1.0,3.0,200.0
respiratory,1.0,3.0,200.0
roster,1.0,3.0,200.0
hawaiian,1.0,3.0,200.0
